Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.0291923, 0.0169487, 0.0122416, 0.00698456, 5917, 43109, 402087, 118340, 20
0.0792158, 0.0400426, 0.0391719, 0.0189393, 18454, 125357, 1.03504e+06, 590528, 32
0.0550189, 0.0329343, 0.0220819, 0.0050196, 18603, 126595, 442554, 595296, 32
0.0171322, 0.0116642, 0.00546636, 0.000640215, 5917, 43740, 40959, 118340, 20
0.016692, 0.0111584, 0.00553196, 0.000691162, 5890, 43822, 47847, 117800, 20
0.0168044, 0.0121641, 0.00463898, 0, 5901, 43062, 0, 118020, 20
0.0246765, 0.0150633, 0.00961124, 0.00245071, 7378, 52464, 154365, 147560, 20
0.0213561, 0.0133883, 0.00796643, 0.00190012, 8117, 43406, 115866, 162340, 20
0.0188144, 0.0118722, 0.0069408, 0.00161574, 8326, 40164, 99999, 166520, 20
0.0220802, 0.0127952, 0.00928307, 0.00296547, 9391, 45150, 164943, 187820, 20
0.0583498, 0.0321063, 0.0262412, 0.00892634, 19650, 113874, 533328, 393000, 20
0.0565141, 0.0321558, 0.0243569, 0.00755745, 21669, 112029, 465309, 693408, 32
0.0208419, 0.0136136, 0.00722664, 0.00178807, 14735, 39465, 131856, 294700, 20
0.0166041, 0.0112035, 0.00539882, 0.00138222, 18209, 34810, 89421, 364180, 20
0.0492082, 0.0259232, 0.0232828, 0.00763506, 40585, 88007, 422874, 1.29872e+06, 32
0.038486, 0.0229693, 0.0155148, 0.00353013, 48039, 83412, 233577, 1.53725e+06, 32
0.0381206, 0.0236812, 0.0144361, 0.00262277, 47794, 83651, 182163, 955880, 20
0.0381538, 0.0220969, 0.0160553, 0.00109747, 47901, 83745, 44403, 958020, 20
0.0420128, 0.0291848, 0.0128265, 0.00138197, 41306, 78652, 77367, 1.32179e+06, 32
0.029699, 0.0205843, 0.00911334, 0.00010237, 41182, 78119, 3321, 823640, 20
0.0321234, 0.0219859, 0.0101361, 0.000116461, 41174, 78490, 3321, 823480, 20
0.0365755, 0.0248771, 0.0116957, 0.000918446, 41167, 77737, 54735, 823340, 20
0.0424125, 0.0262131, 0.0161971, 0.00336059, 40094, 96809, 196185, 801880, 20
0.0472014, 0.028602, 0.0185977, 0.00394405, 29362, 103345, 232224, 587240, 20
0.0513332, 0.0328575, 0.0184738, 0.00463057, 32894, 102209, 284376, 657880, 20
0.0506279, 0.029385, 0.0212404, 0.00473982, 29188, 103070, 292740, 583760, 20
0.0570113, 0.0388044, 0.0182042, 0.003309, 34331, 104959, 228657, 1.09859e+06, 32
0.039285, 0.0244443, 0.0148388, 0.00166099, 25823, 90999, 100860, 516460, 20
0.0390915, 0.0250658, 0.0140235, 0.00137685, 25867, 92119, 77859, 517340, 20
0.0396907, 0.0258062, 0.0138825, 0.000839901, 25834, 91895, 38622, 516680, 20
0.0419201, 0.0284492, 0.013469, 0.000925267, 29237, 97079, 44280, 935584, 32
0.0524617, 0.0326553, 0.0198042, 0.00513219, 32742, 117049, 346614, 1.04774e+06, 32
0.0417791, 0.0260469, 0.0157304, 0.00213884, 25466, 103600, 147231, 814912, 32
0.0366465, 0.0235525, 0.0130926, 0.00147396, 25550, 107035, 118572, 817600, 32
0.0314985, 0.0224797, 0.00901742, 0.000573724, 25508, 106611, 42312, 816256, 32
0.0380033, 0.0251476, 0.0128541, 0.00199684, 38230, 116758, 183762, 1.22336e+06, 32
0.0346415, 0.0205034, 0.0141364, 0.00445691, 37555, 93281, 456699, 1.20176e+06, 32
0.0263419, 0.0157726, 0.0105678, 0.00226908, 33782, 79789, 213282, 1.08102e+06, 32
0.0301228, 0.020562, 0.00955912, 0.00146119, 33416, 79375, 128535, 1.06931e+06, 32
0.0210716, 0.0135512, 0.00751791, 0.000957209, 24745, 70061, 83394, 494900, 20
0.0246712, 0.0163818, 0.00828729, 0.000970941, 32793, 79155, 82533, 1.04938e+06, 32
0.0296037, 0.019855, 0.00974663, 0.00217818, 65395, 76918, 192864, 2.09264e+06, 32
0.0235426, 0.0142122, 0.00932847, 0.00156917, 46807, 74232, 144525, 1.49782e+06, 32
0.0365844, 0.021306, 0.0152768, 0.00486387, 46175, 94047, 447966, 1.4776e+06, 32
0.0489598, 0.0250065, 0.023951, 0.00720189, 32318, 112812, 725700, 1.03418e+06, 32
0.0363448, 0.0211062, 0.0152373, 0.00291199, 26924, 110197, 289296, 861568, 32
0.0322304, 0.0213065, 0.0109219, 0.00152973, 14173, 91062, 121647, 283460, 20
0.0235857, 0.0160013, 0.00758223, 0.00086427, 14282, 91165, 87084, 285640, 20
0.025343, 0.0154977, 0.00984346, 0.00101401, 14126, 90530, 70233, 282520, 20
0.0106222, 0.00713695, 0.00348417, 0.000297883, 8104, 32322, 23124, 162080, 20
0.0230147, 0.0140153, 0.00899801, 0.000618786, 14127, 90436, 38130, 282540, 20
0.0266852, 0.0171106, 0.00957246, 0.000494889, 14127, 90206, 28536, 282540, 20
0.0252258, 0.0164087, 0.00881517, 0.000277508, 14147, 91390, 12915, 282940, 20
0.0364478, 0.0225605, 0.0138845, 0.00180921, 31907, 111040, 152028, 1.02102e+06, 32
0.0452798, 0.0247369, 0.02054, 0.00675252, 32818, 101827, 556083, 1.05018e+06, 32
0.0323311, 0.0185586, 0.0137712, 0.00391284, 31234, 88947, 344031, 624680, 20
0.0291096, 0.0182427, 0.0108652, 0.00206006, 26449, 82472, 171954, 528980, 20
0.0349293, 0.0225583, 0.0123695, 0.00224418, 34953, 89299, 194955, 1.1185e+06, 32
0.0300329, 0.0186443, 0.0113871, 0.00152124, 31681, 84471, 129642, 1.01379e+06, 32
0.0140994, 0.00874725, 0.00535052, 0.00136229, 21651, 39415, 98031, 433020, 20
0.0320326, 0.0220456, 0.009985, 0.00205526, 29053, 80621, 175152, 581060, 20
0.0302266, 0.0165375, 0.0136872, 0.0037013, 33759, 83796, 316479, 675180, 20
0.0367293, 0.0232474, 0.0134796, 0.00317357, 44309, 89514, 288435, 1.41789e+06, 32
0.0295647, 0.019663, 0.00990013, 0.00122842, 40724, 84865, 95694, 814480, 20
0.0300573, 0.0190093, 0.0110464, 0.00136129, 29272, 81474, 113406, 936704, 32
0.0211507, 0.0139718, 0.00717649, 0.000336931, 21573, 73582, 18942, 431460, 20
0.00637214, 0.00453962, 0.00183135, 0.000124119, 15572, 17933, 9225, 311440, 20
0.0221717, 0.0155068, 0.00666247, 6.5304e-05, 21576, 74081, 2214, 431520, 20
0.030654, 0.0216601, 0.00899199, 0.000516008, 29238, 81259, 31980, 935616, 32
0.00861431, 0.00691864, 0.00169397, 0.000130642, 15572, 17986, 11316, 311440, 20
0.0186436, 0.0130463, 0.00559529, 3.514e-06, 21598, 74009, 123, 431960, 20
0.0185942, 0.0121718, 0.00642069, 0.000175406, 21594, 73622, 8241, 431880, 20
0.0191722, 0.0127989, 0.00637157, 0.000371877, 21549, 74461, 21525, 430980, 20
