elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.001,3203544,3180118,0,7851376,0,6311728,0,0.0,0.0
1.026,3207088,3182691,0,7824184,0,6352800,0,0.0,0.0
2.049,3214136,3189661,0,7755296,0,6389384,0,0.0,0.0
3.071,3217520,3193045,0,7573400,0,6525200,0,0.0,0.0
4.092,3220272,3195797,0,7628292,0,6475708,0,0.0,0.0
5.119,3224160,3199685,0,7625840,0,6479248,0,0.0,0.0
6.141,3225860,3201385,0,7621720,0,6483636,0,0.0,0.0
7.164,3227116,3202640,0,7626224,0,6484932,0,0.0,0.0
8.187,3229356,3205739,0,7626600,0,6488732,0,0.0,0.0
9.211,3232096,3207620,0,7632032,0,6490200,0,0.0,0.0
10.233,3236564,3212088,0,7632368,0,6497580,0,0.0,0.0
11.258,3240996,3216521,0,7648268,0,6501588,0,0.0,0.0
12.283,3241964,3217489,0,7648084,0,6501768,0,0.0,0.0
13.305,3243700,3219223,0,7653920,0,6502780,0,0.0,0.0
14.333,3243700,3219224,0,7672456,0,6503388,0,0.0,0.0
15.359,3245184,3220709,0,7676376,0,6504172,0,0.0,0.0
16.383,3246608,3222133,0,7672180,0,6507940,0,0.0,0.0
17.405,3246608,3222132,0,7671592,0,6508172,0,0.0,0.0
18.429,3249064,3224588,0,7667640,0,6510040,0,0.0,0.0
19.454,3250284,3225808,0,7647668,0,6516580,0,0.0,0.0
20.474,3250284,3225809,0,7655368,0,6517448,0,0.0,0.0
21.498,3250284,3225808,0,7659000,0,6517312,0,0.0,0.0
22.519,3250284,3225808,0,7658376,0,6518192,0,0.0,0.0
23.546,3250284,3225806,0,7665776,0,6517816,0,0.0,0.0
24.575,3250284,3225807,0,7667968,0,6516376,0,0.0,0.0
25.602,3251136,3226660,0,7669464,0,6518224,0,0.0,0.0
26.62,3251756,3227280,0,7665116,0,6520304,0,0.0,0.0
27.645,3251756,3227279,0,7667324,0,6520596,0,0.0,0.0
28.669,3251756,3227280,0,7664676,0,6522580,0,0.0,0.0
29.692,3252208,3227732,0,7662244,0,6523000,0,0.0,0.0
30.713,3252328,3227852,0,7661360,0,6523860,0,0.0,0.0
31.733,3252328,3227852,0,7660248,0,6523912,0,0.0,0.0
32.754,3252328,3227852,0,7664956,0,6514140,0,0.0,0.0
33.775,3252472,3227996,0,7663656,0,6516608,0,0.0,0.0
34.8,3254656,3230179,0,7660912,0,6517784,0,0.0,0.0
35.825,3256168,3231691,0,7658756,0,6518744,0,0.0,0.0
36.846,3256172,3231694,0,7656260,0,6521408,0,0.0,0.0
37.871,3259016,3234539,0,7649244,0,6526432,0,0.0,0.0
38.896,3259972,3235496,0,7646768,0,6528864,0,0.0,0.0
39.917,3260672,3236196,0,7620428,0,6524992,0,0.0,0.0
40.94,3261188,3236712,0,7617508,0,6528244,0,0.0,0.0
41.963,3263224,3238748,0,7622032,0,6530516,0,0.0,0.0
42.99,3268740,3244263,0,7612260,0,6539452,0,0.0,0.0
44.01,3271576,3247100,0,7600764,0,6538276,0,0.0,0.0
45.031,3272452,3247976,0,7599544,0,6539476,0,0.0,0.0
46.053,3277640,3253164,0,7597908,0,6544360,0,0.0,0.0
47.075,3278980,3254503,0,7600272,0,6545844,0,0.0,0.0
48.098,3279372,3254896,0,7633388,0,6549112,0,0.0,0.0
49.124,3279872,3255396,0,7626448,0,6550108,0,0.0,0.0
50.146,3280436,3255960,0,7628336,0,6550008,0,0.0,0.0
51.167,3280436,3255959,0,7626448,0,6552736,0,0.0,0.0
52.19,3280436,3255958,0,7634444,0,6553096,0,0.0,0.0
53.212,3280448,3255972,0,7637300,0,6553472,0,0.0,0.0
54.239,3281120,3256644,0,7636548,0,6554056,0,0.0,0.0
55.258,3281120,3256644,0,7638616,0,6553768,0,0.0,0.0
56.283,3281120,3256644,0,7644920,0,6548056,0,0.0,0.0
57.309,3281120,3256643,0,7641916,0,6548492,0,0.0,0.0
58.335,3281120,3256644,0,7647112,0,6546660,0,0.0,0.0
59.357,3282392,3257916,0,7644380,0,6547136,0,0.0,0.0
60.381,3282396,3257924,0,7642224,0,6547420,0,0.0,0.0
61.405,3282504,3258028,0,7642372,0,6547804,0,0.0,0.0
62.427,3282504,3258028,0,7640388,0,6548360,0,0.0,0.0
63.45,3282504,3258028,0,7642280,0,6548620,0,0.0,0.0
64.476,3288148,3263672,0,7633492,0,6554560,0,0.0,0.0
65.503,3288148,3263672,0,7633904,0,6554788,0,0.0,0.0
66.521,3288644,3264168,0,7631692,0,6553544,0,0.0,0.0
67.543,3288712,3264236,0,7629220,0,6553544,0,0.0,0.0
68.567,3289060,3264584,0,7630756,0,6554852,0,0.0,0.0
69.595,3291856,3267380,0,7628328,0,6557656,0,0.0,0.0
70.621,3291856,3267380,0,7627864,0,6557044,0,0.0,0.0
71.645,3292784,3268307,0,7629488,0,6558052,0,0.0,0.0
72.668,3292784,3268308,0,7631884,0,6558708,0,0.0,0.0
73.695,3292784,3268307,0,7629028,0,6558616,0,0.0,0.0
74.725,3293444,3268967,0,7631100,0,6558436,0,0.0,0.0
75.754,3293444,3268967,0,7628468,0,6558336,0,0.0,0.0
76.784,3293444,3268967,0,7627980,0,6558904,0,0.0,0.0
77.814,3293444,3268968,0,7635156,0,6558532,0,0.0,0.0
78.841,3293444,3268968,0,7634128,0,6558176,0,0.0,0.0
79.868,3293444,3268968,0,7632372,0,6559000,0,0.0,0.0
80.899,3293444,3268969,0,7632180,0,6559124,0,0.0,0.0
81.921,3293444,3268968,0,7627796,0,6561204,0,0.0,0.0
82.944,3293444,3268967,0,7627056,0,6559380,0,0.0,0.0
83.965,3293444,3268968,0,7630688,0,6558196,0,0.0,0.0
84.988,3293444,3268968,0,7629948,0,6558212,0,0.0,0.0
86.008,3293592,3269116,0,7629592,0,6561368,0,0.0,0.0
87.037,3293728,3269252,0,7628380,0,6561924,0,0.0,0.0
88.061,3293792,3269317,0,7622568,0,6563172,0,0.0,0.0
89.089,3293844,3269368,0,7619568,0,6565024,0,0.0,0.0
90.112,3293844,3269368,0,7615632,0,6565152,0,0.0,0.0
91.137,3294620,3270144,0,7611732,0,6564964,0,0.0,0.0
92.161,3296224,3271747,0,7605720,0,6567736,0,0.0,0.0
93.186,3297628,3273152,0,7582604,0,6571624,0,0.0,0.0
94.212,3299432,3274956,0,7581244,0,6574688,0,0.0,0.0
95.236,3299856,3275381,0,7583964,0,6574292,0,0.0,0.0
96.261,3299884,3275408,0,7571600,0,6576764,0,0.0,0.0
97.288,3301416,3276940,0,7573768,0,6577348,0,0.0,0.0
98.314,3301896,3277420,0,7575848,0,6579608,0,0.0,0.0
99.341,3301928,3277452,0,7580988,0,6579328,0,0.0,0.0
100.367,3301956,3277480,0,7580672,0,6577096,0,0.0,0.0
101.389,3301920,3278446,0,7647312,0,6512176,0,0.0,0.0
101.415,3301920,3278446,0,7647312,0,6512032,0,0.0,0.0
