Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.0646971, 0.0276789, 0.037017, 0.0185815, 18591, 125892, 1.23135e+06, 594912, 32
0.0416136, 0.0235999, 0.018013, 0.00453509, 18582, 127236, 588678, 594624, 32
0.0371508, 0.0211739, 0.015975, 0.00115991, 18603, 125653, 80811, 595296, 32
0.109648, 0.0851393, 0.0245065, 0.00392295, 18518, 126852, 268509, 592576, 32
0.043506, 0.0285906, 0.014913, 0, 18611, 125772, 0, 595552, 32
0.03844, 0.0248706, 0.0135674, 0.000552769, 18509, 127024, 29274, 592288, 32
0.0349936, 0.0228983, 0.0120938, 5.353e-06, 18454, 125357, 123, 590528, 32
0.0571911, 0.0302138, 0.0269762, 0.00611776, 22875, 135476, 379947, 732000, 32
0.0497728, 0.0247703, 0.0250001, 0.00793677, 19324, 122924, 630867, 618368, 32
0.0437211, 0.022639, 0.0210795, 0.0069654, 24522, 120793, 655098, 784704, 32
0.0369434, 0.0210521, 0.0158891, 0.00279468, 21872, 111839, 273306, 699904, 32
0.0366578, 0.0222454, 0.0144107, 0.00199042, 21930, 111212, 198522, 701760, 32
0.042231, 0.0237551, 0.0184729, 0.00210051, 25663, 122977, 164328, 821216, 32
0.0358301, 0.0198316, 0.0159971, 0.0044552, 48547, 100399, 412419, 1.5535e+06, 32
0.0281343, 0.0151032, 0.0130296, 0.00272552, 40481, 91836, 250182, 1.29539e+06, 32
0.0252599, 0.0140188, 0.0112395, 0.00365632, 52799, 71149, 429147, 1.68957e+06, 32
0.0390508, 0.0211814, 0.0178674, 0.00602038, 36515, 100350, 607620, 1.16848e+06, 32
0.036591, 0.0230838, 0.0135056, 0.00267282, 30241, 94190, 272937, 967712, 32
0.0297024, 0.0187262, 0.0109742, 0.00149225, 30285, 94540, 151782, 969120, 32
0.0276313, 0.0186577, 0.00897211, 4.7195e-05, 30276, 94484, 1476, 968832, 32
0.0262908, 0.0163755, 0.00991386, 0.000863417, 30169, 92588, 64452, 965408, 32
0.030634, 0.0210733, 0.00955764, 0.00057488, 30271, 94178, 36162, 968672, 32
0.0307305, 0.0194391, 0.0112887, 0.00154417, 36930, 100879, 128781, 1.18176e+06, 32
0.0359598, 0.0228152, 0.0131424, 0.00351531, 42792, 98089, 324843, 1.36934e+06, 32
0.0316421, 0.0204518, 0.0111881, 0.00212315, 42942, 99002, 218448, 1.37414e+06, 32
0.0297219, 0.0192508, 0.0104698, 0.00167092, 36285, 100421, 159408, 1.16112e+06, 32
0.0291273, 0.0172028, 0.011923, 0.00404711, 56961, 82369, 420660, 1.82275e+06, 32
0.0252406, 0.0156831, 0.00955513, 0.00157772, 38666, 72209, 154242, 1.23731e+06, 32
0.0243039, 0.0158884, 0.00841404, 0.00109863, 39667, 74444, 100614, 1.26934e+06, 32
0.02439, 0.0157016, 0.00868679, 0.000842021, 39428, 73176, 59655, 1.2617e+06, 32
0.0252851, 0.0161562, 0.00912676, 0.00137686, 49543, 83493, 124107, 1.58538e+06, 32
0.0258987, 0.0172772, 0.00861987, 0.000994774, 51723, 82622, 92496, 1.65514e+06, 32
0.0247134, 0.0149529, 0.00975941, 0.00154103, 49215, 73315, 123738, 1.57488e+06, 32
0.0268123, 0.0161557, 0.0106552, 0.0026441, 51499, 78881, 226197, 1.64797e+06, 32
0.0287417, 0.0175691, 0.0111707, 0.00268378, 49107, 85979, 264081, 1.57142e+06, 32
0.0319233, 0.0208591, 0.0110625, 0.00211784, 51245, 87402, 201105, 1.63984e+06, 32
0.0360677, 0.0220965, 0.0139699, 0.00309331, 45199, 99991, 333699, 1.44637e+06, 32
0.0330932, 0.0198472, 0.0132438, 0.00240568, 32687, 93760, 228534, 1.04598e+06, 32
0.0336507, 0.0212359, 0.0124133, 0.00223314, 32047, 99733, 210945, 1.0255e+06, 32
0.0399325, 0.0240418, 0.0158889, 0.00306058, 28461, 107303, 253134, 910752, 32
0.0295732, 0.0193221, 0.0102488, 0.0013363, 25465, 101239, 145140, 814880, 32
0.0356955, 0.021432, 0.0142622, 0.00241524, 31614, 113896, 208731, 1.01165e+06, 32
0.0328311, 0.0199681, 0.0128617, 0.0022688, 29022, 112458, 213774, 928704, 32
0.0365228, 0.0204123, 0.0161083, 0.00513762, 28085, 105206, 503439, 898720, 32
0.031368, 0.0188164, 0.0125499, 0.0030549, 31363, 101542, 310821, 1.00362e+06, 32
0.034883, 0.0217456, 0.0131356, 0.00290941, 34786, 101437, 287697, 1.11315e+06, 32
0.0363955, 0.0243218, 0.0120725, 0.00239676, 36520, 101595, 248214, 1.16864e+06, 32
0.0301851, 0.0203435, 0.00983989, 0.00133305, 35873, 94139, 146862, 1.14794e+06, 32
0.0280928, 0.0185664, 0.00952477, 0.00111002, 32716, 89393, 91635, 1.04691e+06, 32
0.0258737, 0.0177843, 0.00808787, 0.000734636, 31776, 88017, 61500, 1.01683e+06, 32
0.0270615, 0.0186178, 0.00844159, 0.000576655, 31731, 86615, 39237, 1.01539e+06, 32
0.0300413, 0.0206699, 0.00936944, 0.00056321, 31786, 87617, 39360, 1.01715e+06, 32
0.0263737, 0.019332, 0.00703962, 1.385e-05, 31808, 88077, 369, 1.01786e+06, 32
0.0283198, 0.0210253, 0.00729268, 0.000216371, 31719, 86506, 10209, 1.01501e+06, 32
0.0248016, 0.0178482, 0.00695166, 5.39e-06, 31798, 87793, 123, 1.01754e+06, 32
0.026306, 0.0189636, 0.007341, 5.168e-06, 31806, 88093, 246, 1.01779e+06, 32
0.0290632, 0.0216093, 0.00745197, 5.082e-06, 31778, 87930, 123, 1.0169e+06, 32
0.0261386, 0.0195768, 0.0065603, 6.967e-06, 31719, 86506, 246, 1.01501e+06, 32
0.0246884, 0.0177759, 0.00691082, 0.000146307, 31771, 87519, 6765, 1.01667e+06, 32
0.0286166, 0.020054, 0.00856098, 0.000901981, 34909, 93214, 68265, 1.11709e+06, 32
0.0293894, 0.0194517, 0.00993618, 0.00197605, 33630, 90180, 178350, 1.07616e+06, 32
0.0310253, 0.019896, 0.0111273, 0.00243185, 32940, 84838, 225705, 1.05408e+06, 32
0.0313539, 0.0209826, 0.010369, 0.00203605, 37141, 93422, 188928, 1.18851e+06, 32
0.0274035, 0.018753, 0.00864862, 0.00119473, 29744, 86958, 107748, 951808, 32
0.0247215, 0.0180233, 0.00669656, 0.000151962, 29747, 87029, 6642, 951904, 32
0.0276868, 0.017997, 0.00968788, 0.00163649, 51798, 88523, 144648, 1.65754e+06, 32
0.0267726, 0.0174029, 0.00936781, 0.00147773, 49886, 88856, 141942, 1.59635e+06, 32
0.02538, 0.0176927, 0.00768537, 0.000612078, 49801, 89088, 46002, 1.59363e+06, 32
0.0281781, 0.0197815, 0.00839467, 0.00120901, 45638, 85109, 113652, 1.46042e+06, 32
0.0263945, 0.0165706, 0.00982242, 0.00228243, 48665, 82521, 221892, 1.55728e+06, 32
0.0256293, 0.0142823, 0.0113456, 0.00303105, 54468, 78957, 322506, 1.74298e+06, 32
0.023481, 0.0154319, 0.00804715, 0.00182312, 66939, 69775, 200121, 2.14205e+06, 32
0.0210203, 0.0126645, 0.00835467, 0.00181018, 66998, 67385, 190281, 2.14394e+06, 32
0.0247711, 0.0141295, 0.0106397, 0.0019821, 43356, 67631, 197784, 1.38739e+06, 32
0.0302407, 0.0188588, 0.0113796, 0.00375972, 29559, 75674, 475764, 945888, 32
0.0265611, 0.0170733, 0.00948574, 0.00199662, 21281, 77466, 238497, 680992, 32
0.0256092, 0.0160664, 0.00954095, 0.0015317, 16658, 74614, 153012, 533056, 32
