Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.0247188, 0.012609, 0.0121044, 0.00660827, 5921, 43537, 401964, 118420, 20
0.0150675, 0.0101202, 0.00494625, 0.000625234, 5917, 43081, 46863, 118340, 20
0.0160018, 0.00955696, 0.00644375, 0.00158953, 5890, 43819, 159408, 117800, 20
0.017482, 0.0128944, 0.00458615, 0, 5901, 43037, 0, 118020, 20
0.0199557, 0.0140781, 0.00587565, 0.000911714, 5880, 43930, 63468, 117600, 20
0.0175547, 0.0121982, 0.00535505, 0.000471347, 5925, 43885, 28290, 118500, 20
0.0160037, 0.0109821, 0.00501942, 0, 5923, 43680, 0, 118460, 20
0.0155173, 0.0110677, 0.00444861, 0, 5890, 43819, 0, 117800, 20
0.0195831, 0.0116271, 0.00795441, 0.00289872, 8065, 43375, 173307, 161300, 20
0.019554, 0.0116816, 0.00787084, 0.00267614, 7114, 40682, 172938, 142280, 20
0.0229825, 0.0119729, 0.0110069, 0.00420378, 12115, 47756, 282039, 242300, 20
0.0175393, 0.0111887, 0.00634862, 0.00170009, 12267, 41618, 135054, 245340, 20
0.014129, 0.00949796, 0.00462971, 0.00116043, 10646, 37232, 99015, 212920, 20
0.0124265, 0.00840039, 0.00402529, 0.000991507, 8439, 33860, 77490, 168780, 20
0.0136402, 0.00937109, 0.00426757, 0.000617568, 8359, 33186, 44403, 167180, 20
0.012696, 0.00876285, 0.00393214, 0.000482544, 8345, 33302, 37392, 166900, 20
0.0120665, 0.00833285, 0.00373241, 0.000887952, 13091, 26255, 74907, 261820, 20
0.0141108, 0.0103397, 0.00376951, 0.000952012, 14664, 28952, 53874, 293280, 20
0.0132705, 0.00800646, 0.00526224, 0.00237163, 35095, 25409, 171462, 701900, 20
0.0131748, 0.00828488, 0.00488886, 0.00176324, 37132, 27929, 137883, 742640, 20
0.0126852, 0.00796998, 0.0047137, 0.00143804, 35645, 29312, 109593, 712900, 20
0.0143264, 0.0102496, 0.00407468, 0.000749938, 35618, 29466, 63960, 712360, 20
0.0120237, 0.0085547, 0.00346711, 0.000380452, 35679, 29599, 24846, 713580, 20
0.0120415, 0.00849178, 0.00354718, 0.000331046, 35682, 30032, 21525, 713640, 20
0.0112093, 0.00836598, 0.00284184, 7.6065e-05, 35610, 29505, 3813, 712200, 20
