elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.0,3172860,3148268,0,6808384,0,7227088,0,0.0,0.0
1.091,3194268,3168902,0,6753000,0,7297120,0,0.0,0.0
2.125,3208416,3183049,0,6713676,0,7331124,0,0.0,0.0
3.155,3212168,3186802,0,6574396,0,7466692,0,0.0,0.0
4.187,3215376,3190009,0,6566640,0,7475088,0,0.0,0.0
5.215,3220948,3195582,0,6562096,0,7482548,0,0.0,0.0
6.248,3228164,3202792,0,6556648,0,7493344,0,0.0,0.0
7.278,3230176,3204880,0,6555720,0,7495528,0,0.0,0.0
8.309,3231560,3206187,0,6557524,0,7500548,0,0.0,0.0
9.339,3231640,3206267,0,6557676,0,7497044,0,0.0,0.0
10.365,3232408,3207036,0,6559344,0,7498428,0,0.0,0.0
11.434,3234892,3209519,0,6561616,0,7501680,0,0.0,0.0
12.473,3237140,3211767,0,6560220,0,7506936,0,0.0,0.0
13.502,3239932,3214560,0,6558656,0,7507712,0,0.0,0.0
14.536,3242108,3216736,0,6560376,0,7509264,0,0.0,0.0
15.565,3242684,3217312,0,6559604,0,7509600,0,0.0,0.0
16.589,3242684,3217312,0,6562348,0,7509976,0,0.0,0.0
17.615,3242956,3217584,0,6560540,0,7510148,0,0.0,0.0
18.648,3243552,3218180,0,6562360,0,7510964,0,0.0,0.0
19.676,3244172,3218800,0,6568364,0,7498420,0,0.0,0.0
20.708,3246400,3221027,0,6568596,0,7501964,0,0.0,0.0
21.805,3246400,3221028,0,6567728,0,7500776,0,0.0,0.0
22.842,3246400,3221028,0,6564412,0,7502420,0,0.0,0.0
23.876,3247708,3222335,0,6569012,0,7505296,0,0.0,0.0
24.908,3247708,3222336,0,6561344,0,7506840,0,0.0,0.0
25.944,3247708,3222335,0,6561600,0,7508616,0,0.0,0.0
26.975,3248572,3223200,0,6558884,0,7510592,0,0.0,0.0
28.009,3249860,3224488,0,6559480,0,7513244,0,0.0,0.0
29.041,3256516,3231144,0,6564848,0,7519948,0,0.0,0.0
30.071,3256556,3231183,0,6567212,0,7519348,0,0.0,0.0
31.096,3256736,3231364,0,6565924,0,7520808,0,0.0,0.0
32.169,3257896,3232524,0,6563692,0,7522928,0,0.0,0.0
33.203,3260356,3234984,0,6562808,0,7524372,0,0.0,0.0
34.233,3260364,3234991,0,6555600,0,7524848,0,0.0,0.0
35.263,3265824,3240452,0,6548408,0,7530012,0,0.0,0.0
36.299,3267164,3241792,0,6548100,0,7531196,0,0.0,0.0
37.329,3267844,3242472,0,6544496,0,7531764,0,0.0,0.0
38.356,3267844,3242471,0,6543272,0,7530592,0,0.0,0.0
39.39,3268508,3243136,0,6543292,0,7531892,0,0.0,0.0
40.428,3268508,3243136,0,6543836,0,7531668,0,0.0,0.0
41.458,3269740,3244368,0,6542312,0,7533528,0,0.0,0.0
42.558,3272532,3247160,0,6541256,0,7536724,0,0.0,0.0
43.59,3272856,3247483,0,6540892,0,7536252,0,0.0,0.0
44.622,3273260,3247887,0,6540156,0,7536872,0,0.0,0.0
45.656,3273880,3248508,0,6541040,0,7538800,0,0.0,0.0
46.693,3273880,3248508,0,6542792,0,7539616,0,0.0,0.0
47.729,3273952,3248667,0,6542140,0,7540100,0,0.0,0.0
48.764,3274044,3248672,0,6541972,0,7539968,0,0.0,0.0
49.798,3275608,3250236,0,6539652,0,7539648,0,0.0,0.0
50.831,3275660,3250292,0,6542592,0,7539876,0,0.0,0.0
51.861,3275660,3250287,0,6530316,0,7540504,0,0.0,0.0
52.937,3275660,3250288,0,6517228,0,7540108,0,0.0,0.0
53.967,3275660,3250288,0,6516960,0,7541008,0,0.0,0.0
54.989,3275664,3250291,0,6514780,0,7539864,0,0.0,0.0
56.019,3276652,3251279,0,6516200,0,7542564,0,0.0,0.0
57.048,3281520,3256148,0,6516988,0,7547028,0,0.0,0.0
58.077,3285540,3260168,0,6511296,0,7550764,0,0.0,0.0
59.103,3285540,3260167,0,6508052,0,7551468,0,0.0,0.0
60.137,3287816,3262443,0,6506460,0,7555192,0,0.0,0.0
61.175,3296396,3271023,0,6501284,0,7564340,0,0.0,0.0
62.209,3297560,3272188,0,6501572,0,7564456,0,0.0,0.0
63.3,3317872,3292499,0,6479080,0,7584984,0,0.0,0.0
64.337,3317904,3292531,0,6504280,0,7584476,0,0.0,0.0
65.366,3318284,3292911,0,6507568,0,7585376,0,0.0,0.0
66.398,3318320,3292947,0,6508948,0,7585176,0,0.0,0.0
67.427,3318348,3292976,0,6508444,0,7585564,0,0.0,0.0
68.461,3318376,3293004,0,6509524,0,7585784,0,0.0,0.0
69.494,3318400,3293028,0,6518308,0,7586084,0,0.0,0.0
70.531,3318420,3293051,0,6515564,0,7586112,0,0.0,0.0
71.564,3318452,3293080,0,6513676,0,7586884,0,0.0,0.0
72.599,3318480,3293108,0,6511048,0,7586580,0,0.0,0.0
73.697,3318508,3293136,0,6514232,0,7587076,0,0.0,0.0
74.735,3318536,3293163,0,6521160,0,7585836,0,0.0,0.0
75.76,3318560,3293188,0,6518712,0,7585688,0,0.0,0.0
76.79,3318588,3293215,0,6522604,0,7586292,0,0.0,0.0
77.821,3318620,3293247,0,6524748,0,7586176,0,0.0,0.0
78.853,3318828,3293456,0,6523208,0,7587200,0,0.0,0.0
79.885,3318860,3293487,0,6517536,0,7586680,0,0.0,0.0
80.919,3318888,3293516,0,6518512,0,7587252,0,0.0,0.0
81.951,3318916,3293543,0,6518284,0,7587960,0,0.0,0.0
82.979,3319664,3294292,0,6514076,0,7592288,0,0.0,0.0
84.082,3319688,3294316,0,6516368,0,7592912,0,0.0,0.0
85.117,3319720,3294348,0,6516420,0,7594052,0,0.0,0.0
86.157,3319692,3294850,0,6574196,0,7530072,0,0.0,0.0
86.182,3319692,3294850,0,6573944,0,7529216,0,0.0,0.0
