Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.0216871, 0.00981578, 0.0118701, 0.00727864, 5906, 43066, 399873, 118120, 20
0.0151087, 0.00998603, 0.00512096, 0.000758923, 5921, 43537, 59532, 118420, 20
0.0170336, 0.0100551, 0.00697688, 0.00171814, 5894, 43901, 138744, 117880, 20
0.071933, 0.031447, 0.0404843, 0.0187976, 18518, 126852, 925698, 592576, 32
0.0149086, 0.0105225, 0.00438453, 0, 5901, 43037, 0, 118020, 20
0.0207281, 0.015382, 0.00534397, 0, 5886, 44187, 0, 117720, 20
0.0194363, 0.0123107, 0.00712356, 0.000582501, 5925, 43885, 28167, 118500, 20
0.0203571, 0.0128624, 0.00749148, 0, 5886, 44187, 0, 117720, 20
0.0758896, 0.041724, 0.0341619, 0.0103044, 21408, 135121, 595812, 685056, 32
0.0600223, 0.0289312, 0.0310889, 0.0102662, 19066, 121664, 642183, 610112, 32
0.0482376, 0.0264567, 0.0217796, 0.0041094, 19004, 121366, 347598, 608128, 32
0.0375627, 0.0197805, 0.0177809, 0.00230724, 10865, 111602, 164574, 217300, 20
0.0309562, 0.020321, 0.0106335, 1.3454e-05, 10832, 111149, 369, 216640, 20
0.029687, 0.018457, 0.0112276, 0.000420908, 10836, 111416, 16974, 216720, 20
0.0387362, 0.0212852, 0.0174494, 0.00259953, 16681, 117105, 167895, 333620, 20
0.0499147, 0.0271152, 0.0227968, 0.00636879, 24834, 111410, 413280, 794688, 32
0.0412589, 0.0238772, 0.0173803, 0.00357851, 17980, 105062, 238251, 359600, 20
0.0485339, 0.0284041, 0.0201285, 0.00544176, 28549, 118904, 431238, 913568, 32
0.0335506, 0.0189473, 0.0146015, 0.00205655, 18698, 103807, 139482, 373960, 20
0.0287974, 0.0161101, 0.012686, 0.00158634, 17882, 101887, 116235, 357640, 20
0.0116222, 0.00788034, 0.00374071, 0.000588185, 12864, 29713, 38376, 257280, 20
0.0313148, 0.018882, 0.0124314, 0.00168444, 21560, 105960, 115866, 431200, 20
0.0370722, 0.0212142, 0.0158565, 0.0061157, 48511, 80467, 527055, 1.55235e+06, 32
0.0448467, 0.0329403, 0.0119051, 0.00316417, 43299, 78089, 278472, 865980, 20
0.0334436, 0.0207769, 0.0126648, 0.00236458, 41365, 76960, 186222, 1.32368e+06, 32
0.0277664, 0.0180367, 0.00972748, 0.00142767, 38122, 72324, 119310, 1.2199e+06, 32
0.00971677, 0.00686834, 0.00284696, 4.4451e-05, 23860, 29602, 2214, 477200, 20
0.0384301, 0.0212968, 0.0171312, 0.0052866, 39249, 92349, 456084, 1.25597e+06, 32
0.0358264, 0.0214602, 0.0143648, 0.00391026, 33940, 90003, 336036, 1.08608e+06, 32
0.0269071, 0.0164931, 0.0104127, 0.00160979, 27886, 85919, 153750, 557720, 20
0.0219104, 0.0140695, 0.00783965, 0.00035345, 27880, 84769, 17712, 557600, 20
0.0271273, 0.0155962, 0.0115295, 0.0019788, 34175, 92940, 166542, 683500, 20
0.0339859, 0.0204369, 0.0135477, 0.00348274, 39220, 98739, 269739, 784400, 20
0.0363232, 0.0207648, 0.0155568, 0.00550574, 46945, 87560, 568260, 1.50224e+06, 32
0.0228781, 0.0137129, 0.00916391, 0.00151945, 39904, 80905, 149322, 798080, 20
0.0268275, 0.0159795, 0.0108468, 0.00188957, 31295, 80966, 183393, 1.00144e+06, 32
0.0335695, 0.0196659, 0.0139022, 0.00301187, 37830, 85796, 268632, 1.21056e+06, 32
0.0420315, 0.0241184, 0.0179117, 0.0061211, 49186, 90158, 492000, 1.57395e+06, 32
0.0332499, 0.0194837, 0.0137638, 0.00406158, 39225, 75755, 347967, 1.2552e+06, 32
0.0285688, 0.018495, 0.010072, 0.00209492, 38182, 73422, 169371, 1.22182e+06, 32
0.0251612, 0.0158456, 0.00931338, 0.00134254, 33287, 67682, 101229, 665740, 20
0.022527, 0.0151837, 0.00734182, 0.000928343, 32824, 66405, 71832, 656480, 20
0.0266625, 0.0174142, 0.00924676, 0.00144816, 41643, 76732, 114144, 1.33258e+06, 32
0.0382498, 0.0220807, 0.0161673, 0.00488387, 41538, 91847, 420537, 1.32922e+06, 32
0.0192924, 0.0103659, 0.00892513, 0.00342419, 34699, 43105, 274044, 693980, 20
0.0356308, 0.0208578, 0.0147706, 0.00448297, 39250, 81312, 373797, 785000, 20
0.0339287, 0.0210673, 0.0128599, 0.00348689, 35828, 81573, 272937, 716560, 20
0.043805, 0.0270014, 0.0168019, 0.00404148, 43815, 92038, 315495, 1.40208e+06, 32
0.0267352, 0.0171554, 0.00957789, 0.00131884, 19089, 72881, 90528, 381780, 20
0.0393482, 0.0255394, 0.0138074, 0.00226279, 36996, 89727, 162360, 1.18387e+06, 32
0.0193498, 0.012751, 0.00659737, 0.00226194, 29926, 37228, 163221, 598520, 20
0.0325453, 0.0209369, 0.0116071, 0.00310254, 34616, 87602, 211437, 692320, 20
0.0367518, 0.0214491, 0.0153008, 0.00562021, 39187, 67379, 476010, 1.25398e+06, 32
0.0256905, 0.0170994, 0.00858928, 0.00166655, 37051, 62082, 156087, 1.18563e+06, 32
0.0214585, 0.0159666, 0.00548991, 2.5532e-05, 37048, 62089, 738, 1.18554e+06, 32
0.0173207, 0.0116826, 0.00563672, 0.000337481, 30932, 56812, 19188, 618640, 20
0.00546353, 0.00384434, 0.00161781, 0.0002173, 24893, 16304, 19434, 497860, 20
0.0176069, 0.0108203, 0.00678495, 0.000915749, 35995, 57838, 71094, 719900, 20
0.0302377, 0.0192374, 0.0109987, 0.00191749, 40772, 83272, 152028, 1.3047e+06, 32
0.033453, 0.0186411, 0.0148097, 0.00482618, 36305, 82869, 477732, 1.16176e+06, 32
0.0277187, 0.01914, 0.00857615, 0.00087089, 32433, 78922, 75645, 648660, 20
0.0274424, 0.0171637, 0.0102771, 0.00155541, 29017, 75648, 149076, 928544, 32
0.023274, 0.0140971, 0.00917511, 0.00137193, 22570, 74990, 116973, 451400, 20
0.0286604, 0.0178838, 0.0107749, 0.00284168, 21610, 67562, 303195, 691520, 32
0.0228677, 0.0136842, 0.00918189, 0.00139348, 18137, 64474, 130134, 362740, 20
0.0241852, 0.0160337, 0.00815, 0.00114846, 25445, 67919, 109962, 814240, 32
0.0184753, 0.0112506, 0.00722381, 0.00109834, 9160, 60639, 75768, 183200, 20
0.0199306, 0.0121047, 0.007825, 0.00132136, 9781, 65975, 107748, 195620, 20
0.0280453, 0.0184057, 0.00963843, 0.00180744, 21536, 75865, 162729, 689152, 32
0.0237301, 0.016498, 0.00723103, 0.000751028, 17580, 68920, 52275, 351600, 20
0.0238365, 0.0168231, 0.00701216, 0.000520546, 18952, 64549, 27552, 379040, 20
0.027521, 0.0182198, 0.00929955, 0.00118133, 28068, 75312, 82164, 561360, 20
0.0273145, 0.0188789, 0.00843419, 0.000738142, 38266, 77930, 45756, 765320, 20
0.0328085, 0.0223432, 0.0104636, 0.00179484, 44031, 79108, 133086, 1.40899e+06, 32
0.0281104, 0.0189417, 0.00916699, 0.000884301, 36079, 71033, 60270, 1.15453e+06, 32
0.0257765, 0.017557, 0.00821805, 0.000774557, 35006, 67906, 45264, 700120, 20
0.0287276, 0.020315, 0.00841091, 0.000819637, 36549, 72000, 45018, 730980, 20
0.0156937, 0.0106523, 0.00503986, 0.00113302, 29739, 33351, 87945, 594780, 20
0.0189215, 0.0125528, 0.00636795, 0.00177916, 45311, 42707, 149322, 906220, 20
0.0360784, 0.0226637, 0.0134129, 0.00385577, 38351, 68271, 329886, 1.22723e+06, 32
0.0318065, 0.0218167, 0.00998768, 0.00166242, 35523, 67879, 117096, 1.13674e+06, 32
0.0152309, 0.0106764, 0.00455284, 0.000756629, 18534, 29324, 54612, 370680, 20
0.0185805, 0.0123896, 0.00618915, 0.00181946, 29516, 36436, 143910, 590320, 20
0.0206602, 0.0127429, 0.00791582, 0.00217563, 26846, 48439, 165681, 536920, 20
0.0389667, 0.0239447, 0.0150193, 0.00298208, 28608, 76179, 248214, 915456, 32
0.0214466, 0.0139939, 0.00745085, 0.00148315, 22675, 45144, 120663, 453500, 20
0.023342, 0.0161244, 0.00721557, 0.00120672, 22904, 44580, 98154, 458080, 20
0.0194118, 0.0122757, 0.00713413, 0.00141528, 17436, 39435, 115866, 348720, 20
0.0489185, 0.0289136, 0.0200033, 0.00607737, 43416, 91780, 445998, 1.38931e+06, 32
0.0348282, 0.021564, 0.0132619, 0.00394438, 39689, 78556, 299628, 793780, 20
0.0379763, 0.0246691, 0.0133058, 0.00321461, 42560, 77446, 239235, 1.36192e+06, 32
0.0184758, 0.0107664, 0.00770798, 0.00274518, 32764, 31907, 205287, 655280, 20
0.0132915, 0.00877456, 0.00451529, 0.000831954, 29965, 30359, 64575, 599300, 20
0.0164741, 0.0106725, 0.00580018, 0.00123644, 38239, 34086, 97047, 764780, 20
0.0208113, 0.0135396, 0.00727099, 0.00256127, 56901, 41578, 218940, 1.13802e+06, 20
0.0167616, 0.0107662, 0.00599352, 0.0021347, 39711, 39297, 184500, 794220, 20
0.0210842, 0.0119051, 0.00917753, 0.00305077, 25768, 42639, 206271, 515360, 20
0.037892, 0.0210494, 0.0168399, 0.00564266, 23515, 82803, 581421, 752480, 32
0.0297877, 0.018083, 0.0117028, 0.0021629, 23558, 83590, 225336, 753856, 32
0.0406551, 0.0251568, 0.0154966, 0.00332667, 32013, 97155, 294216, 1.02442e+06, 32
0.0335406, 0.0202176, 0.0133214, 0.00315125, 23811, 99545, 267156, 476220, 20
0.040159, 0.022942, 0.0172157, 0.00380988, 21927, 103707, 298029, 438540, 20
0.0299726, 0.0177939, 0.0121771, 0.00271901, 16465, 88486, 195324, 329300, 20
0.0315815, 0.0193812, 0.0121989, 0.00275079, 38758, 81390, 217464, 775160, 20
0.0306222, 0.0187278, 0.0118923, 0.00389835, 58128, 69567, 332592, 1.16256e+06, 20
0.0298325, 0.0179011, 0.0119295, 0.00380571, 41324, 65320, 321399, 826480, 20
0.0383483, 0.025288, 0.0130584, 0.00465178, 57470, 73454, 380070, 1.83904e+06, 32
0.0247826, 0.016227, 0.0085542, 0.0019269, 39816, 63162, 152397, 796320, 20
0.0384621, 0.0231917, 0.0152684, 0.00603857, 41052, 73328, 561249, 1.31366e+06, 32
0.0305479, 0.0186801, 0.0118665, 0.00305645, 39037, 74133, 293232, 1.24918e+06, 32
