elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.0,3180092,3155588,0,6830316,0,7200360,0,0.0,0.0
1.096,3182080,3157013,0,6767752,0,7268896,0,0.0,0.0
2.138,3187220,3162117,0,6772780,0,7271664,0,0.0,0.0
3.171,3189704,3164569,0,6642456,0,7406440,0,0.0,0.0
4.202,3194264,3169065,0,6636560,0,7416996,0,0.0,0.0
5.234,3195996,3170733,0,6647480,0,7421144,0,0.0,0.0
6.266,3198960,3173697,0,6651796,0,7423500,0,0.0,0.0
7.292,3200924,3175651,0,6651936,0,7429440,0,0.0,0.0
8.315,3202372,3177099,0,6650128,0,7429700,0,0.0,0.0
9.347,3203952,3178585,0,6640588,0,7433760,0,0.0,0.0
10.377,3205000,3179727,0,6640860,0,7434692,0,0.0,0.0
11.469,3206804,3181531,0,6628988,0,7437352,0,0.0,0.0
12.499,3207444,3182171,0,6628876,0,7438448,0,0.0,0.0
13.525,3208600,3183326,0,6624936,0,7441776,0,0.0,0.0
14.554,3213444,3188171,0,6615640,0,7444768,0,0.0,0.0
15.584,3213444,3188168,0,6606684,0,7445712,0,0.0,0.0
16.61,3214860,3189587,0,6612568,0,7445240,0,0.0,0.0
17.638,3215140,3189868,0,6615256,0,7446940,0,0.0,0.0
18.681,3215140,3189867,0,6613132,0,7445848,0,0.0,0.0
19.716,3217772,3192499,0,6609236,0,7449692,0,0.0,0.0
20.76,3217772,3192499,0,6603176,0,7449392,0,0.0,0.0
21.83,3217772,3192499,0,6603744,0,7449704,0,0.0,0.0
22.867,3218240,3192968,0,6606012,0,7449656,0,0.0,0.0
23.898,3220508,3195235,0,6606064,0,7452428,0,0.0,0.0
24.926,3220508,3195235,0,6608896,0,7452668,0,0.0,0.0
25.957,3225756,3200481,0,6606488,0,7458448,0,0.0,0.0
26.983,3226716,3201441,0,6609328,0,7459772,0,0.0,0.0
28.015,3226716,3201441,0,6613400,0,7460592,0,0.0,0.0
29.038,3226716,3201441,0,6614540,0,7461548,0,0.0,0.0
30.069,3228820,3203545,0,6612552,0,7463664,0,0.0,0.0
31.096,3230636,3205361,0,6608680,0,7464892,0,0.0,0.0
32.159,3235768,3210493,0,6598328,0,7470156,0,0.0,0.0
33.191,3235768,3210493,0,6597932,0,7470800,0,0.0,0.0
34.214,3240032,3214756,0,6591752,0,7475096,0,0.0,0.0
35.247,3243968,3218693,0,6584836,0,7478936,0,0.0,0.0
36.282,3245276,3220001,0,6591088,0,7479884,0,0.0,0.0
37.316,3247740,3222465,0,6587844,0,7482552,0,0.0,0.0
38.35,3247764,3222488,0,6586440,0,7481644,0,0.0,0.0
39.38,3247792,3222516,0,6586344,0,7482716,0,0.0,0.0
40.412,3248272,3222997,0,6589104,0,7483224,0,0.0,0.0
41.442,3250172,3224897,0,6590172,0,7484188,0,0.0,0.0
42.517,3250204,3224929,0,6589396,0,7484812,0,0.0,0.0
43.547,3250236,3224960,0,6589176,0,7484944,0,0.0,0.0
44.575,3250264,3224993,0,6588004,0,7485776,0,0.0,0.0
