elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.0,3202932,3179236,0,7076144,0,6975028,0,0.0,0.0
1.09,3206448,3181953,0,7065516,0,7004324,0,0.0,0.0
2.124,3216608,3191952,0,7023332,0,7054756,0,0.0,0.0
3.156,3219340,3194683,0,6881564,0,7193868,0,0.0,0.0
4.186,3222528,3197871,0,6877556,0,7201072,0,0.0,0.0
5.219,3228588,3203931,0,6873188,0,7207432,0,0.0,0.0
6.249,3233768,3209111,0,6875704,0,7212412,0,0.0,0.0
7.277,3235324,3210667,0,6871068,0,7216548,0,0.0,0.0
8.306,3236540,3211877,0,6870936,0,7217700,0,0.0,0.0
9.334,3238128,3213465,0,6872956,0,7219960,0,0.0,0.0
10.357,3242204,3217540,0,6870804,0,7223736,0,0.0,0.0
11.415,3243228,3218566,0,6867784,0,7226716,0,0.0,0.0
12.441,3244200,3219538,0,6870728,0,7227912,0,0.0,0.0
13.465,3245500,3220837,0,6867656,0,7229520,0,0.0,0.0
14.493,3249960,3225297,0,6860856,0,7238004,0,0.0,0.0
15.519,3250256,3225593,0,6857888,0,7238056,0,0.0,0.0
16.545,3250256,3225593,0,6858936,0,7237272,0,0.0,0.0
17.578,3250256,3225594,0,6860400,0,7237996,0,0.0,0.0
18.608,3250676,3226013,0,6860644,0,7237320,0,0.0,0.0
19.632,3251976,3227314,0,6858916,0,7236496,0,0.0,0.0
20.659,3251976,3227313,0,6859744,0,7236884,0,0.0,0.0
21.723,3252188,3227526,0,6862328,0,7236780,0,0.0,0.0
22.748,3252188,3227526,0,6872460,0,7237100,0,0.0,0.0
23.776,3252380,3227718,0,6866968,0,7237196,0,0.0,0.0
24.804,3252380,3227717,0,6866256,0,7236460,0,0.0,0.0
25.833,3252424,3227761,0,6861396,0,7237156,0,0.0,0.0
26.863,3253960,3229296,0,6861920,0,7237988,0,0.0,0.0
27.894,3253960,3229297,0,6855348,0,7236924,0,0.0,0.0
28.925,3253960,3229296,0,6854664,0,7237652,0,0.0,0.0
29.955,3255860,3231196,0,6847520,0,7242592,0,0.0,0.0
30.978,3262036,3237373,0,6846796,0,7246572,0,0.0,0.0
32.06,3264160,3239494,0,6844236,0,7249844,0,0.0,0.0
33.095,3271348,3246686,0,6839696,0,7255864,0,0.0,0.0
34.124,3272092,3247429,0,6841496,0,7256476,0,0.0,0.0
35.145,3273188,3248525,0,6842044,0,7256204,0,0.0,0.0
36.175,3273760,3249097,0,6840060,0,7259624,0,0.0,0.0
37.203,3273760,3249097,0,6841220,0,7257044,0,0.0,0.0
38.232,3273792,3249129,0,6840536,0,7257600,0,0.0,0.0
39.263,3273912,3249249,0,6828744,0,7259016,0,0.0,0.0
40.294,3274672,3250009,0,6829188,0,7259496,0,0.0,0.0
41.325,3275252,3250589,0,6831056,0,7260300,0,0.0,0.0
42.391,3275964,3251301,0,6831860,0,7261048,0,0.0,0.0
43.418,3275964,3251301,0,6831180,0,7261492,0,0.0,0.0
44.446,3275964,3251301,0,6836664,0,7261412,0,0.0,0.0
45.473,3276220,3251557,0,6834644,0,7261996,0,0.0,0.0
46.493,3276220,3251557,0,6838028,0,7261796,0,0.0,0.0
47.517,3276964,3252300,0,6830988,0,7263004,0,0.0,0.0
48.551,3277000,3252338,0,6831284,0,7263308,0,0.0,0.0
49.58,3277728,3253066,0,6832900,0,7264520,0,0.0,0.0
50.603,3281632,3256969,0,6840008,0,7268264,0,0.0,0.0
51.625,3282984,3258321,0,6831580,0,7269668,0,0.0,0.0
52.689,3283484,3258821,0,6830216,0,7270208,0,0.0,0.0
53.718,3283600,3258938,0,6830264,0,7271064,0,0.0,0.0
54.747,3283600,3258937,0,6832316,0,7270864,0,0.0,0.0
55.774,3283600,3258937,0,6830312,0,7270692,0,0.0,0.0
56.808,3283600,3258938,0,6831252,0,7271008,0,0.0,0.0
57.831,3285732,3261070,0,6829240,0,7273848,0,0.0,0.0
58.859,3285732,3261069,0,6829088,0,7273524,0,0.0,0.0
59.885,3286196,3261533,0,6833064,0,7273904,0,0.0,0.0
60.912,3286340,3261681,0,6833768,0,7273560,0,0.0,0.0
61.942,3286372,3261710,0,6824900,0,7274132,0,0.0,0.0
63.004,3286400,3261737,0,6825380,0,7274576,0,0.0,0.0
64.034,3286424,3261761,0,6823200,0,7277052,0,0.0,0.0
65.064,3286556,3261894,0,6824964,0,7277476,0,0.0,0.0
66.093,3286584,3261922,0,6824572,0,7277092,0,0.0,0.0
67.12,3286612,3261950,0,6823684,0,7279040,0,0.0,0.0
68.147,3286644,3261981,0,6819652,0,7280096,0,0.0,0.0
69.176,3286672,3262010,0,6820508,0,7279500,0,0.0,0.0
70.204,3286704,3262041,0,6821636,0,7278416,0,0.0,0.0
71.23,3286732,3262069,0,6820412,0,7279300,0,0.0,0.0
72.26,3286756,3262093,0,6816220,0,7281232,0,0.0,0.0
73.327,3286776,3262113,0,6814552,0,7283372,0,0.0,0.0
74.357,3286804,3262142,0,6812712,0,7284488,0,0.0,0.0
75.392,3286824,3262162,0,6813924,0,7283896,0,0.0,0.0
76.425,3286852,3262189,0,6804952,0,7285032,0,0.0,0.0
77.456,3286876,3262213,0,6806992,0,7285952,0,0.0,0.0
78.488,3286900,3262237,0,6806520,0,7286388,0,0.0,0.0
79.519,3286920,3262257,0,6802840,0,7286916,0,0.0,0.0
80.549,3286944,3262281,0,6803400,0,7286768,0,0.0,0.0
81.576,3286968,3262305,0,6806776,0,7288004,0,0.0,0.0
82.604,3286992,3262329,0,6808068,0,7285468,0,0.0,0.0
83.668,3287800,3263137,0,6809280,0,7287780,0,0.0,0.0
84.696,3287788,3264037,0,6851308,0,7223716,0,0.0,0.0
84.728,3287788,3264037,0,6850552,0,7223848,0,0.0,0.0
