Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.0622065, 0.0248359, 0.037369, 0.0195316, 18514, 126344, 1.24365e+06, 592448, 32
0.0518712, 0.0292382, 0.0226317, 0.00545053, 18597, 125675, 605898, 595104, 32
0.0406757, 0.0222141, 0.0184604, 0.00251097, 18549, 127181, 224721, 593568, 32
0.0369431, 0.0233814, 0.0135605, 0.000157002, 18603, 125653, 6027, 595296, 32
0.0414806, 0.0233019, 0.0181754, 0.00174514, 18582, 127234, 113037, 594624, 32
0.0377284, 0.0239698, 0.0137575, 0.000473941, 18509, 127024, 21771, 592288, 32
0.0536837, 0.0320602, 0.0216223, 0.00527802, 23333, 134367, 362235, 746656, 32
0.0570103, 0.0327902, 0.0242184, 0.00650002, 19223, 128407, 406392, 615136, 32
0.0598293, 0.0311961, 0.0286315, 0.0071377, 18769, 126080, 407253, 600608, 32
0.0557217, 0.0307257, 0.0249945, 0.00690044, 19838, 121331, 442554, 634816, 32
0.053779, 0.0293628, 0.0244149, 0.0074525, 21687, 112919, 499011, 693984, 32
0.052535, 0.029996, 0.0225368, 0.0054067, 25545, 118946, 366417, 817440, 32
0.0509627, 0.0316547, 0.019304, 0.00314397, 25273, 117713, 224967, 808736, 32
0.0438657, 0.027028, 0.016836, 0.0022053, 22554, 109416, 153873, 721728, 32
0.0552473, 0.0392612, 0.0159844, 0.00152696, 22618, 110350, 89913, 723776, 32
0.0426759, 0.0252538, 0.0174204, 0.00464837, 34633, 102600, 293847, 1.10826e+06, 32
0.0381285, 0.0230456, 0.0150812, 0.00380157, 47085, 95423, 243663, 1.50672e+06, 32
0.0371932, 0.0212845, 0.0159064, 0.00569603, 48591, 76363, 421275, 1.55491e+06, 32
0.0383781, 0.0243623, 0.0140138, 0.00358891, 50608, 83130, 284130, 1.61946e+06, 32
0.0318669, 0.0206033, 0.0112618, 0.00180072, 40039, 75747, 131856, 1.28125e+06, 32
0.0354342, 0.0236247, 0.0118077, 0.00180762, 46443, 82451, 127059, 1.48618e+06, 32
0.0381382, 0.0267392, 0.0113968, 0.00185405, 46353, 80665, 129642, 1.4833e+06, 32
0.0375834, 0.0250062, 0.0125753, 0.00256669, 51772, 83904, 171708, 1.6567e+06, 32
0.0425429, 0.0278522, 0.0146889, 0.00391456, 51275, 89624, 268263, 1.6408e+06, 32
0.0438089, 0.0283356, 0.0154713, 0.0038003, 60310, 89631, 292986, 1.92992e+06, 32
0.0479751, 0.0302069, 0.0177661, 0.00409153, 45395, 97620, 272568, 1.45264e+06, 32
0.0456827, 0.0322577, 0.0134228, 0.00318351, 53417, 93726, 231855, 1.70934e+06, 32
0.0474753, 0.0324859, 0.0149877, 0.00301203, 45646, 95484, 200367, 1.46067e+06, 32
0.0410612, 0.0276867, 0.013372, 0.00202708, 35934, 83822, 118818, 1.14989e+06, 32
0.0377677, 0.0259186, 0.0118469, 0.00130921, 35955, 84382, 82902, 1.15056e+06, 32
