Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.0236176, 0.0105724, 0.0130438, 0.00754799, 5894, 43919, 400980, 117880, 20
0.0164711, 0.00972467, 0.00674531, 0.00176879, 5921, 43537, 172938, 118420, 20
0.0136184, 0.00928739, 0.00432913, 0.000244221, 5917, 43940, 16728, 118340, 20
0.0189451, 0.0119497, 0.00699373, 0.0013327, 5886, 44187, 89298, 117720, 20
0.0190704, 0.0146503, 0.00441791, 0, 5880, 43930, 0, 117600, 20
0.0186116, 0.0142708, 0.00433882, 0, 5923, 43680, 0, 118460, 20
0.016047, 0.0114857, 0.00455976, 0, 5886, 44187, 0, 117720, 20
0.0230351, 0.0163994, 0.00663377, 0.000607969, 5890, 43819, 34686, 117800, 20
0.0206179, 0.011903, 0.00871282, 0.00306314, 8064, 43403, 172323, 161280, 20
0.0196816, 0.0124671, 0.00721235, 0.00188892, 7662, 43665, 115251, 153240, 20
0.0205846, 0.0127566, 0.00782622, 0.00235834, 7137, 40831, 142065, 142740, 20
0.0191595, 0.0114946, 0.00766336, 0.00242262, 5713, 41758, 139605, 114260, 20
0.0189361, 0.011728, 0.0072063, 0.0019437, 6186, 41644, 110454, 123720, 20
0.0193848, 0.0130998, 0.00628313, 0.00157067, 6411, 38266, 101844, 128220, 20
0.0196371, 0.0126291, 0.00700642, 0.00201279, 5749, 40985, 119064, 114980, 20
0.0211306, 0.0137584, 0.0073703, 0.00190512, 6654, 43632, 118203, 133080, 20
0.0184761, 0.0114785, 0.0069959, 0.00243746, 15101, 33101, 146985, 302020, 20
0.0153022, 0.0103152, 0.00498531, 0.00101849, 9189, 32710, 67650, 183780, 20
0.0143178, 0.0111047, 0.00321199, 0.000458477, 9001, 32029, 34932, 180020, 20
0.0127925, 0.00911541, 0.00367542, 0.0013145, 15476, 24383, 86346, 309520, 20
0.0113767, 0.00856425, 0.00281092, 0.000622508, 12556, 22902, 45510, 251120, 20
0.0182456, 0.0107395, 0.00750444, 0.00358289, 34089, 32040, 291756, 681780, 20
0.0129007, 0.00833252, 0.0045659, 0.00132423, 31674, 31820, 108732, 633480, 20
0.012952, 0.00893637, 0.00401372, 0.000791448, 29919, 30249, 55104, 598380, 20
0.0111254, 0.00782908, 0.00329435, 0.000675145, 28864, 30040, 56211, 577280, 20
0.0100025, 0.00712336, 0.00287761, 0.00039449, 28817, 29835, 32841, 576340, 20
0.00732583, 0.00450866, 0.0028152, 0.00111752, 32931, 17411, 113775, 658620, 20
0.0186797, 0.0104934, 0.00818499, 0.00362412, 25774, 42171, 297045, 515480, 20
0.0164448, 0.00942447, 0.00701856, 0.00272965, 9913, 35445, 208116, 198260, 20
0.0156572, 0.0112663, 0.00438851, 0.00102137, 9373, 28744, 82533, 187460, 20
0.0127698, 0.00921013, 0.00355712, 0.000641203, 9345, 28496, 57933, 186900, 20
0.0111735, 0.00842302, 0.00274829, 7.9496e-05, 9356, 28106, 2583, 187120, 20
0.0131257, 0.0103232, 0.00280066, 0.000130259, 9353, 28596, 7134, 187060, 20
0.0119032, 0.00920969, 0.0026919, 0.000152571, 9355, 28478, 9348, 187100, 20
0.010926, 0.00845908, 0.00246449, 1.5093e-05, 9379, 28665, 492, 187580, 20
0.0122012, 0.00992186, 0.00227712, 4.737e-06, 9349, 28598, 123, 186980, 20
0.0120351, 0.0083253, 0.00370846, 0.000688038, 9839, 31766, 51906, 196780, 20
0.0126109, 0.00807706, 0.00453254, 0.00137897, 15198, 32712, 116973, 303960, 20
0.0161247, 0.0110505, 0.00507275, 0.00173777, 33347, 35683, 170970, 666940, 20
0.0125866, 0.00857704, 0.0040083, 0.0011666, 19767, 35720, 104673, 395340, 20
0.0113691, 0.00686729, 0.00450026, 0.00156942, 12210, 29324, 146001, 244200, 20
0.0104334, 0.00740922, 0.00302206, 0.000683568, 13026, 26006, 71955, 260520, 20
0.0117966, 0.00868812, 0.00310707, 0.000572091, 11640, 28852, 50184, 232800, 20
0.00848664, 0.00553657, 0.00294869, 0.000394842, 11540, 28141, 35916, 230800, 20
0.0106249, 0.00680274, 0.00381997, 0.000895977, 10646, 35076, 76998, 212920, 20
0.0156713, 0.00875482, 0.00691415, 0.00249166, 39184, 37103, 186960, 783680, 20
0.0186343, 0.0110489, 0.00758312, 0.00228698, 31341, 40923, 209961, 626820, 20
0.0140764, 0.00919857, 0.00487589, 0.00109356, 28920, 38799, 98400, 578400, 20
0.0125105, 0.00819721, 0.00431203, 0.000915862, 22630, 42409, 86469, 452600, 20
0.0143507, 0.00963534, 0.00471338, 0.000640209, 21428, 38835, 50553, 428560, 20
0.0181308, 0.0121228, 0.00600616, 0.00138239, 26767, 44657, 117834, 535340, 20
0.0166803, 0.0110809, 0.00559736, 0.000918602, 20860, 43098, 69249, 417200, 20
0.0118423, 0.00738803, 0.0044529, 0.00125418, 9744, 32520, 86592, 194880, 20
0.0171758, 0.00958433, 0.00758995, 0.00326397, 28924, 39371, 284622, 578480, 20
0.0127266, 0.00782015, 0.00490522, 0.00171664, 18129, 28363, 147600, 362580, 20
0.0158542, 0.0106955, 0.00515715, 0.00169844, 13104, 25123, 125583, 262080, 20
