elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.0,3202740,3179268,0,8088748,0,6155564,0,0.0,0.0
1.023,3207328,3182989,0,7975536,0,6243260,0,0.0,0.0
2.044,3213960,3189538,0,7949676,0,6233452,0,0.0,0.0
3.061,3216772,3192350,0,7762004,0,6420224,0,0.0,0.0
4.081,3217148,3192726,0,7769112,0,6420784,0,0.0,0.0
5.1,3217152,3192730,0,7769672,0,6421396,0,0.0,0.0
6.118,3217164,3192742,0,7769200,0,6422016,0,0.0,0.0
7.138,3217164,3192742,0,7776028,0,6421968,0,0.0,0.0
8.158,3217472,3193050,0,7782116,0,6423492,0,0.0,0.0
9.181,3217676,3193254,0,7790164,0,6425284,0,0.0,0.0
10.199,3217676,3193254,0,7802408,0,6425372,0,0.0,0.0
11.217,3217676,3193254,0,7801820,0,6427408,0,0.0,0.0
12.24,3217676,3193254,0,7797848,0,6428224,0,0.0,0.0
13.257,3217676,3193254,0,7799360,0,6426984,0,0.0,0.0
14.274,3218268,3193846,0,7800020,0,6428172,0,0.0,0.0
15.291,3218268,3193846,0,7802976,0,6426724,0,0.0,0.0
16.308,3218268,3193846,0,7805172,0,6427500,0,0.0,0.0
17.326,3218268,3193846,0,7812412,0,6429004,0,0.0,0.0
18.346,3218268,3193846,0,7812964,0,6425408,0,0.0,0.0
19.373,3218268,3193846,0,7810396,0,6428980,0,0.0,0.0
20.396,3218268,3193846,0,7810388,0,6429304,0,0.0,0.0
21.414,3218272,3193850,0,7809352,0,6429896,0,0.0,0.0
22.436,3218904,3194482,0,7792244,0,6436120,0,0.0,0.0
23.459,3218904,3194482,0,7840208,0,6389012,0,0.0,0.0
24.482,3218904,3194482,0,7839012,0,6388676,0,0.0,0.0
25.502,3218904,3194482,0,7835304,0,6393352,0,0.0,0.0
26.526,3218904,3194482,0,7835388,0,6392600,0,0.0,0.0
27.549,3218904,3194482,0,7834360,0,6393364,0,0.0,0.0
28.57,3218904,3194482,0,7836004,0,6392388,0,0.0,0.0
29.591,3218944,3194522,0,7834160,0,6392736,0,0.0,0.0
30.612,3218952,3194530,0,7879956,0,6396000,0,0.0,0.0
31.637,3219212,3194790,0,7876268,0,6397188,0,0.0,0.0
32.662,3219212,3194790,0,7879412,0,6397288,0,0.0,0.0
33.683,3219232,3194810,0,7879320,0,6397488,0,0.0,0.0
34.708,3219264,3194842,0,7881124,0,6397256,0,0.0,0.0
35.731,3219292,3194870,0,7880968,0,6397972,0,0.0,0.0
36.754,3219324,3194902,0,7885716,0,6398596,0,0.0,0.0
37.779,3219352,3194930,0,7869920,0,6400548,0,0.0,0.0
38.801,3219380,3194958,0,7869672,0,6401272,0,0.0,0.0
39.824,3219412,3194990,0,7881980,0,6392648,0,0.0,0.0
40.845,3219440,3195018,0,7881944,0,6393404,0,0.0,0.0
41.87,3220024,3195602,0,7881140,0,6392668,0,0.0,0.0
42.897,3220676,3196254,0,7881828,0,6393948,0,0.0,0.0
43.924,3220712,3196290,0,7882256,0,6393872,0,0.0,0.0
44.945,3220740,3196318,0,7882732,0,6394108,0,0.0,0.0
45.966,3220768,3196350,0,7883972,0,6394636,0,0.0,0.0
46.988,3220800,3196378,0,7881984,0,6394304,0,0.0,0.0
48.01,3222756,3198334,0,7878352,0,6396900,0,0.0,0.0
49.031,3227452,3203030,0,7874940,0,6400640,0,0.0,0.0
50.052,3227480,3203058,0,7874524,0,6401028,0,0.0,0.0
51.079,3227772,3203350,0,7875156,0,6400820,0,0.0,0.0
52.1,3228572,3204150,0,7871692,0,6403036,0,0.0,0.0
53.125,3231652,3207230,0,7869656,0,6406124,0,0.0,0.0
54.149,3233652,3209230,0,7864064,0,6408164,0,0.0,0.0
55.17,3234112,3209694,0,7862076,0,6408420,0,0.0,0.0
56.192,3234472,3210050,0,7859132,0,6407404,0,0.0,0.0
57.212,3236904,3212482,0,7858164,0,6413608,0,0.0,0.0
58.233,3236904,3212482,0,7857892,0,6413560,0,0.0,0.0
59.254,3236904,3212482,0,7857120,0,6414308,0,0.0,0.0
60.278,3236904,3212482,0,7858144,0,6414344,0,0.0,0.0
61.3,3236904,3212483,0,7852548,0,6414660,0,0.0,0.0
62.325,3241904,3217482,0,7847828,0,6420612,0,0.0,0.0
63.348,3241932,3217510,0,7851728,0,6422072,0,0.0,0.0
64.37,3243152,3218730,0,7848212,0,6422936,0,0.0,0.0
65.393,3243376,3218954,0,7848088,0,6422240,0,0.0,0.0
66.419,3245040,3220618,0,7838416,0,6424548,0,0.0,0.0
67.442,3245184,3220762,0,7836696,0,6425112,0,0.0,0.0
68.459,3245220,3220798,0,7833628,0,6425468,0,0.0,0.0
69.48,3245232,3220811,0,7833208,0,6426952,0,0.0,0.0
70.501,3245260,3220838,0,7834396,0,6427724,0,0.0,0.0
71.525,3245292,3220870,0,7836260,0,6428064,0,0.0,0.0
72.549,3245320,3220898,0,7834392,0,6429104,0,0.0,0.0
73.576,3245348,3220926,0,7833468,0,6429344,0,0.0,0.0
74.596,3245380,3220958,0,7821216,0,6429192,0,0.0,0.0
75.619,3245408,3220986,0,7819152,0,6430164,0,0.0,0.0
76.641,3245440,3221018,0,7819968,0,6430600,0,0.0,0.0
77.664,3245468,3221046,0,7821308,0,6431252,0,0.0,0.0
78.686,3245496,3221077,0,7817864,0,6432032,0,0.0,0.0
79.707,3245528,3221106,0,7820236,0,6431032,0,0.0,0.0
80.73,3245556,3221134,0,7826832,0,6430372,0,0.0,0.0
81.759,3245584,3221162,0,7825088,0,6429928,0,0.0,0.0
82.782,3249540,3225118,0,7823568,0,6433924,0,0.0,0.0
83.804,3249540,3225118,0,7820652,0,6433708,0,0.0,0.0
84.827,3249540,3225118,0,7817804,0,6434492,0,0.0,0.0
85.848,3249540,3225118,0,7821212,0,6434100,0,0.0,0.0
86.871,3249540,3225118,0,7817972,0,6433984,0,0.0,0.0
