Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.0614011, 0.0239656, 0.0374337, 0.0184016, 18514, 126344, 1.24365e+06, 592448, 32
0.0493027, 0.0260732, 0.0232279, 0.00543459, 18597, 125675, 605898, 595104, 32
0.0400582, 0.0225993, 0.0174558, 0.00106801, 18592, 126558, 61869, 594944, 32
0.0364701, 0.0238883, 0.0125801, 0, 18603, 125653, 0, 595296, 32
0.0458702, 0.025382, 0.0204865, 0.00284294, 18534, 126833, 236529, 593088, 32
0.0584577, 0.0366491, 0.0218064, 0.00105312, 18582, 127234, 58671, 594624, 32
0.0469697, 0.0292582, 0.0177098, 0.000232496, 18518, 126852, 8118, 592576, 32
0.0721566, 0.0558882, 0.0162668, 4.958e-06, 18611, 125772, 123, 595552, 32
0.0483202, 0.0313582, 0.0169604, 9.339e-06, 18509, 127024, 246, 592288, 32
0.0432446, 0.0291031, 0.0141403, 0, 18454, 125357, 0, 590528, 32
0.0490964, 0.0259831, 0.0231116, 0.00724936, 19712, 130087, 499995, 630784, 32
0.0561851, 0.0308365, 0.0253464, 0.00822118, 20382, 125642, 578838, 652224, 32
0.0375021, 0.0212583, 0.0162422, 0.00290699, 20150, 124658, 284376, 644800, 32
0.0362093, 0.0206464, 0.0155615, 0.00217931, 20080, 124589, 203196, 642560, 32
0.0359705, 0.020866, 0.0151035, 0.00172477, 20175, 125752, 141819, 645600, 32
0.041918, 0.0248933, 0.017023, 0.000872444, 20110, 125081, 44280, 643520, 32
0.0431341, 0.0300978, 0.0130347, 0.000504819, 20171, 125910, 21771, 645472, 32
0.0391859, 0.0263109, 0.0128732, 1.6126e-05, 20177, 125907, 369, 645664, 32
0.0362792, 0.0241006, 0.0121767, 0.000314368, 20069, 124288, 14637, 642208, 32
0.0350627, 0.0238599, 0.0112008, 4.416e-06, 20147, 125025, 123, 644704, 32
0.0366488, 0.0246182, 0.0120289, 0.000509091, 20093, 123526, 30504, 642976, 32
0.0339519, 0.0227566, 0.0111933, 8.054e-06, 20044, 124524, 246, 641408, 32
0.033382, 0.0218956, 0.0114851, 0, 20102, 125080, 0, 643264, 32
0.0350105, 0.0223056, 0.0127035, 5.078e-06, 20085, 124558, 123, 642720, 32
0.034602, 0.0218503, 0.0127507, 0.000117891, 20169, 126290, 6150, 645408, 32
0.0338344, 0.0222704, 0.0115628, 7.181e-06, 20136, 124950, 246, 644352, 32
0.0361859, 0.0235418, 0.0126426, 1.3044e-05, 20158, 125212, 369, 645056, 32
0.0359231, 0.0232667, 0.0126547, 4.684e-06, 20156, 125610, 123, 644992, 32
0.0324913, 0.0215163, 0.0109736, 0, 20103, 124689, 0, 643296, 32
0.0334398, 0.0214126, 0.0120264, 0, 20097, 125121, 0, 643104, 32
0.0332789, 0.0216508, 0.0116269, 2.2844e-05, 20095, 123747, 615, 643040, 32
0.0365647, 0.0241178, 0.0124453, 7.764e-06, 20097, 125121, 246, 643104, 32
0.0343951, 0.0227616, 0.0116316, 0, 20105, 125128, 0, 643360, 32
0.033781, 0.022352, 0.0114281, 1.4836e-05, 20167, 126269, 369, 645344, 32
0.0344733, 0.0215669, 0.0129049, 0, 20097, 124586, 0, 643104, 32
0.0331609, 0.0217554, 0.0114038, 5.355e-06, 20109, 125138, 123, 643488, 32
0.0332652, 0.0219312, 0.0113323, 4.309e-06, 20168, 126177, 123, 645376, 32
0.0350697, 0.0243498, 0.010718, 0, 20167, 126270, 0, 645344, 32
0.0356617, 0.0236208, 0.0120398, 0, 20123, 125177, 0, 643936, 32
0.0378322, 0.0263954, 0.0114356, 0, 20184, 125807, 0, 645888, 32
0.0345295, 0.0237293, 0.0107987, 4.952e-06, 20090, 124610, 123, 642880, 32
0.0389997, 0.029005, 0.00999307, 0, 20093, 123344, 0, 642976, 32
0.0324428, 0.0215303, 0.0109112, 0, 20097, 125121, 0, 643104, 32
