elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.0,2780832,2757977,0,3923092,2096984,8217568,1370880,0.0,0.0
1.035,3163732,3139935,0,3534092,2096984,8627980,1370880,0.0,0.0
2.072,3205428,3181282,0,3411940,2096984,8715336,1370880,0.0,0.0
3.109,3208944,3184799,0,3403128,2096984,8712688,1370880,0.0,0.0
4.143,3216056,3191907,0,3276400,2096984,8852024,1370880,0.0,0.0
5.176,3217740,3193590,0,3294096,2096984,8855668,1370880,0.0,0.0
6.205,3225112,3200962,0,3261784,2096984,8870472,1370880,0.0,0.0
7.235,3227816,3203669,0,3285756,2096984,8870384,1370880,0.0,0.0
8.264,3229416,3205268,0,3273316,2096980,8871868,1370880,0.0,0.0
9.29,3230252,3206103,0,3278572,2096980,8872804,1370880,0.0,0.0
10.315,3232636,3208489,0,3279612,2096956,8875624,1370856,0.0,0.0
11.367,3234436,3210286,0,3268416,2096956,8878368,1370856,0.0,0.0
12.394,3235032,3210883,0,3225944,2096956,8878852,1370856,0.0,0.0
13.423,3235036,3210885,0,3246284,2096956,8878004,1370856,0.0,0.0
14.452,3238180,3214030,0,3227752,2096956,8890376,1370856,0.0,0.0
15.477,3239940,3215789,0,3250868,2096956,8884628,1370856,0.0,0.0
16.504,3239940,3215788,0,3256848,2096956,8884248,1370856,0.0,0.0
17.536,3242364,3218211,0,3264180,2096956,8887232,1370856,0.0,0.0
18.567,3243936,3219785,0,3268976,2096956,8897380,1370856,0.0,0.0
19.596,3243936,3219784,0,3281048,2096956,8890616,1370856,0.0,0.0
20.623,3243940,3219789,0,3318776,2096956,8890376,1370856,0.0,0.0
21.65,3244492,3220340,0,3320244,2096956,8891436,1370856,0.0,0.0
22.682,3247888,3223734,0,3285844,2096956,8901804,1370856,0.0,0.0
23.71,3247888,3223736,0,3289976,2096956,8894668,1370856,0.0,0.0
24.74,3247888,3223737,0,3290416,2096956,8894484,1370856,0.0,0.0
25.767,3248204,3224053,0,3318224,2096956,8895356,1370856,0.0,0.0
26.792,3248204,3224052,0,3301800,2096956,8895764,1370856,0.0,0.0
27.817,3248204,3224053,0,3294116,2096956,8894736,1370856,0.0,0.0
28.848,3248520,3224369,0,3297816,2096956,8895532,1370856,0.0,0.0
29.874,3249552,3225401,0,3310912,2096956,8896364,1370856,0.0,0.0
