Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.11363, 0.0493423, 0.0642851, 0.0355794, 18509, 127024, 1.24144e+06, 592288, 32
0.0650617, 0.0435248, 0.0215347, 0.00210583, 18454, 125357, 110823, 590528, 32
0.0730009, 0.0407272, 0.0322717, 0.00788899, 18596, 126918, 536157, 595072, 32
0.0644823, 0.0420881, 0.0223917, 0.00189899, 18550, 126829, 94095, 593600, 32
0.0677243, 0.0430124, 0.0247091, 0.00270189, 18588, 126851, 131856, 594816, 32
0.0581938, 0.0415974, 0.0165938, 0, 18521, 126592, 0, 592672, 32
0.0559421, 0.0398279, 0.0161116, 5.24e-06, 18582, 127024, 123, 594624, 32
0.0581078, 0.0386417, 0.0194638, 0.00174036, 18591, 125892, 100614, 594912, 32
0.0598685, 0.0419565, 0.0179092, 4.726e-06, 18599, 126083, 123, 595168, 32
0.0768859, 0.0413429, 0.0355409, 0.0125138, 18661, 124779, 562479, 597152, 32
0.0701929, 0.0418043, 0.0283867, 0.00704511, 19173, 127572, 377241, 613536, 32
0.0619643, 0.0356548, 0.0263068, 0.00873052, 24252, 121779, 568998, 776064, 32
0.0508564, 0.0302011, 0.0206537, 0.00380282, 20570, 114607, 259899, 658240, 32
0.052717, 0.0349331, 0.0177815, 0.00235193, 20611, 114064, 171216, 659552, 32
0.0454657, 0.0325245, 0.012939, 0.000900439, 20583, 111943, 61008, 658656, 32
0.048006, 0.0301631, 0.0178407, 0.00333557, 22251, 112552, 184623, 712032, 32
0.0599585, 0.0370129, 0.0229436, 0.00558741, 32413, 124915, 368016, 1.03722e+06, 32
0.0459733, 0.0281249, 0.0178466, 0.00591246, 36524, 97212, 383637, 1.16877e+06, 32
0.0319705, 0.0163693, 0.015599, 0.00584195, 45902, 66028, 447597, 1.46886e+06, 32
0.0219547, 0.0139917, 0.00796049, 0.00156949, 45864, 65706, 161376, 1.46765e+06, 32
0.0216693, 0.0146933, 0.00697338, 0.000351536, 45827, 65569, 19311, 1.46646e+06, 32
0.0338382, 0.0210109, 0.0128251, 0.0037754, 42962, 77408, 338619, 1.37478e+06, 32
0.0296693, 0.0187084, 0.0109594, 0.00195391, 40021, 77130, 156210, 1.28067e+06, 32
0.026251, 0.0179819, 0.00826776, 0.00123665, 36951, 71682, 107994, 1.18243e+06, 32
0.0251245, 0.0180314, 0.00709192, 0.000791959, 36875, 72206, 74292, 1.18e+06, 32
0.0371218, 0.0240455, 0.0130734, 0.00245679, 43962, 82855, 167649, 1.40678e+06, 32
0.0368434, 0.0237788, 0.0130625, 0.00258352, 42194, 85171, 181917, 1.35021e+06, 32
0.0400366, 0.0244141, 0.0156209, 0.00395852, 52847, 79674, 288189, 1.6911e+06, 32
0.0406975, 0.0257906, 0.0149051, 0.0040008, 45810, 86515, 258300, 1.46592e+06, 32
0.0566439, 0.034399, 0.0222432, 0.00763337, 29803, 98943, 488925, 953696, 32
0.0461914, 0.0257735, 0.0204163, 0.00704626, 38167, 86147, 576255, 1.22134e+06, 32
0.0377665, 0.0226292, 0.0151356, 0.00316801, 28049, 80973, 253872, 897568, 32
0.035624, 0.0221703, 0.0134512, 0.00242898, 39221, 86622, 210576, 1.25507e+06, 32
0.0425463, 0.027578, 0.0149659, 0.00388935, 43242, 87069, 332346, 1.38374e+06, 32
0.0472046, 0.0291123, 0.0180892, 0.0054947, 43822, 89484, 423858, 1.4023e+06, 32
0.0433377, 0.0281432, 0.0151928, 0.00304011, 40641, 88132, 236529, 1.30051e+06, 32
0.0406585, 0.0270513, 0.0136047, 0.00169736, 34096, 81788, 106641, 1.09107e+06, 32
0.0397119, 0.0264823, 0.0132265, 0.00128437, 34136, 82267, 75153, 1.09235e+06, 32
0.036184, 0.0259765, 0.0102052, 0.000223707, 34030, 82060, 7626, 1.08896e+06, 32
0.0415337, 0.0296359, 0.0118956, 0.00200174, 40831, 86461, 141081, 1.30659e+06, 32
0.0426283, 0.0290418, 0.0135845, 0.00268958, 42116, 88595, 166050, 1.34771e+06, 32
0.046061, 0.0269814, 0.0190772, 0.00522211, 38198, 91854, 353379, 1.22234e+06, 32
0.0477943, 0.0269906, 0.0208015, 0.00663817, 33181, 92696, 412296, 1.06179e+06, 32
0.0441445, 0.0261483, 0.0179943, 0.0052583, 38549, 87644, 347967, 1.23357e+06, 32
0.0476872, 0.025992, 0.0216933, 0.00708853, 31040, 86074, 509466, 993280, 32
0.0416059, 0.0265012, 0.0151023, 0.00291022, 31112, 86257, 220539, 995584, 32
0.04016, 0.0266362, 0.0135208, 0.00212519, 31815, 87107, 140097, 1.01808e+06, 32
0.0395399, 0.0268583, 0.0126789, 0.00188849, 31528, 88444, 129519, 1.0089e+06, 32
0.035498, 0.0235059, 0.0119895, 0.00129699, 29266, 84295, 74169, 936512, 32
0.0339929, 0.0233943, 0.0105965, 0.000889275, 29267, 84660, 54735, 936544, 32
0.0367761, 0.0280205, 0.00875345, 0.000155201, 29238, 83485, 5043, 935616, 32
0.0381749, 0.026682, 0.011491, 0.00145944, 34238, 91083, 95694, 1.09562e+06, 32
0.0379841, 0.0266111, 0.0113711, 0.00149711, 37153, 91473, 101229, 1.1889e+06, 32
0.0382206, 0.0262537, 0.0119648, 0.00192159, 35544, 90775, 114759, 1.13741e+06, 32
0.0367692, 0.0231917, 0.0135761, 0.00504619, 54628, 70024, 428778, 1.7481e+06, 32
0.0351187, 0.0224895, 0.0126273, 0.00393959, 59435, 62626, 302088, 1.90192e+06, 32
0.0416514, 0.0246139, 0.0170349, 0.00652793, 32061, 70835, 552393, 1.02595e+06, 32
0.0411021, 0.0293775, 0.0117226, 0.0025268, 32068, 70783, 237882, 1.02618e+06, 32
0.0321944, 0.024748, 0.00744448, 1.6413e-05, 32084, 70618, 615, 1.02669e+06, 32
0.0322581, 0.021297, 0.0109595, 0.0020054, 20082, 66600, 151044, 642624, 32
0.0345735, 0.0229404, 0.0116312, 0.00180129, 23064, 69852, 121032, 738048, 32
0.0335767, 0.0224413, 0.011134, 0.00193582, 22980, 70922, 136776, 735360, 32
0.0389692, 0.0239711, 0.014997, 0.0033205, 35213, 75192, 227919, 1.12682e+06, 32
0.0394228, 0.0262023, 0.0132185, 0.00251532, 33617, 85757, 198399, 1.07574e+06, 32
0.0356112, 0.0240057, 0.0116019, 0.00139624, 30950, 82279, 96186, 990400, 32
0.0315002, 0.0209732, 0.0105242, 0.000861693, 30555, 80338, 55965, 977760, 32
0.0300365, 0.0218105, 0.00822427, 4.7567e-05, 30546, 80405, 1353, 977472, 32
0.0316761, 0.0217566, 0.00991806, 0.000412951, 30568, 79717, 20541, 978176, 32
0.0314181, 0.0218131, 0.00960333, 0.000696786, 30563, 80638, 42927, 978016, 32
0.0328268, 0.0226118, 0.0102128, 0.000255342, 30559, 80613, 10455, 977888, 32
0.0348504, 0.0232469, 0.0115983, 0.00104551, 40492, 78279, 68388, 1.29574e+06, 32
0.0342332, 0.023045, 0.0111866, 0.00134448, 48813, 73204, 95817, 1.56202e+06, 32
0.0322494, 0.0225324, 0.00971534, 0.00170477, 45954, 71067, 139851, 1.47053e+06, 32
0.0356784, 0.0248418, 0.0108344, 0.00223786, 59384, 73806, 171093, 1.90029e+06, 32
0.039655, 0.0279454, 0.0117075, 0.00242488, 61704, 73463, 198522, 1.97453e+06, 32
0.0415011, 0.0292189, 0.0122803, 0.00262527, 55435, 71159, 217956, 1.77392e+06, 32
0.0323796, 0.0229666, 0.00941116, 0.00188953, 34414, 67590, 159408, 1.10125e+06, 32
0.047378, 0.0289969, 0.0183794, 0.00500492, 35655, 83893, 354363, 1.14096e+06, 32
0.0441245, 0.0286742, 0.0154483, 0.00285669, 38676, 85831, 209961, 1.23763e+06, 32
0.0420029, 0.0290121, 0.0129879, 0.00232346, 29317, 72054, 175890, 938144, 32
0.0462632, 0.0268341, 0.0194269, 0.00626846, 42308, 95538, 554361, 1.35386e+06, 32
0.0402738, 0.025921, 0.0143516, 0.00226052, 29464, 85269, 195078, 942848, 32
0.03371, 0.0227498, 0.010958, 0.000954837, 29433, 84005, 62238, 941856, 32
0.038477, 0.024382, 0.0140926, 0.00191421, 36210, 91958, 147846, 1.15872e+06, 32
0.0381863, 0.0268911, 0.0112924, 0.00137444, 39567, 88432, 106395, 1.26614e+06, 32
0.0381182, 0.0217078, 0.0164085, 0.00485474, 50052, 81760, 387327, 1.60166e+06, 32
0.0322521, 0.0190255, 0.0132249, 0.00321426, 39719, 67653, 250674, 1.27101e+06, 32
0.0381792, 0.0228029, 0.0153745, 0.00371269, 40094, 73279, 274413, 1.28301e+06, 32
0.0395454, 0.0224531, 0.0170901, 0.00634684, 28622, 77329, 511803, 915904, 32
0.0371402, 0.0233695, 0.0137687, 0.00228714, 28568, 77803, 197661, 914176, 32
0.0420105, 0.0245883, 0.0174202, 0.00532762, 23764, 87717, 473427, 760448, 32
0.040531, 0.025113, 0.015416, 0.00314321, 23770, 91482, 272076, 760640, 32
0.0401019, 0.0256842, 0.0144162, 0.00252596, 28709, 89108, 218817, 918688, 32
0.0307439, 0.0188333, 0.0119083, 0.00208702, 21829, 81231, 174414, 698528, 32
0.0280738, 0.0200094, 0.00806295, 1.524e-05, 21829, 81231, 615, 698528, 32
0.0333825, 0.020702, 0.012678, 0.00175718, 23449, 85878, 127674, 750368, 32
0.033836, 0.0215119, 0.0123221, 0.00228651, 27977, 87455, 170970, 895264, 32
