elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.002,3203496,3180139,0,8405080,0,6088980,0,0.0,0.0
1.019,3209540,3185258,0,8293292,0,6205228,0,0.0,0.0
2.039,3217780,3193426,0,8284628,0,6182816,0,0.0,0.0
3.058,3222944,3198587,0,8110032,0,6369900,0,0.0,0.0
4.078,3229388,3205031,0,8101916,0,6381132,0,0.0,0.0
5.093,3233948,3209591,0,8098024,0,6384888,0,0.0,0.0
6.11,3238936,3214579,0,8082356,0,6392748,0,0.0,0.0
7.13,3242924,3218567,0,8081020,0,6397600,0,0.0,0.0
8.153,3243496,3219139,0,8087076,0,6397876,0,0.0,0.0
9.17,3245720,3221363,0,8089976,0,6399552,0,0.0,0.0
10.187,3246940,3222582,0,8103544,0,6401848,0,0.0,0.0
11.206,3247752,3223394,0,8102864,0,6402312,0,0.0,0.0
12.225,3247832,3223475,0,8100324,0,6402764,0,0.0,0.0
13.247,3248584,3224226,0,8100384,0,6402792,0,0.0,0.0
14.268,3248636,3224278,0,8106252,0,6402928,0,0.0,0.0
15.289,3248988,3224628,0,8114580,0,6403884,0,0.0,0.0
16.312,3249316,3224956,0,8112004,0,6403136,0,0.0,0.0
17.339,3252768,3228408,0,8122956,0,6407960,0,0.0,0.0
18.361,3252768,3228408,0,8129388,0,6408136,0,0.0,0.0
19.385,3252768,3228409,0,8130672,0,6407144,0,0.0,0.0
20.411,3252768,3228408,0,8128552,0,6407656,0,0.0,0.0
21.435,3258052,3233692,0,8125176,0,6413756,0,0.0,0.0
22.459,3261336,3236976,0,8119376,0,6416648,0,0.0,0.0
23.49,3262800,3238441,0,8117008,0,6418960,0,0.0,0.0
24.511,3268528,3244169,0,8108600,0,6428560,0,0.0,0.0
25.532,3268528,3244168,0,8107184,0,6429616,0,0.0,0.0
26.561,3271720,3247361,0,8104212,0,6432548,0,0.0,0.0
27.582,3271908,3247548,0,8105580,0,6433676,0,0.0,0.0
28.605,3272308,3247949,0,8104660,0,6436004,0,0.0,0.0
29.63,3272308,3247948,0,8104164,0,6434796,0,0.0,0.0
30.653,3272308,3247949,0,8102188,0,6435236,0,0.0,0.0
31.676,3272524,3248164,0,8103484,0,6433184,0,0.0,0.0
32.699,3272524,3248164,0,8105524,0,6433972,0,0.0,0.0
33.723,3274312,3249952,0,8103160,0,6434848,0,0.0,0.0
34.746,3274312,3249952,0,8101008,0,6435992,0,0.0,0.0
35.77,3275412,3251052,0,8100500,0,6435732,0,0.0,0.0
36.796,3275412,3251052,0,8102876,0,6436740,0,0.0,0.0
37.819,3275412,3251052,0,8103108,0,6437384,0,0.0,0.0
38.841,3275412,3251052,0,8102496,0,6435988,0,0.0,0.0
39.864,3275436,3251077,0,8102360,0,6435016,0,0.0,0.0
40.885,3275436,3251077,0,8105116,0,6434192,0,0.0,0.0
41.906,3275436,3251077,0,8105748,0,6434700,0,0.0,0.0
42.929,3275436,3251076,0,8110540,0,6436892,0,0.0,0.0
43.959,3275436,3251076,0,8108880,0,6435532,0,0.0,0.0
44.978,3275436,3251076,0,8109108,0,6436928,0,0.0,0.0
46.002,3275620,3251260,0,8108012,0,6437676,0,0.0,0.0
47.026,3275620,3251260,0,8104932,0,6438560,0,0.0,0.0
48.046,3275740,3251380,0,8103712,0,6438944,0,0.0,0.0
49.068,3275740,3251380,0,8104976,0,6438000,0,0.0,0.0
50.088,3275744,3251385,0,8104052,0,6437972,0,0.0,0.0
51.114,3278056,3253696,0,8102236,0,6440252,0,0.0,0.0
52.14,3278496,3254136,0,8100988,0,6440464,0,0.0,0.0
53.168,3278496,3254136,0,8100820,0,6440076,0,0.0,0.0
54.19,3278496,3254136,0,8101316,0,6440804,0,0.0,0.0
55.213,3278496,3254136,0,8099568,0,6440164,0,0.0,0.0
56.235,3278496,3254137,0,8102892,0,6440560,0,0.0,0.0
57.259,3278496,3254137,0,8102828,0,6441348,0,0.0,0.0
58.28,3278496,3254136,0,8104604,0,6440812,0,0.0,0.0
59.302,3278496,3254136,0,8104608,0,6441032,0,0.0,0.0
60.32,3278496,3254136,0,8103560,0,6440912,0,0.0,0.0
61.339,3278560,3254200,0,8102704,0,6441656,0,0.0,0.0
62.363,3278608,3254248,0,8102192,0,6440952,0,0.0,0.0
63.384,3278608,3254249,0,8104572,0,6440260,0,0.0,0.0
64.408,3278632,3254272,0,8106028,0,6441176,0,0.0,0.0
65.435,3278668,3254309,0,8102400,0,6440804,0,0.0,0.0
66.455,3278696,3254336,0,8102724,0,6440480,0,0.0,0.0
67.474,3280036,3255676,0,8101184,0,6443004,0,0.0,0.0
68.491,3281308,3256948,0,8098632,0,6443040,0,0.0,0.0
69.508,3282468,3258109,0,8092260,0,6443996,0,0.0,0.0
70.532,3283836,3259476,0,8095068,0,6445748,0,0.0,0.0
71.556,3285164,3260804,0,8096964,0,6446548,0,0.0,0.0
72.577,3285192,3260833,0,8093956,0,6445576,0,0.0,0.0
73.6,3285172,3261769,0,8156564,0,6383032,0,0.0,0.0
73.624,3285172,3261769,0,8158112,0,6383264,0,0.0,0.0
