map,run,mode,experiment_profile,success,run_valid,monitor_type,monitor_flight_cpu_pct,live_cloud_enabled,preflight_ready,preflight_cloud_messages,preflight_odom_messages,goal_messages,start_pose_error_m,start_pose_valid,odom_gap_limit_s,max_odom_gap_s,odom_gap_valid,mission_time_s,waypoints_reached,n_waypoints,collisions,min_clearance_m,static_pcd_collisions,static_pcd_min_distance_m,static_pcd_clearance_m,static_pcd_contact_r015,static_pcd_contact_r020,static_pcd_contact_r025,static_pcd_episodes_r015,static_pcd_episodes_r020,static_pcd_episodes_r025,contact_event_count,first_contact_kind,first_contact_time_s,first_contact_distance_m,first_contact_x,first_contact_y,first_contact_z,first_contact_speed_mps,first_contact_nearest_x,first_contact_nearest_y,first_contact_nearest_z,forensics_json,samples,clearance_samples,final_x,final_y,final_z,min_x,max_x,min_y,max_y,path_length_m,max_speed_mps,closest_final_goal_distance_m,observed_open_time_s,observed_open_x,observed_open_y,observed_close_time_s,observed_close_x,observed_close_y,trap_collisions,trap_min_surface_distance_m,trap_clearance_m,trap_x,trap_y,trigger_x,trigger_y,trigger_mismatch_deg,trap_count,trap_spacing_m,trap_start_offset_m,trap_first_distance_m,trap_last_distance_m,trigger_speed_mps,trap_input_time_s,trap_kept_time_s,trap_keep_delay_s,input_body_relative_deg,input_velocity_relative_deg,kept_body_relative_deg,kept_velocity_relative_deg,trigger_trap_distance_m,trigger_trap_body_relative_deg,trigger_trap_velocity_relative_deg,trigger_trap_angular_radius_deg,trigger_predicted_x,trigger_predicted_y,trigger_trap_nudge_deg,trigger_trap_nudge_lateral_m,event,valid_spawn,invalid_reasons,spawn_time_s,spawn_wall_time_s,trigger_evaluation_time_s,trigger_evaluation_wall_time_s,side,trigger_threshold_x,trigger_z,trigger_yaw_deg,trigger_velocity_yaw_deg,trigger_cruise_duration_s,trigger_cruise_qualified,min_trigger_speed_mps,min_cruise_s,max_trigger_abs_y_m,max_trigger_velocity_yaw_deg,trigger_abs_y_diagnostic_ok,trigger_velocity_yaw_diagnostic_ok,wall_x,blocker_x,blocker_y,wall_y_min,wall_y_max,short_endpoint_y,short_endpoint_x,long_endpoint_y,long_endpoint_x,short_endpoint_inner_edge_deg,long_endpoint_inner_edge_deg,barrier_frame,local_blocker_forward_m,local_short_endpoint_forward_m,local_short_endpoint_lateral_m,local_long_endpoint_forward_m,local_long_endpoint_lateral_m,wall_radius_m,wall_height_m,wall_cylinder_count,wall_center_spacing_m,wall_point_count,horizon_m,intensity,matched_prefix,filter_half_angle_deg,filter_stall_v,filter_stall_t,filter_resume_v,filter_resume_t,filter_velocity_yaw_update_v,filter_frames,filter_input_points,filter_kept_points,filter_kept_pct,filter_armed,filter_armed_duty_pct,filter_open,filter_open_duty_pct,filter_open_point_duty_pct,filter_arm_transitions,filter_open_transitions,filter_close_transitions,filter_first_transition_time_s,filter_first_arm_time_s,filter_first_stall_candidate_time_s,filter_first_open_stall_start_time_s,filter_first_open_time_s,filter_first_open_delay_s,filter_first_close_time_s,filter_first_open_duration_s,filter_stall_candidate_count,filter_max_stall_candidate_duration_s,filter_min_armed_closed_speed_mps,recovery_triggered,recovery_reclosed,recovery_spawn_after_arm,recovery_open_after_spawn,recovery_open_during_hold,recovery_success,mission_driver_phase,mission_driver_start_delay_s,mission_driver_approach_radius_m,mission_driver_hold_low_speed_s,mission_driver_low_speed_v,mission_driver_approach_start_time_s,mission_driver_approach_start_wall_time_s,mission_driver_approach_start_speed_mps,mission_driver_hold_start_time_s,mission_driver_hold_start_wall_time_s,mission_driver_hold_start_speed_mps,mission_driver_hold_start_distance_m,mission_driver_release_time_s,mission_driver_release_wall_time_s,mission_driver_release_speed_mps,mission_driver_release_low_speed_duration_s,pts_mean,total_ms_mean,raycast_ms_mean,update_ms_mean,inflation_ms_mean,kept_pct,fsm_cpu_pct,filter_cpu_pct,monitor_cpu_pct,perf_row_start,perf_row_end,input_distance_m,kept_distance_m
seed11,1,raw_oneway_repeat,raw_oneway_repeat,True,True,odom_static_pcd_swept_segment,7.224136,False,True,8,1101,38,0.0,True,0.05,0.017537,True,38.18,1,1,,,0,0.332991,0.132991,False,False,False,0,0,0,0,,,,,,,,,,,results/seed11_oneway_goal_ab_n10_forensics/seed11_run1_raw_oneway_repeat.json,3820,3819,-0.288,48.03,1.828,-1.402,2.254,-50.0,48.03,108.84,3.008,1.991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70536.88721804511,11.991066541353383,4.884417593984963,7.104871353383459,3.0761544887218046,,53.110797622507036,,27.510655984173987,11,144,,
seed11,1,raw_oneway_once,raw_oneway_once,True,True,odom_static_pcd_swept_segment,8.407994,False,True,7,1055,1,0.0,True,0.05,0.017833,True,38.13,1,1,,,1,0.124614,-0.075386,True,True,True,1,1,1,1,static_pcd_swept_segment,10.402905,0.199143,-1.504361,-23.934588,2.682748,2.97685,-1.700559,-23.910614,2.707034,results/seed11_oneway_goal_ab_n10_forensics/seed11_run1_raw_oneway_once.json,3815,3814,-0.206,48.02,2.173,-1.693,3.024,-50.0,48.02,108.411,3.003,1.991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67690.36405529953,11.987037788018432,5.234231198156682,6.7507527649769585,2.8142584516129032,,62.593716306919305,,29.90866444235168,12,229,,
seed11,2,raw_oneway_once,raw_oneway_once,True,True,odom_static_pcd_swept_segment,8.124729,False,True,18,548,1,0.0,True,0.05,0.017648,True,36.75,1,1,,,0,0.378553,0.178553,False,False,False,0,0,0,0,,,,,,,,,,,results/seed11_oneway_goal_ab_n10_forensics/seed11_run2_raw_oneway_once.json,3677,3676,-0.223,48.026,1.919,-0.717,3.542,-50.0,48.026,106.289,3.005,1.987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68639.85795454546,13.014953863636363,5.248246079545455,7.764444545454546,3.5392065852272725,,65.55463229882156,,29.254316848407125,21,197,,
seed11,2,raw_oneway_repeat,raw_oneway_repeat,True,True,odom_static_pcd_swept_segment,7.781257,False,True,16,1174,39,0.0,True,0.05,0.017326,True,38.4,1,1,,,1,0.133865,-0.066135,True,True,True,1,1,2,1,static_pcd_swept_segment,3.898082,0.188561,2.177047,-40.365217,0.695961,2.892964,2.349824,-40.292793,0.717369,results/seed11_oneway_goal_ab_n10_forensics/seed11_run2_raw_oneway_repeat.json,3841,3840,-0.152,48.029,1.925,-0.152,6.963,-50.0,48.029,110.965,3.002,1.977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63997.502958579884,11.920065917159764,4.9631250295857985,6.955092130177515,3.0360580118343194,,62.057172458513826,,28.362944195601116,20,189,,
seed11,3,raw_oneway_repeat,raw_oneway_repeat,True,True,odom_static_pcd_swept_segment,7.904142,False,True,19,554,37,0.0,True,0.05,0.016566,True,36.51,1,1,,,0,0.424049,0.224049,False,False,False,0,0,0,0,,,,,,,,,,,results/seed11_oneway_goal_ab_n10_forensics/seed11_run3_raw_oneway_repeat.json,3653,3652,-0.189,48.014,2.067,-0.28,3.423,-50.0,48.014,106.093,3.003,1.995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65693.63541666667,11.977833802083333,5.087258906250001,6.888664947916667,2.956175427083333,,60.36316012923746,,29.600264159003718,30,222,,
seed11,3,raw_oneway_once,raw_oneway_once,True,True,odom_static_pcd_swept_segment,8.26864,False,True,17,1116,1,0.0,True,0.05,0.017177,True,36.9,1,1,,,0,0.349251,0.149251,False,False,False,0,0,0,0,,,,,,,,,,,results/seed11_oneway_goal_ab_n10_forensics/seed11_run3_raw_oneway_once.json,3692,3691,-0.146,48.023,1.926,-0.152,3.479,-50.0,48.023,106.64,3.002,1.983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70203.69166666667,13.593085166666667,4.9977535,8.59345175,4.023130916666667,,61.003304885072716,,29.234863987882193,38,158,,
seed11,4,raw_oneway_once,raw_oneway_once,True,True,odom_static_pcd_swept_segment,7.990983,False,True,10,482,1,0.0,True,0.05,0.016837,True,36.3,1,1,,,1,0.178333,-0.021667,False,True,True,0,1,1,1,static_pcd_swept_segment,33.586925,0.193157,1.907529,41.101589,2.317496,2.939579,2.082399,41.1735,2.278013,results/seed11_oneway_goal_ab_n10_forensics/seed11_run4_raw_oneway_once.json,3631,3630,-0.151,48.017,2.015,-0.151,3.383,-50.0,48.017,106.016,3.002,1.989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67649.62416107382,13.414241409395972,5.374021342281879,8.0383877852349,3.664061523489933,,63.93945767177291,,30.130082923057675,26,175,,
seed11,4,raw_oneway_repeat,raw_oneway_repeat,True,True,odom_static_pcd_swept_segment,7.884897,False,True,13,562,37,0.0,True,0.05,0.016513,True,36.43,1,1,,,0,0.372424,0.172424,False,False,False,0,0,0,0,,,,,,,,,,,results/seed11_oneway_goal_ab_n10_forensics/seed11_run4_raw_oneway_repeat.json,3644,3643,-0.176,48.022,2.027,-0.176,5.171,-50.0,48.022,105.919,3.002,1.985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64457.99173553719,13.000915537190082,5.15909479338843,7.839674132231404,3.55687120661157,,59.18814707195805,,29.826005061567997,15,136,,
seed11,5,raw_oneway_repeat,raw_oneway_repeat,True,True,odom_static_pcd_swept_segment,7.790468,False,True,17,646,36,0.0,True,0.05,0.01781,True,36.14,1,1,,,0,0.387752,0.187752,False,False,False,0,0,0,0,,,,,,,,,,,results/seed11_oneway_goal_ab_n10_forensics/seed11_run5_raw_oneway_repeat.json,3615,3614,-0.133,48.009,2.129,-1.383,2.714,-50.0,48.009,104.911,3.002,1.995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64857.40201005025,12.308188542713568,5.092840351758794,7.213527316582915,3.0962274120603017,,63.75867056748944,,29.68265155763712,20,219,,
seed11,5,raw_oneway_once,raw_oneway_once,True,True,odom_static_pcd_swept_segment,7.687788,False,True,13,668,1,0.0,True,0.05,0.017019,True,36.11,1,1,,,0,0.401732,0.201732,False,False,False,0,0,0,0,,,,,,,,,,,results/seed11_oneway_goal_ab_n10_forensics/seed11_run5_raw_oneway_once.json,3613,3612,-0.167,48.023,2.154,-4.492,1.417,-50.0,48.023,105.256,3.002,1.984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68119.77777777778,12.104912514619883,4.9961569590643276,7.106759415204679,3.1561120116959063,,62.698705375327435,,29.660453258071517,20,191,,
