map,run,mode,experiment_profile,success,run_valid,monitor_type,monitor_flight_cpu_pct,live_cloud_enabled,preflight_ready,preflight_cloud_messages,preflight_odom_messages,goal_messages,start_pose_error_m,start_pose_valid,odom_gap_limit_s,max_odom_gap_s,odom_gap_valid,mission_time_s,waypoints_reached,n_waypoints,collisions,min_clearance_m,static_pcd_collisions,static_pcd_min_distance_m,static_pcd_clearance_m,static_pcd_contact_r015,static_pcd_contact_r020,static_pcd_contact_r025,static_pcd_episodes_r015,static_pcd_episodes_r020,static_pcd_episodes_r025,contact_event_count,first_contact_kind,first_contact_time_s,first_contact_distance_m,first_contact_x,first_contact_y,first_contact_z,first_contact_speed_mps,first_contact_nearest_x,first_contact_nearest_y,first_contact_nearest_z,forensics_json,samples,clearance_samples,final_x,final_y,final_z,min_x,max_x,min_y,max_y,path_length_m,max_speed_mps,closest_final_goal_distance_m,observed_open_time_s,observed_open_x,observed_open_y,observed_close_time_s,observed_close_x,observed_close_y,trap_collisions,trap_min_surface_distance_m,trap_clearance_m,trap_x,trap_y,trigger_x,trigger_y,trigger_mismatch_deg,trap_count,trap_spacing_m,trap_start_offset_m,trap_first_distance_m,trap_last_distance_m,trigger_speed_mps,trap_input_time_s,trap_kept_time_s,trap_keep_delay_s,input_body_relative_deg,input_velocity_relative_deg,kept_body_relative_deg,kept_velocity_relative_deg,trigger_trap_distance_m,trigger_trap_body_relative_deg,trigger_trap_velocity_relative_deg,trigger_trap_angular_radius_deg,trigger_predicted_x,trigger_predicted_y,trigger_trap_nudge_deg,trigger_trap_nudge_lateral_m,event,valid_spawn,invalid_reasons,spawn_time_s,spawn_wall_time_s,trigger_evaluation_time_s,trigger_evaluation_wall_time_s,side,trigger_threshold_x,trigger_z,trigger_yaw_deg,trigger_velocity_yaw_deg,trigger_cruise_duration_s,trigger_cruise_qualified,min_trigger_speed_mps,min_cruise_s,max_trigger_abs_y_m,max_trigger_velocity_yaw_deg,trigger_abs_y_diagnostic_ok,trigger_velocity_yaw_diagnostic_ok,wall_x,blocker_x,blocker_y,wall_y_min,wall_y_max,short_endpoint_y,short_endpoint_x,long_endpoint_y,long_endpoint_x,short_endpoint_inner_edge_deg,long_endpoint_inner_edge_deg,barrier_frame,local_blocker_forward_m,local_short_endpoint_forward_m,local_short_endpoint_lateral_m,local_long_endpoint_forward_m,local_long_endpoint_lateral_m,wall_radius_m,wall_height_m,wall_cylinder_count,wall_center_spacing_m,wall_point_count,horizon_m,intensity,matched_prefix,filter_half_angle_deg,filter_stall_v,filter_stall_t,filter_resume_v,filter_resume_t,filter_velocity_yaw_update_v,filter_frames,filter_input_points,filter_kept_points,filter_kept_pct,filter_armed,filter_armed_duty_pct,filter_open,filter_open_duty_pct,filter_open_point_duty_pct,filter_arm_transitions,filter_open_transitions,filter_close_transitions,filter_first_transition_time_s,filter_first_arm_time_s,filter_first_stall_candidate_time_s,filter_first_open_stall_start_time_s,filter_first_open_time_s,filter_first_open_delay_s,filter_first_close_time_s,filter_first_open_duration_s,filter_stall_candidate_count,filter_max_stall_candidate_duration_s,filter_min_armed_closed_speed_mps,recovery_triggered,recovery_reclosed,recovery_spawn_after_arm,recovery_open_after_spawn,recovery_open_during_hold,recovery_success,mission_driver_phase,mission_driver_start_delay_s,mission_driver_approach_radius_m,mission_driver_hold_low_speed_s,mission_driver_low_speed_v,mission_driver_approach_start_time_s,mission_driver_approach_start_wall_time_s,mission_driver_approach_start_speed_mps,mission_driver_hold_start_time_s,mission_driver_hold_start_wall_time_s,mission_driver_hold_start_speed_mps,mission_driver_hold_start_distance_m,mission_driver_release_time_s,mission_driver_release_wall_time_s,mission_driver_release_speed_mps,mission_driver_release_low_speed_duration_s,pts_mean,total_ms_mean,raycast_ms_mean,update_ms_mean,inflation_ms_mean,kept_pct,fsm_cpu_pct,filter_cpu_pct,monitor_cpu_pct,perf_row_start,perf_row_end,input_distance_m,kept_distance_m
seed11,1,raw_oneway_once,raw_oneway_once,True,True,odom_static_pcd_swept_segment,7.405304,False,True,12,703,1,0.0,True,0.05,0.01624,True,36.83,1,1,,,0,0.289256,0.089256,False,False,False,0,0,0,0,,,,,,,,,,,results/seed11_oneway_quiet_ab_n10_forensics/seed11_run1_raw_oneway_once.json,3684,3683,-0.125,48.024,2.063,-0.381,5.229,-50.0,48.024,106.573,3.003,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66972.49606299213,11.795460157480314,4.596754803149606,7.197032283464567,3.1626610551181105,,53.592323704233436,,28.72351358112216,16,143,,
seed11,1,raw_oneway_once_quiet,raw_oneway_once_quiet,True,True,odom_static_pcd_swept_segment,7.895585,False,True,10,883,1,0.0,True,0.05,0.016942,True,36.74,1,1,,,0,0.315699,0.115699,False,False,False,0,0,0,0,,,,,,,,,,,results/seed11_oneway_quiet_ab_n10_forensics/seed11_run1_raw_oneway_once_quiet.json,3676,3675,-0.093,48.011,2.04,-0.093,3.381,-50.0,48.011,105.977,3.003,1.991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64713.625,14.565052083333333,5.2645925,9.298589270833332,4.345896958333333,,60.47809065800187,,27.743254696086858,19,115,,
seed11,2,raw_oneway_once_quiet,raw_oneway_once_quiet,True,True,odom_static_pcd_swept_segment,7.534259,False,True,12,520,1,0.0,True,0.05,0.01823,True,36.54,1,1,,,0,0.379058,0.179058,False,False,False,0,0,0,0,,,,,,,,,,,results/seed11_oneway_quiet_ab_n10_forensics/seed11_run2_raw_oneway_once_quiet.json,3656,3655,-0.088,48.046,2.14,-0.088,5.221,-50.0,48.046,106.493,3.003,1.956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65059.10059171598,11.170897573964497,5.175100295857988,5.993865443786982,2.4240006863905323,,59.41251517755678,,27.886456312400302,10,179,,
seed11,2,raw_oneway_once,raw_oneway_once,True,True,odom_static_pcd_swept_segment,8.088316,False,True,18,594,1,0.0,True,0.05,0.017284,True,36.96,1,1,,,0,0.309778,0.109778,False,False,False,0,0,0,0,,,,,,,,,,,results/seed11_oneway_quiet_ab_n10_forensics/seed11_run2_raw_oneway_once.json,3698,3697,-0.233,48.038,2.144,-0.969,3.541,-50.0,48.038,106.914,3.004,1.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66038.8167539267,11.612955759162304,4.684598167539267,6.926639057591624,3.0071045183246072,,59.5463033743519,,28.989220485036302,23,214,,
seed11,3,raw_oneway_once,raw_oneway_once,True,True,odom_static_pcd_swept_segment,7.214167,False,True,13,1170,1,0.0,True,0.05,0.016878,True,37.16,1,1,,,0,0.342994,0.142994,False,False,False,0,0,0,0,,,,,,,,,,,results/seed11_oneway_quiet_ab_n10_forensics/seed11_run3_raw_oneway_once.json,3717,3716,-0.227,48.029,1.693,-4.504,3.189,-50.0,48.029,106.561,3.003,1.984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67661.0612244898,13.202155408163266,4.961188979591837,8.239149489795919,3.7987793469387756,,58.39548553193461,,28.749539075693704,19,117,,
seed11,3,raw_oneway_once_quiet,raw_oneway_once_quiet,True,True,odom_static_pcd_swept_segment,7.336402,False,True,13,1096,1,0.0,True,0.05,0.015566,True,36.95,1,1,,,0,0.269034,0.069034,False,False,False,0,0,0,0,,,,,,,,,,,results/seed11_oneway_quiet_ab_n10_forensics/seed11_run3_raw_oneway_once_quiet.json,3697,3696,-0.234,48.032,2.152,-0.619,5.359,-50.0,48.032,106.772,3.002,1.982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67982.81818181818,11.294691497326204,4.891702887700535,6.400554598930482,2.7090156417112303,,62.17439884721398,,28.43639962757652,18,205,,
seed11,4,raw_oneway_once_quiet,raw_oneway_once_quiet,True,True,odom_static_pcd_swept_segment,8.281857,False,True,6,1014,1,0.0,True,0.05,0.018291,True,36.84,1,1,,,0,0.303727,0.103727,False,False,False,0,0,0,0,,,,,,,,,,,results/seed11_oneway_quiet_ab_n10_forensics/seed11_run4_raw_oneway_once_quiet.json,3686,3685,1.176,48.385,1.399,0.0,3.541,-50.0,48.385,106.098,3.004,1.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66367.19186046511,12.854218430232558,5.04703738372093,7.805286744186047,3.4655480174418605,,64.32833100272408,,27.844259737755497,18,190,,
seed11,4,raw_oneway_once,raw_oneway_once,True,True,odom_static_pcd_swept_segment,7.264419,False,True,16,932,1,0.0,True,0.05,0.016896,True,37.96,1,1,,,0,0.399385,0.199385,False,False,False,0,0,0,0,,,,,,,,,,,results/seed11_oneway_quiet_ab_n10_forensics/seed11_run4_raw_oneway_once.json,3798,3797,-0.113,48.008,2.014,-1.281,3.353,-50.0,48.008,109.025,3.003,1.995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68243.75392670157,12.363803769633508,5.067997172774869,7.293962670157068,3.1790680680628274,,64.156956484988,,29.244601520804345,15,206,,
seed11,5,raw_oneway_once,raw_oneway_once,True,True,odom_static_pcd_swept_segment,8.26027,False,True,10,819,1,0.0,True,0.05,0.016601,True,36.66,1,1,,,0,0.391663,0.191663,False,False,False,0,0,0,0,,,,,,,,,,,results/seed11_oneway_quiet_ab_n10_forensics/seed11_run5_raw_oneway_once.json,3667,3666,-0.349,48.054,1.441,-0.445,3.21,-50.0,48.054,106.351,3.002,1.977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63336.666666666664,12.272524065040649,4.693568455284552,7.577159268292683,3.3578595203252033,,56.55168368650169,,28.21544771933744,28,151,,
seed11,5,raw_oneway_once_quiet,raw_oneway_once_quiet,True,True,odom_static_pcd_swept_segment,7.674284,False,True,11,666,1,0.0,True,0.05,0.015965,True,36.96,1,1,,,0,0.33258,0.13258,False,False,False,0,0,0,0,,,,,,,,,,,results/seed11_oneway_quiet_ab_n10_forensics/seed11_run5_raw_oneway_once_quiet.json,3697,3696,-0.244,48.022,2.149,-3.62,1.433,-50.0,48.022,106.294,3.002,1.993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67043.20529801324,13.021216953642384,4.961534304635762,8.057704701986756,3.643812894039735,,61.71554617465832,,28.111098660912898,18,169,,
