_dataset,seed,run,mode,world,success,mission_time_s,frames,active_frames,pts_mean,total_ms_mean,total_ms_active_mean,raycast_ms_mean,raycast_ms_active_mean,update_ms_mean,inflation_ms_mean,cache_mean,fsm_cpu_pct,cpp_cpu_pct,collisions,min_clearance_m,corners_reached,timeouts,perf_row_start,perf_row_end,mission_rc,samples
probe_backtoback,7,1,sector,default_seed7,True,143.35,1162,1162,1585.9018932874355,5.375574801204819,5.375574801204819,0.6418089113597245,0.6418089113597245,4.731156821858864,3.2238915456110155,2427.6867469879517,108.16347517205328,6.396847436403218,5,0.039,4,2,199,1361,-9,33764
probe_backtoback,7,2,sector,default_seed7,False,0.0,,,,,,,,,,,118.09252042165257,6.2439088225453165,0,1.316,0,0,,3906,-9,33764
probe_backtoback,7,3,sector,default_seed7,False,0.0,,,,,,,,,,,117.29481989921737,6.238003356560556,0,1.312,0,0,,6748,-9,33748
probe_backtoback,7,1,adaptive,default_seed7,True,218.05,1832,1832,4213.316048034934,9.705782756550217,9.705782756550217,1.735722127183406,1.735722127183406,7.966803558951966,4.5191,6119.602620087337,109.86207708328247,6.867429376763373,1,0.046,3,4,193,2025,-9,33767
probe_backtoback,7,2,adaptive,default_seed7,False,0.0,,,,,,,,,,,114.92512787662923,6.513744503688701,0,0.381,0,0,,4030,-9,31088
probe_backtoback,7,3,adaptive,default_seed7,False,0.0,,,,,,,,,,,54.3593349679354,1.5631172087214558,0,0.414,0,0,,5738,-9,86
robust_sector_r1,7,1,sector,default_seed7,False,220.05,1769,1769,1647.3261729790843,3.836838566421707,3.836838566421707,0.4735290520067835,0.4735290520067835,3.361647510457886,2.0492613606557377,2521.970039570379,111.53757492148362,6.48506793252943,1,0.094,1,4,184,1953,-9,33764
robust_sector_r2,7,1,sector,default_seed7,True,79.4,648,648,2847.6018518518517,3.979167813271605,3.979167813271605,0.6147453410493827,0.6147453410493827,3.3622609151234566,2.038345523148148,2333.3966049382716,34.47439310275802,5.970383534759249,4,0.004,4,0,191,839,-9,33777
robust_sector_r3,7,1,sector,default_seed7,True,78.5,654,654,2938.723241590214,3.5435760458715597,3.5435760458715597,0.5934189587155964,0.5934189587155964,2.947942813455658,1.7409193180428135,2381.12996941896,32.74536431473496,6.061568733785804,2,-0.029,4,0,198,852,-9,33773
robust_adaptive_r1,7,1,adaptive,default_seed7,False,220.05,1772,1772,4520.635440180587,12.647539091422123,12.647539091422123,1.9940006027088035,1.9940006027088035,10.650639838036119,6.724567972911964,6707.827878103837,111.03779118792323,6.838001604047821,1,0.204,2,4,197,1969,-9,33772
robust_adaptive_r2,7,1,adaptive,default_seed7,False,220.0,1822,1822,4087.5175631174534,13.260830631174533,13.260830631174533,2.106106139407245,2.106106139407245,11.151669967069155,6.915155746432492,7012.947859495061,111.1601761231101,6.981959090010533,1,0.228,2,4,198,2020,-9,33717
robust_adaptive_r3,7,1,adaptive,default_seed7,False,220.05,1839,1839,3318.3931484502446,6.273440603588907,6.273440603588907,1.0461997862969004,1.0461997862969004,5.225609874932028,2.8335953507340945,6751.862969004894,110.76194827579829,7.093895820942806,4,-0.172,2,4,194,2033,-9,33748
