radius_tier,map,mode,n,complete,authoritative_contact_runs,authoritative_contact_events,hazard_contact_runs,hazard_contact_events,mission_time_mean_s,mission_time_median_s,global_clearance_median_m,global_clearance_min_m,hazard_clearance_median_m,hazard_clearance_min_m,probe_valid,probe_distance_median_m,probe_center_outside_count,effective_full_opens,trajectory_guard_opens,trajectory_guard_active_runs,planner_ingress_mib_s_mean,map_compute_ms_per_frame_mean,end_to_end_cores_mean,end_to_end_core_s_mean,end_to_end_peak_pss_mib_mean
1,occ_bw_r1,full,10,10,0,0,0,0,54.423,54.26,0.443,0.394,0.445,0.391,0,,0,0,0,0,4.469086,36.702128,1.613796,90.56938,3466.238
1,occ_bw_r1,sector,10,10,0,0,0,0,55.171,54.87,0.369,0.263,0.474,0.262,10,4.445,10,0,0,0,0.884986,9.569688,1.330171,75.455119,3354.809
1,occ_bw_r1,adaptive,10,10,0,0,0,0,54.234,54.105,0.394,0.184,0.502,0.183,10,4.432,8,218,7,7,0.777671,17.639995,1.374236,76.642953,3383.89
2,occ_bw_r2,full,10,10,0,0,0,0,54.446,54.155,0.449,0.352,0.458,0.368,0,,0,0,0,0,5.391927,44.265143,1.711699,96.476815,3498.509
2,occ_bw_r2,sector,10,10,0,0,0,0,55.288,56.105,0.383,0.303,0.428,0.31,10,4.476,10,0,0,0,1.071764,11.409376,1.342632,76.690379,3408.276
2,occ_bw_r2,adaptive,10,10,0,0,0,0,54.611,54.845,0.428,0.35,0.477,0.417,10,4.352,7,221,9,9,0.942549,20.060688,1.382102,78.292707,3428.762
3,occ_bw_r3,full,10,10,0,0,0,0,54.543,54.035,0.441,0.352,0.468,0.356,0,,0,0,0,0,5.863399,49.982853,1.766847,100.063196,3388.357
3,occ_bw_r3,sector,10,10,0,0,0,0,54.325,54.425,0.327,0.256,0.451,0.28,10,4.417,10,0,0,0,1.066241,12.455622,1.360301,76.089881,3423.305
3,occ_bw_r3,adaptive,10,10,0,0,0,0,54.656,54.365,0.368,0.337,0.424,0.337,10,4.44,7,229,4,4,0.90173,21.582936,1.399361,78.906153,3463.883
4,occ_bw_r4,full,10,10,0,0,0,0,55.374,55.435,0.432,0.376,0.487,0.375,0,,0,0,0,0,6.468158,56.61278,1.849562,106.035617,3497.391
4,occ_bw_r4,sector,10,10,0,0,0,0,53.351,53.165,0.398,0.283,0.495,0.354,10,4.375,10,0,0,0,1.154147,13.922224,1.388411,76.503336,3490.863
4,occ_bw_r4,adaptive,10,10,0,0,0,0,55.393,55.63,0.393,0.307,0.528,0.362,10,4.384,8,227,6,6,0.964131,23.304377,1.410583,80.846128,3522.094
5,occ_bw_r5,full,10,10,0,0,0,0,55.189,54.205,0.436,0.288,0.442,0.288,0,,0,0,0,0,6.734866,56.384039,1.83361,104.832397,3450.069
5,occ_bw_r5,sector,10,10,0,0,0,0,54.577,54.755,0.416,0.227,0.482,0.368,10,4.378,10,0,0,0,1.18547,13.753845,1.388193,78.332019,3496.121
5,occ_bw_r5,adaptive,10,10,0,0,0,0,54.474,54.285,0.4,0.357,0.479,0.362,10,4.364,7,224,4,4,1.001568,23.386518,1.406643,79.182987,3538.45
