map,mode,n,complete,completion_pct,collision_runs,collision_events,run_valid_count,speed_limit_valid_count,resource_valid_count,first_attempt_count,retry_total,resource_abort_total,algorithm_cpu_scope,end_to_end_cpu_scope,mission_time_mean_all_s,mission_time_sd_all_s,mission_time_mean_success_s,mission_time_min_s,mission_time_max_s,clearance_mean_m,clearance_min_m,clearance_below_0p20_count,effective_full_open_total,effective_full_open_mean,system_available_min_mib,system_peak_swap_max_mib,psi_some_avg10_max,psi_full_avg10_max,preflight_wait_mean_s,mission_time_s,map_compute_ms_per_frame,algorithm_cores_mean,algorithm_core_s,algorithm_cores_p95_1s,algorithm_peak_pss_mib,end_to_end_cores_mean,end_to_end_core_s,end_to_end_cores_p95_1s,end_to_end_peak_pss_mib,planner_ingress_mib_s,dds_algorithm_mib_s
occ_bw_r1,full,10,10,100.0,0,0.0,10,10,10,10,0,0,simulator+planner,simulator+frontend+planner+mission,54.423,1.3353572139651955,54.423,52.53,57.49,0.446,0.394,0,0,,5209.515625,2047.7265625,0.0,0.0,5.005539417703403,54.423,36.70212838291758,1.5557451741351151,87.3096862,1.848702857555855,3417.95859375,1.6137959275723528,90.5693803,1.913061551288245,3466.2384765625,4.469086224791027,
occ_bw_r1,sector,10,10,100.0,0,0.0,10,10,10,10,0,0,planner_only,simulator+frontend+planner+mission,55.171,1.905952372029386,55.171,52.8,57.98,0.3726,0.263,0,0,0.0,5356.36328125,2047.7265625,0.0,0.0,5.006210289994487,55.171,9.569687743987444,1.0649286107934124,60.4084127,1.2447595054088423,3144.8400390625,1.3301710806511975,75.4551195,1.5233440372869038,3354.809375,0.8849859822383808,0.8849859822383808
occ_bw_r1,adaptive,10,10,100.0,0,0.0,10,10,10,10,0,0,planner_only,simulator+frontend+planner+mission,54.234,1.1692561738130787,54.234,52.68,55.92,0.3909,0.184,1,218,21.8,5331.89453125,2047.7265625,0.0,0.0,5.006043041497469,54.234,17.639995150835865,1.0753924774135597,59.9734435,1.2630129585152423,3156.66142578125,1.3742364682991393,76.6429528,1.5979922753024494,3383.88984375,0.7776705555149158,0.7804254816107172
occ_bw_r2,full,10,10,100.0,0,0.0,10,10,10,10,0,0,simulator+planner,simulator+frontend+planner+mission,54.446,1.5489078589624221,54.446,52.64,56.98,0.433,0.352,0,0,,5159.65234375,2047.68359375,0.0,0.0,5.0063920246961064,54.446,44.26514276364818,1.6517449491745944,93.0967852,1.9321951651517635,3450.2884765625,1.7116989266852871,96.4768148,1.9950382065207437,3498.50927734375,5.391927069107334,
occ_bw_r2,sector,10,10,100.0,0,0.0,10,10,10,10,0,0,planner_only,simulator+frontend+planner+mission,55.288000000000004,1.701573128346563,55.288000000000004,52.38,57.21,0.37779999999999997,0.303,0,0,0.0,5285.19921875,2047.6875,0.0,0.0,5.005816569406306,55.288000000000004,11.409375640548852,1.0855563398262194,62.0036731,1.262691428701377,3147.64853515625,1.3426323320789195,76.6903786,1.528529036122614,3408.27607421875,1.0717642677885086,1.0717642677885086
occ_bw_r2,adaptive,10,10,100.0,0,0.0,10,10,10,10,0,0,planner_only,simulator+frontend+planner+mission,54.611,1.8079174637011386,54.611,51.72,58.45,0.4223,0.35,0,221,22.1,5245.015625,2047.6875,0.0,0.0,5.006114230502862,54.611,20.060688381683565,1.075789056482252,60.9449499,1.2891087463866246,3158.33623046875,1.382102224263455,78.292707,1.60898504171146,3428.76171875,0.9425486750952242,0.945318053323899
occ_bw_r3,full,10,10,100.0,0,0.0,10,10,10,10,0,0,simulator+planner,simulator+frontend+planner+mission,54.543,2.1221113699960856,54.543,52.08,59.44,0.4328,0.352,0,0,,5258.4140625,2047.99609375,0.0,0.0,5.004940612398786,54.543,49.98285339137283,1.7068475029567673,96.6654533,1.9686374309137973,3340.2001953125,1.7668473631028756,100.0631956,2.0321774074202756,3388.356640625,5.863398764859512,
occ_bw_r3,sector,10,10,100.0,0,0.0,10,10,10,10,0,0,planner_only,simulator+frontend+planner+mission,54.325,1.5088056350784371,54.325,51.87,56.73,0.3468,0.256,0,0,0.0,5221.7421875,2047.97265625,0.0,0.0,5.0056409985991195,54.325,12.455622023558755,1.1003828587350364,61.5497242,1.2745633495732427,3147.7275390625,1.3603013714257126,76.08988049999999,1.5405913161069473,3423.3048828125,1.066240976927225,1.066240976927225
occ_bw_r3,adaptive,10,10,100.0,0,0.0,10,10,10,10,0,0,planner_only,simulator+frontend+planner+mission,54.656,1.367131628223445,54.656,53.1,56.68,0.3965,0.337,0,229,22.9,5126.71875,2047.99609375,0.0,0.0,5.005693312187214,54.656,21.582935887608834,1.0949122709294672,61.730978900000004,1.2909269219497523,3159.678125,1.3993609779619287,78.9061531,1.615246244685641,3463.88271484375,0.9017302162937056,0.9044855370557887
occ_bw_r4,full,10,10,100.0,0,0.0,10,10,10,10,0,0,simulator+planner,simulator+frontend+planner+mission,55.374,1.9332885052274125,55.374,52.24,58.0,0.4429,0.376,0,0,,5120.7890625,2047.96484375,0.0,0.0,5.005974321410759,55.374,56.6127799169061,1.7895024701216147,102.5934547,2.0129562937037986,3449.20849609375,1.8495623498559113,106.0356166,2.0746582456366642,3497.39140625,6.468157554359078,
