elapsed_s,algorithm_usage_usec,end_to_end_usage_usec,algorithm_interval_cores,end_to_end_interval_cores,memory_sampled,algorithm_pids,end_to_end_pids,algorithm_rss_kib,algorithm_pss_kib,algorithm_swap_kib,end_to_end_rss_kib,end_to_end_pss_kib,end_to_end_swap_kib
7.4e-05,0,1125,,,True,1,4,3275004,3251810,0,3345768,3300684,0
1.080394,416992,454201,0.38598932931495245,0.41939054314879276,False,1,4,3275004,3251810,0,3345768,3300684,0
2.110089,1103516,1180836,0.6667259755862001,0.7056802519213873,False,1,4,3275004,3251810,0,3345768,3300684,0
3.144104,2472097,2593871,1.3235596511559666,1.3665512758624965,False,1,4,3275004,3251810,0,3345768,3300684,0
4.181364,3084665,3248136,0.5905635769168324,0.6307627539334267,False,1,4,3275004,3251810,0,3345768,3300684,0
5.219239,4440476,4660504,1.3063336294005303,1.3608267048203389,False,1,4,3275004,3251810,0,3345768,3300684,0
6.255505,5477572,5747588,1.000801104311052,1.0490396912907538,False,1,4,3275004,3251810,0,3345768,3300684,0
7.291264,6738747,7058090,1.2176332143291275,1.2652572106525664,False,1,4,3275004,3251810,0,3345768,3300684,0
8.324426,7306206,7678060,0.5492450047343029,0.6000705347613233,False,1,4,3275004,3251810,0,3345768,3300684,0
8.34516,7309491,7681754,0.1584331355535868,0.17815890494214598,True,1,4,3400312,3377101,0,3470248,3425229,0
