Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.0384317, 0.0137563, 0.0246741, 0.0174185, 20703, 47216, 863952, 662496, 32
0.017315, 0.0127726, 0.00454154, 0.000668516, 20719, 47184, 93972, 663008, 32
0.0193378, 0.0134376, 0.00589796, 0.000676952, 20666, 47024, 62115, 661312, 32
0.016794, 0.0129806, 0.00381215, 1.8623e-05, 20703, 47172, 738, 662496, 32
0.0159962, 0.0125398, 0.00345448, 4.0712e-05, 20775, 47271, 2337, 664800, 32
0.015904, 0.0124489, 0.00345364, 0.000133329, 20647, 46945, 7134, 660704, 32
0.0527443, 0.0484885, 0.00425408, 0, 20613, 46902, 0, 659616, 32
0.0265171, 0.0227268, 0.00378846, 9.2591e-05, 20612, 46974, 3690, 659584, 32
0.0179728, 0.0145116, 0.00345928, 0, 20688, 47015, 0, 662016, 32
0.0157293, 0.0128894, 0.00283832, 0, 20710, 47019, 0, 662720, 32
0.0162125, 0.013528, 0.0026831, 0, 20633, 46914, 0, 660256, 32
0.0149507, 0.0122236, 0.00272578, 0, 20775, 47263, 0, 664800, 32
0.015174, 0.0125075, 0.00266568, 0, 20775, 47271, 0, 664800, 32
0.0189643, 0.0151889, 0.0037736, 0.000461882, 25179, 48227, 43050, 805728, 32
0.016664, 0.0131111, 0.00355095, 0.000514131, 32457, 48917, 59163, 1.03862e+06, 32
0.0175526, 0.0137107, 0.00384084, 0.000328234, 30553, 48984, 26322, 977696, 32
0.0189935, 0.0145524, 0.0044395, 0.000376489, 26876, 49089, 29766, 860032, 32
0.0195605, 0.0151578, 0.00440092, 0.000493506, 25994, 49093, 45141, 831808, 32
0.0191488, 0.0143141, 0.00483316, 0.000830026, 25532, 49267, 79212, 817024, 32
0.0211147, 0.0148381, 0.00627476, 0.00161552, 30046, 54004, 124353, 961472, 32
0.0223594, 0.0146199, 0.00773827, 0.00302595, 34508, 51462, 303441, 1.10426e+06, 32
0.0211839, 0.0140995, 0.00708337, 0.00261534, 49906, 48515, 333822, 1.59699e+06, 32
0.0171725, 0.0116909, 0.00548022, 0.0016266, 51600, 41059, 206271, 1.6512e+06, 32
0.0163516, 0.0110548, 0.00529562, 0.0016767, 40519, 39820, 207255, 1.29661e+06, 32
0.0159921, 0.011186, 0.00480498, 0.00125853, 43006, 37786, 143910, 1.37619e+06, 32
0.015179, 0.0109176, 0.00426025, 0.000993188, 44046, 36786, 103689, 1.40947e+06, 32
0.0247158, 0.0175859, 0.00712847, 0.00241009, 61059, 45211, 362727, 1.95389e+06, 32
0.0331416, 0.0270894, 0.00605029, 0.00132778, 50312, 44206, 109962, 1.60998e+06, 32
0.0190056, 0.0150946, 0.00390951, 0.000664173, 46879, 42384, 71709, 1.50013e+06, 32
0.0184671, 0.0146083, 0.00385627, 0.0004883, 46922, 42360, 46248, 1.5015e+06, 32
0.0187104, 0.0153737, 0.00333501, 0.000422835, 46778, 42300, 38130, 1.4969e+06, 32
0.0196668, 0.016621, 0.00304403, 0.000245926, 46841, 42146, 17958, 1.49891e+06, 32
0.0148054, 0.0117576, 0.00304626, 0.000132922, 46826, 42153, 8979, 1.49843e+06, 32
0.0150334, 0.0123384, 0.00269433, 1.0542e-05, 46805, 42172, 369, 1.49776e+06, 32
0.0182662, 0.0141937, 0.00407053, 0.000625169, 51135, 43712, 75276, 1.63632e+06, 32
0.0178144, 0.0133567, 0.004456, 0.000849067, 57420, 44913, 101721, 1.83744e+06, 32
0.0184964, 0.014238, 0.00425724, 0.000717723, 54070, 45390, 76752, 1.73024e+06, 32
0.0193307, 0.014986, 0.0043427, 0.000508466, 49305, 45189, 44280, 1.57776e+06, 32
0.0178892, 0.0136483, 0.00423964, 0.00079083, 47328, 44363, 85977, 1.5145e+06, 32
0.0196505, 0.0140007, 0.00564847, 0.000669679, 47090, 43070, 57687, 1.50688e+06, 32
0.0190557, 0.0148157, 0.00423862, 0.000517294, 46996, 43020, 41205, 1.50387e+06, 32
0.0202301, 0.0152094, 0.00501891, 0.00111078, 60347, 42682, 158301, 1.9311e+06, 32
0.0203691, 0.0165498, 0.00381751, 0.00059256, 60699, 42520, 69741, 1.94237e+06, 32
0.0162753, 0.013492, 0.00278111, 5.4679e-05, 60216, 42685, 3075, 1.92691e+06, 32
0.0147952, 0.0114604, 0.00333318, 0.000372506, 48496, 43086, 37146, 1.55187e+06, 32
0.0172553, 0.0133765, 0.00387753, 0.000538516, 52429, 45293, 64698, 1.67773e+06, 32
0.0225205, 0.0183783, 0.00414048, 0.000493624, 54870, 45866, 53874, 1.75584e+06, 32
0.0207948, 0.0157616, 0.0050317, 0.000494164, 56520, 46042, 53874, 1.80864e+06, 32
0.0227834, 0.0174327, 0.00534918, 0.00129155, 67873, 45605, 149568, 2.17194e+06, 32
0.0158727, 0.0119147, 0.00395611, 0.00112221, 79721, 41253, 133455, 2.55107e+06, 32
0.0146797, 0.011046, 0.0036322, 0.000828211, 80134, 38949, 86469, 2.56429e+06, 32
0.0169318, 0.0127703, 0.00416015, 0.000664325, 50487, 40475, 85485, 1.61558e+06, 32
0.0150371, 0.0114732, 0.0035623, 0.000500924, 55983, 37818, 51537, 1.79146e+06, 32
0.016195, 0.0123496, 0.0038438, 0.000633301, 51042, 39615, 54858, 1.63334e+06, 32
