elapsed_s,algorithm_usage_usec,end_to_end_usage_usec,algorithm_interval_cores,end_to_end_interval_cores,memory_sampled,algorithm_pids,end_to_end_pids,algorithm_rss_kib,algorithm_pss_kib,algorithm_swap_kib,end_to_end_rss_kib,end_to_end_pss_kib,end_to_end_swap_kib
6.3e-05,89,168,,,True,1,4,3279220,3256072,0,3349304,3304443,0
1.094537,445949,486078,0.40737380467326473,0.44396672818549787,False,1,4,3279220,3256072,0,3349304,3304443,0
2.132706,1282264,1368080,0.8055670990870691,0.8495743739248884,False,1,4,3279220,3256072,0,3349304,3304443,0
3.171564,2739331,2869767,1.4025665717717333,1.4455175962836158,False,1,4,3279220,3256072,0,3349304,3304443,0
4.215361,3320703,3491610,0.5569776734300543,0.5957505132320877,False,1,4,3279220,3256072,0,3349304,3304443,0
5.250119,4679972,4909160,1.3136108604752033,1.3699341890873877,False,1,4,3279220,3256072,0,3349304,3304443,0
6.285331,5408794,5681216,0.704031648165634,0.7457950750061972,False,1,4,3279220,3256072,0,3349304,3304443,0
7.317835,6667295,6985447,1.218881971697211,1.263172339814291,False,1,4,3279220,3256072,0,3349304,3304443,0
8.356916,7226269,7591293,0.5379503753339433,0.5830594680514088,False,1,4,3279220,3256072,0,3349304,3304443,0
8.382023,7229704,7595340,0.13681738210765756,0.16119357944386906,True,1,4,3398872,3375687,0,3468932,3423999,0
