elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.0,3274388,3251240,0,6348904,2097148,11614156,1077744,0.0,0.0
1.118,3287320,3262500,0,6270892,2097148,11664120,1077744,0.0,0.0
2.151,3295664,3270848,0,6267820,2097148,11671240,1077744,0.0,0.0
3.19,3304496,3279674,0,6264832,2097148,11677288,1077744,0.0,0.0
4.229,3304748,3279927,0,6266176,2097148,11678460,1077744,0.0,0.0
5.273,3397788,3372966,0,6138944,2097148,11710200,1077744,0.0,0.0
6.308,3398888,3374068,0,6108904,2097148,11711408,1077744,0.0,0.0
7.342,3398916,3374097,0,6108488,2097148,11712316,1077744,0.0,0.0
8.374,3398872,3375687,0,6130308,2097148,11676632,1077744,0.0,0.0
8.413,3398872,3375687,0,6130312,2097148,11676652,1077744,0.0,0.0
