Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.056229, 0.0133269, 0.0429008, 0.0259569, 18877, 49410, 859893, 604064, 32
0.0456221, 0.0392879, 0.00633232, 0.000852327, 18857, 49296, 96309, 603424, 32
0.0215666, 0.0147461, 0.00681931, 0.000751485, 18863, 49286, 71832, 603616, 32
0.0182079, 0.0138954, 0.00431106, 1.3123e-05, 18860, 49305, 492, 603520, 32
0.018181, 0.0139296, 0.0042493, 2.9168e-05, 18998, 49551, 1230, 607936, 32
0.0193336, 0.0141422, 0.00519028, 0.000148321, 18855, 49368, 6027, 603360, 32
0.0644076, 0.0599176, 0.00448839, 0, 18853, 49383, 0, 603296, 32
0.023006, 0.0182235, 0.00478102, 8.4159e-05, 18796, 49204, 3321, 601472, 32
0.0173485, 0.0144942, 0.00285315, 0, 18879, 49298, 0, 604128, 32
0.0167706, 0.0135965, 0.00317302, 0, 18905, 49335, 0, 604960, 32
0.0217204, 0.0187353, 0.00298378, 0, 18849, 49368, 0, 603168, 32
0.017035, 0.0140488, 0.00298508, 0, 19002, 49543, 0, 608064, 32
0.0167477, 0.0135742, 0.00317232, 0, 18998, 49551, 0, 607936, 32
0.0205361, 0.0152498, 0.00528468, 0.00141112, 36160, 53235, 178965, 1.15712e+06, 32
0.0197689, 0.0151973, 0.00457068, 0.000719377, 36011, 52562, 90405, 1.15235e+06, 32
0.0196699, 0.015285, 0.0043836, 0.000321393, 25854, 50878, 18942, 827328, 32
0.0196374, 0.0150678, 0.00456865, 0.000283766, 22545, 49526, 19803, 721440, 32
0.0229571, 0.0176284, 0.0053271, 0.000829407, 24410, 50436, 77859, 781120, 32
0.025072, 0.0188056, 0.00626533, 0.00172257, 26170, 53875, 142434, 837440, 32
0.0287829, 0.0184081, 0.0103732, 0.00403129, 47206, 53815, 283269, 1.51059e+06, 32
0.0258063, 0.0175348, 0.00826308, 0.00305292, 61189, 49661, 276996, 1.95805e+06, 32
0.0194131, 0.0135222, 0.00588931, 0.00172558, 63001, 44720, 194586, 2.01603e+06, 32
0.0220255, 0.0142093, 0.00781517, 0.00319145, 49988, 42963, 271338, 1.59962e+06, 32
0.0173999, 0.012337, 0.00506158, 0.00138401, 45648, 38266, 162237, 1.46074e+06, 32
0.0213442, 0.0164648, 0.00487764, 0.00151856, 53180, 39778, 188805, 1.70176e+06, 32
0.0227716, 0.0176064, 0.00516316, 0.0012307, 74174, 38146, 135177, 2.37357e+06, 32
0.025805, 0.0187159, 0.00708698, 0.00229327, 60983, 44454, 333945, 1.95146e+06, 32
0.0208441, 0.0167358, 0.00410669, 0.000838823, 51191, 42295, 104919, 1.63811e+06, 32
0.020056, 0.0166231, 0.00343141, 0.000500976, 48981, 40705, 55596, 1.56739e+06, 32
0.0197888, 0.0164128, 0.00337449, 0.00043947, 49245, 41106, 43665, 1.57584e+06, 32
0.0181658, 0.0143857, 0.00377876, 0.000272428, 49054, 40677, 20418, 1.56973e+06, 32
0.0159688, 0.0131998, 0.00276762, 0.000197956, 49056, 40428, 14145, 1.56979e+06, 32
0.0153297, 0.0125813, 0.00274684, 0.000132481, 49051, 40519, 8733, 1.56963e+06, 32
