elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.0,3279288,3256118,0,6171980,2096944,10524136,1082328,0.0,0.0
1.098,3287164,3262376,0,6129976,2096944,10568868,1082328,0.0,0.0
2.132,3293048,3268249,0,6116212,2096944,10572720,1082328,0.0,0.0
3.169,3294648,3269889,0,6115576,2096944,10574668,1082328,0.0,0.0
4.205,3297924,3273120,0,6113880,2096944,10577148,1082328,0.0,0.0
5.236,3405052,3380249,0,5972852,2096944,10684864,1082328,0.0,0.0
6.266,3405096,3380293,0,5971040,2096944,10684796,1082328,0.0,0.0
7.294,3407608,3382805,0,5966712,2096944,10687768,1082328,0.0,0.0
8.328,3408816,3384012,0,5974800,2096944,10689824,1082328,0.0,0.0
9.364,3409524,3386306,0,6010320,2096944,10652292,1082328,0.0,0.0
9.403,3409524,3386306,0,6009744,2096944,10651832,1082328,0.0,0.0
