elapsed_s,algorithm_usage_usec,end_to_end_usage_usec,algorithm_interval_cores,end_to_end_interval_cores,memory_sampled,algorithm_pids,end_to_end_pids,algorithm_rss_kib,algorithm_pss_kib,algorithm_swap_kib,end_to_end_rss_kib,end_to_end_pss_kib,end_to_end_swap_kib
5.5e-05,0,187,,,True,1,5,3169748,3146073,0,3413400,3330528,0
1.071183,64129,325750,0.05987049273360024,0.3039438822658874,False,1,5,3169748,3146073,0,3413400,3330528,0
2.097364,814445,1369179,0.7311736344354947,1.0168086169099337,False,1,5,3169748,3146073,0,3413400,3330528,0
3.132403,1028182,1847979,0.20650132490779638,0.46259110198914044,False,1,5,3169748,3146073,0,3413400,3330528,0
4.166451,1911466,2969976,0.8541999184615804,1.085052764359071,False,1,5,3169748,3146073,0,3413400,3330528,0
5.201977,2908858,4206207,0.9631742028870669,1.1938192887142485,False,1,5,3169748,3146073,0,3413400,3330528,0
6.233659,3376426,5019357,0.4532095101469875,0.7881790737946629,False,1,5,3169748,3146073,0,3413400,3330528,0
7.262023,4275799,6218922,0.87456646188681,1.1664785554528,False,1,5,3169748,3146073,0,3413400,3330528,0
8.297568,5152865,7408349,0.8469613876318043,1.148600837800957,False,1,5,3169748,3146073,0,3413400,3330528,0
9.334768,5748738,8307233,0.57450164396908,0.8666449658526272,False,1,5,3169748,3146073,0,3413400,3330528,0
9.368312,5749575,8313110,0.024952030663040983,0.17520081745124474,True,1,5,3195452,3171495,0,3523928,3440238,0
