Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.0326675, 0.0190178, 0.0136481, 0.00769039, 20703, 47216, 863952, 662496, 32
0.0325115, 0.0269478, 0.00556224, 0.000741421, 20719, 47184, 93972, 663008, 32
0.0181657, 0.0123615, 0.00580219, 0.000630686, 20666, 47024, 62115, 661312, 32
0.0167214, 0.0126983, 0.00402225, 1.9445e-05, 20703, 47172, 738, 662496, 32
0.0168945, 0.0131724, 0.00372074, 4.0815e-05, 20775, 47271, 2337, 664800, 32
0.0169659, 0.0132545, 0.00371025, 0.00013577, 20647, 46945, 7134, 660704, 32
0.0797268, 0.0630511, 0.0166738, 0, 20613, 46902, 0, 659616, 32
0.024849, 0.0206209, 0.00422654, 9.938e-05, 20612, 46974, 3690, 659584, 32
0.017733, 0.0143608, 0.00337063, 0, 20688, 47015, 0, 662016, 32
0.0162032, 0.0134293, 0.00277317, 0, 20710, 47019, 0, 662720, 32
0.0151774, 0.0124101, 0.0027653, 0, 20633, 46914, 0, 660256, 32
0.016414, 0.0131346, 0.00327744, 0, 20710, 47019, 0, 662720, 32
0.0170411, 0.0140729, 0.00296643, 0, 20703, 47172, 0, 662496, 32
0.0198614, 0.0160352, 0.00382491, 0.000468223, 26469, 48410, 45879, 847008, 32
0.0180065, 0.0139365, 0.00406859, 0.00062579, 34085, 48971, 70233, 1.09072e+06, 32
0.0181174, 0.0138182, 0.00429831, 0.000723263, 36947, 49436, 84009, 1.1823e+06, 32
0.0194139, 0.0145224, 0.00488993, 0.000758336, 28854, 49676, 73800, 923328, 32
0.0206172, 0.0139683, 0.00664802, 0.00175874, 28501, 51111, 166173, 912032, 32
0.0196443, 0.0130316, 0.00661172, 0.00229955, 38325, 48252, 212913, 1.2264e+06, 32
0.0189986, 0.0127987, 0.00619828, 0.00211416, 65446, 43915, 242064, 2.09427e+06, 32
0.0178261, 0.0119914, 0.00583344, 0.00218723, 66162, 40002, 269739, 2.11718e+06, 32
0.0208651, 0.0135516, 0.0073119, 0.00317566, 53483, 39190, 394338, 1.71146e+06, 32
0.0167056, 0.0117192, 0.00498514, 0.00154464, 46116, 37939, 191511, 1.47571e+06, 32
0.0168576, 0.0121509, 0.00470541, 0.00108849, 44851, 38453, 119556, 1.43523e+06, 32
0.017469, 0.0126651, 0.00480299, 0.00114243, 46682, 39748, 137022, 1.49382e+06, 32
0.0189049, 0.0130121, 0.00589138, 0.00164956, 45788, 41906, 211437, 1.46522e+06, 32
0.021397, 0.0150569, 0.00633863, 0.00188207, 68888, 43718, 234438, 2.20442e+06, 32
0.0274647, 0.0218889, 0.00557321, 0.00154875, 69997, 44847, 199752, 2.2399e+06, 32
0.022388, 0.0169586, 0.005428, 0.00120373, 58622, 44693, 124107, 1.8759e+06, 32
0.0215969, 0.0163128, 0.00528299, 0.000934905, 48583, 43757, 95448, 1.55466e+06, 32
0.0202387, 0.0149531, 0.00528406, 0.000999832, 49844, 41050, 101721, 1.59501e+06, 32
0.0193195, 0.0148071, 0.00451113, 0.000795476, 52653, 40076, 70971, 1.6849e+06, 32
0.0213184, 0.0160417, 0.00527487, 0.000766056, 53963, 40650, 61992, 1.72682e+06, 32
0.0211672, 0.0164154, 0.0047501, 0.000758655, 52604, 41960, 61500, 1.68333e+06, 32
0.0227703, 0.0177073, 0.00506151, 0.00073274, 47403, 43806, 62607, 1.5169e+06, 32
0.0281557, 0.020811, 0.00734302, 0.00202049, 71437, 47741, 196923, 2.28598e+06, 32
0.0224171, 0.0172005, 0.00521489, 0.00141533, 74609, 44216, 139113, 2.38749e+06, 32
0.020235, 0.0156876, 0.0045458, 0.00111729, 78677, 41138, 97662, 2.51766e+06, 32
0.0230198, 0.016952, 0.00606622, 0.00133931, 73490, 42222, 106272, 2.35168e+06, 32
0.0257713, 0.0196483, 0.00612137, 0.00116612, 58465, 44659, 108609, 1.87088e+06, 32
0.0229573, 0.0172412, 0.00571488, 0.00101065, 60563, 43119, 104427, 1.93802e+06, 32
0.0213476, 0.0169793, 0.00436686, 0.000565007, 49569, 41092, 54489, 1.58621e+06, 32
0.0230042, 0.0185679, 0.00443428, 0.00049172, 51009, 42099, 40959, 1.63229e+06, 32
0.0210258, 0.0165967, 0.00442736, 0.000365356, 51828, 42417, 26445, 1.6585e+06, 32
0.0213673, 0.0179058, 0.00345987, 0.000311525, 48352, 41616, 24108, 1.54726e+06, 32
0.0206206, 0.0175278, 0.00309108, 0.000239244, 47358, 40764, 19434, 1.51546e+06, 32
0.0194093, 0.0166157, 0.00279176, 8.3184e-05, 47362, 40687, 3690, 1.51558e+06, 32
0.017704, 0.014548, 0.00315443, 0.00016196, 47325, 40792, 9225, 1.5144e+06, 32
0.0192655, 0.016587, 0.00267762, 2.2039e-05, 47290, 40577, 615, 1.51328e+06, 32
0.0210815, 0.0177238, 0.00335626, 0.000294699, 51460, 43385, 25953, 1.64672e+06, 32
0.0212457, 0.0176233, 0.00362125, 0.000281162, 52050, 43479, 25092, 1.6656e+06, 32
0.0213211, 0.0176028, 0.00371687, 0.000347031, 51816, 42882, 30996, 1.65811e+06, 32
0.0197862, 0.0156134, 0.00417124, 0.00106133, 63806, 41044, 81918, 2.04179e+06, 32
0.0203909, 0.0148234, 0.00556607, 0.00117662, 66895, 39734, 84378, 2.14064e+06, 32
0.0214302, 0.0158404, 0.00558858, 0.00130071, 52483, 45211, 114267, 1.67946e+06, 32
0.0378858, 0.0250719, 0.0128116, 0.00471613, 36663, 76096, 448581, 1.17322e+06, 32
0.0352301, 0.0263941, 0.00883462, 0.00125175, 36580, 76033, 114021, 1.17056e+06, 32
0.0352139, 0.0257656, 0.00944665, 0.000875886, 36868, 75859, 83886, 1.17978e+06, 32
0.0279045, 0.0196831, 0.00821964, 0.00109841, 21798, 69973, 111438, 697536, 32
0.0291092, 0.0211995, 0.00790832, 0.000821008, 26367, 75435, 73800, 843744, 32
0.0336407, 0.0257935, 0.00784507, 0.000883303, 34665, 79110, 76014, 1.10928e+06, 32
0.033515, 0.0252741, 0.00823968, 0.00102888, 35304, 84612, 96924, 1.12973e+06, 32
0.0340013, 0.0251135, 0.00888572, 0.00126819, 28922, 86894, 98400, 925504, 32
0.0342835, 0.0237466, 0.0105354, 0.0017684, 18582, 75348, 157194, 594624, 32
0.0314279, 0.0223847, 0.00904142, 0.00162258, 20611, 80486, 169494, 659552, 32
