Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.00923064, 0.00493553, 0.00429381, 0.0024167, 5811, 16162, 253872, 116220, 20
0.008584, 0.00676029, 0.00182172, 0.000332228, 5812, 16264, 43665, 116240, 20
0.0720906, 0.0473063, 0.0247821, 0.0125639, 20612, 46958, 620289, 659584, 32
0.00774253, 0.00618957, 0.00155033, 1.2586e-05, 5800, 16193, 369, 116000, 20
0.00680763, 0.0056949, 0.00111129, 0, 5841, 16295, 0, 116820, 20
0.00596558, 0.00490793, 0.00105604, 5.2904e-05, 6537, 13255, 1599, 130740, 20
0.00652618, 0.00491512, 0.00160941, 0.000405901, 16090, 15747, 41328, 321800, 20
0.0107019, 0.00685894, 0.00384111, 0.00182297, 24445, 18451, 182901, 488900, 20
0.00793188, 0.00517624, 0.00275427, 0.00106994, 24305, 16502, 153258, 486100, 20
0.0135755, 0.00834599, 0.00522831, 0.00264165, 33353, 25748, 247968, 667060, 20
0.025703, 0.0169227, 0.00877831, 0.00414617, 52878, 37455, 549072, 1.6921e+06, 32
0.0155945, 0.0114509, 0.0041424, 0.00112711, 38153, 32299, 152643, 763060, 20
0.0148741, 0.0114245, 0.00344822, 0.000685649, 36859, 31983, 80073, 737180, 20
0.0136079, 0.0109458, 0.00266008, 0.000367021, 36875, 31847, 33333, 737500, 20
0.010583, 0.00827859, 0.00230326, 0.000102305, 36866, 31812, 6888, 737320, 20
0.013368, 0.0102888, 0.00307771, 0.00031792, 36826, 31995, 25215, 736520, 20
0.0104552, 0.00808648, 0.00236756, 0.000186323, 36853, 31930, 11808, 737060, 20
0.0140032, 0.0101241, 0.00387736, 0.000922365, 44912, 34528, 108117, 898240, 20
0.0185543, 0.0121156, 0.00643737, 0.00228302, 58031, 40255, 340710, 1.85699e+06, 32
0.0143992, 0.0103973, 0.00400063, 0.000946137, 45068, 34574, 107256, 901360, 20
0.0145726, 0.0111358, 0.00343517, 0.000662578, 42485, 32876, 82410, 849700, 20
0.0121553, 0.00913518, 0.00301859, 0.000501333, 40184, 31735, 57318, 803680, 20
0.00958205, 0.0074568, 0.00212402, 0.000220405, 40188, 31636, 25830, 803760, 20
0.00934557, 0.00730123, 0.0020431, 9.8726e-05, 40245, 31657, 5412, 804900, 20
0.010174, 0.00781491, 0.002357, 0.000182176, 40187, 31581, 14145, 803740, 20
0.00991512, 0.00755458, 0.00235897, 0.000136562, 40167, 31609, 7995, 803340, 20
0.0184385, 0.0137684, 0.00466816, 0.00152356, 72689, 43114, 220785, 2.32605e+06, 32
0.0157959, 0.0128459, 0.00294816, 0.000566694, 72380, 42532, 64452, 1.4476e+06, 20
0.0157972, 0.0112478, 0.00454698, 0.000633863, 25672, 33645, 56457, 513440, 20
0.016984, 0.0127866, 0.00419633, 0.000877162, 45924, 40144, 108978, 918480, 20
0.0191845, 0.0144106, 0.00477252, 0.00117879, 68014, 41171, 142557, 1.36028e+06, 20
0.0205677, 0.015041, 0.00552526, 0.000920921, 45546, 40662, 98892, 910920, 20
0.0233027, 0.0177962, 0.00550428, 0.00112523, 43386, 38350, 124845, 867720, 20
0.0219732, 0.0149164, 0.00705522, 0.00234037, 39669, 44500, 222876, 793380, 20
0.0393301, 0.0243209, 0.0150067, 0.00573595, 31885, 71245, 467769, 1.02032e+06, 32
0.0187934, 0.0135154, 0.00527665, 2.1428e-05, 11660, 55404, 738, 233200, 20
0.0191585, 0.0123445, 0.00681182, 0.00114041, 9664, 54509, 96063, 193280, 20
0.0220374, 0.0146236, 0.00741193, 0.000986304, 12306, 63106, 64575, 246120, 20
0.0224689, 0.0134289, 0.00903836, 0.00180117, 8882, 66864, 127182, 177640, 20
