elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.0,3169356,3146288,0,6167608,2096904,10487040,1082308,0.0,0.0
1.088,3170784,3146683,0,6101360,2096904,10528308,1082308,0.0,0.0
2.122,3175352,3151020,0,6048088,2096904,10592000,1082308,0.0,0.0
3.149,3179400,3155055,0,6050784,2096904,10596600,1082308,0.0,0.0
4.183,3183476,3159131,0,6049236,2096904,10602236,1082308,0.0,0.0
5.209,3186968,3162612,0,6043700,2096904,10607056,1082308,0.0,0.0
6.243,3190052,3165696,0,6040948,2096904,10611108,1082308,0.0,0.0
7.273,3190636,3166274,0,6041772,2096904,10611588,1082308,0.0,0.0
8.311,3192308,3167947,0,6047364,2096904,10613032,1082308,0.0,0.0
9.346,3194420,3170059,0,6052652,2096904,10614688,1082308,0.0,0.0
10.381,3196840,3172479,0,6053832,2096904,10617428,1082308,0.0,0.0
11.468,3198236,3173875,0,6053680,2096904,10618356,1082308,0.0,0.0
12.499,3200592,3176224,0,6049416,2096904,10621332,1082308,0.0,0.0
13.535,3200592,3176224,0,6049864,2096904,10620648,1082308,0.0,0.0
14.563,3200592,3176224,0,6050248,2096904,10620852,1082308,0.0,0.0
15.595,3201292,3176924,0,6049980,2096904,10621624,1082308,0.0,0.0
16.632,3201332,3176964,0,6045904,2096904,10622020,1082308,0.0,0.0
17.667,3201720,3177353,0,6042520,2096904,10622776,1082308,0.0,0.0
18.705,3201720,3177351,0,6047336,2096904,10622568,1082308,0.0,0.0
19.737,3203080,3178712,0,6047556,2096904,10623676,1082308,0.0,0.0
20.774,3205804,3181436,0,6039148,2096904,10626412,1082308,0.0,0.0
21.854,3206604,3182235,0,6038272,2096904,10626736,1082308,0.0,0.0
22.889,3206604,3182236,0,6039464,2096904,10626764,1082308,0.0,0.0
23.918,3207352,3182983,0,6038420,2096904,10627752,1082308,0.0,0.0
24.952,3207768,3183398,0,6032864,2096904,10628352,1082308,0.0,0.0
25.986,3208260,3183892,0,6032720,2096904,10628596,1082308,0.0,0.0
27.019,3208260,3183893,0,6037980,2096904,10632440,1082308,0.0,0.0
28.053,3215792,3191422,0,6035140,2096904,10636684,1082308,0.0,0.0
29.086,3216100,3191732,0,6029404,2096904,10637076,1082308,0.0,0.0
30.114,3217524,3193156,0,6026920,2096904,10638240,1082308,0.0,0.0
31.148,3219300,3194932,0,6028708,2096904,10639724,1082308,0.0,0.0
32.221,3219300,3194932,0,6012252,2096904,10640332,1082308,0.0,0.0
33.249,3219956,3195588,0,6018524,2096904,10640676,1082308,0.0,0.0
34.279,3220372,3196004,0,6023544,2096904,10641256,1082308,0.0,0.0
35.314,3220372,3196004,0,6018604,2096904,10641536,1082308,0.0,0.0
36.348,3220372,3196002,0,6011552,2096904,10641488,1082308,0.0,0.0
37.382,3220376,3196006,0,6014092,2096904,10641420,1082308,0.0,0.0
38.417,3220376,3196007,0,6021004,2096904,10641220,1082308,0.0,0.0
39.447,3220376,3196007,0,6020236,2096904,10641716,1082308,0.0,0.0
40.483,3220932,3196563,0,6020072,2096904,10642572,1082308,0.0,0.0
41.521,3220932,3196562,0,6018960,2096904,10642616,1082308,0.0,0.0
42.624,3220896,3197454,0,6044236,2096904,10604560,1082308,0.0,0.0
42.648,3220896,3197454,0,6045448,2096904,10604096,1082308,0.0,0.0
