elapsed_s,algorithm_usage_usec,end_to_end_usage_usec,algorithm_interval_cores,end_to_end_interval_cores,memory_sampled,algorithm_pids,end_to_end_pids,algorithm_rss_kib,algorithm_pss_kib,algorithm_swap_kib,end_to_end_rss_kib,end_to_end_pss_kib,end_to_end_swap_kib
6.9e-05,75,1076,,,True,1,4,3277412,3254292,0,3348916,3304073,0
1.087558,515786,558860,0.4742216032568457,0.5129097939563367,False,1,4,3277412,3254292,0,3348916,3304073,0
2.120171,1398296,1478220,0.8546381119746301,0.8903242961836081,False,1,4,3277412,3254292,0,3348916,3304073,0
3.153862,2194825,2316491,0.770567768943126,0.8109492739620567,False,1,4,3277412,3254292,0,3348916,3304073,0
4.183761,3029238,3198336,0.8101890443329713,0.8562440395820884,False,1,4,3277412,3254292,0,3348916,3304073,0
5.223901,4510654,4738116,1.4242466347177003,1.4803583080010074,False,1,4,3277412,3254292,0,3348916,3304073,0
6.270273,5409125,5683514,0.8586535937114966,0.9035009368000319,False,1,4,3277412,3254292,0,3348916,3304073,0
7.311444,6801109,7119991,1.3369403385991212,1.3796739378971667,False,1,4,3277412,3254292,0,3348916,3304073,0
8.351143,7624805,7991241,0.7922450396701926,0.8379832982224695,False,1,4,3277412,3254292,0,3348916,3304073,0
9.397556,8150711,8565752,0.5025797192348532,0.5490288703253714,False,1,4,3277412,3254292,0,3348916,3304073,0
9.433642,8157984,8574036,0.20154465305100971,0.22956082852668286,True,1,4,3399712,3376457,0,3469532,3424613,0
