elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.0,3168772,3145538,0,6155180,2096964,10510792,1082340,0.0,0.0
1.078,3170732,3146549,0,6127644,2096964,10550540,1082340,0.0,0.0
2.11,3182888,3158545,0,6043824,2096964,10619388,1082340,0.0,0.0
3.132,3184528,3160137,0,6030636,2096964,10623604,1082340,0.0,0.0
4.165,3189584,3165184,0,6020276,2096964,10635192,1082340,0.0,0.0
5.191,3192548,3168146,0,6011300,2096964,10642732,1082340,0.0,0.0
6.222,3195220,3170817,0,6009540,2096964,10649184,1082340,0.0,0.0
7.246,3196876,3172473,0,6002508,2096964,10657120,1082340,0.0,0.0
8.288,3196952,3172550,0,5994344,2096964,10657484,1082340,0.0,0.0
9.315,3196916,3173425,0,6029412,2096964,10618800,1082340,0.0,0.0
9.351,3196916,3173425,0,6028708,2096964,10618704,1082340,0.0,0.0
