Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.00898531, 0.00487597, 0.00410816, 0.00241221, 5809, 16166, 254118, 116180, 20
0.00901643, 0.0072436, 0.00177116, 0.0003266, 5812, 16264, 44034, 116240, 20
0.00874934, 0.00706559, 0.00168231, 0.000126176, 5789, 16138, 11931, 115780, 20
0.00479893, 0.00394952, 0.000848528, 0, 5811, 16163, 0, 116220, 20
0.00560042, 0.00434716, 0.0012515, 3.265e-05, 5782, 16166, 1230, 115640, 20
0.00536247, 0.00438391, 0.000977287, 0, 5801, 16147, 0, 116020, 20
0.0054079, 0.00442511, 0.000981386, 0, 5812, 16264, 0, 116240, 20
0.00957552, 0.00818153, 0.00139187, 0, 5801, 16198, 0, 116020, 20
0.00875061, 0.00752451, 0.00122447, 0, 5782, 16164, 0, 115640, 20
0.00662694, 0.00548369, 0.00114204, 9.124e-06, 5800, 16193, 246, 116000, 20
0.00616121, 0.00490192, 0.0012581, 0.000152072, 5401, 15633, 6519, 108020, 20
0.00486979, 0.00384878, 0.00101979, 7.0857e-05, 5705, 15525, 4797, 114100, 20
0.00518825, 0.00400034, 0.00118662, 0.000193682, 7629, 14894, 20664, 152580, 20
0.00588449, 0.00458513, 0.00129847, 0.000514587, 12229, 12123, 69249, 244580, 20
0.00389601, 0.00244725, 0.00144751, 0.000798318, 17846, 5682, 104304, 356920, 20
0.00352674, 0.0023996, 0.00112598, 0.000469508, 24750, 7046, 64821, 495000, 20
0.00439738, 0.00382761, 0.000568819, 0.000119653, 27489, 6718, 12669, 549780, 20
0.00496362, 0.00439636, 0.000565426, 3.8224e-05, 27445, 6729, 1722, 548900, 20
0.00276536, 0.00245773, 0.000306057, 1.4168e-05, 27475, 6750, 738, 549500, 20
0.00228428, 0.00206756, 0.000216156, 2.121e-06, 27472, 6706, 123, 549440, 20
0.0057599, 0.00521376, 0.000544684, 7.058e-05, 25759, 7081, 4920, 515180, 20
0.00233924, 0.00207793, 0.000260378, 1.6087e-05, 24915, 6623, 1599, 498300, 20
0.0030737, 0.00274684, 0.00032565, 4.4909e-05, 19538, 6210, 5412, 390760, 20
0.0023564, 0.00191338, 0.000441706, 0.000137627, 16475, 5843, 22140, 329500, 20
0.00438499, 0.00296811, 0.00141619, 0.000686554, 29274, 7652, 81426, 585480, 20
0.00775145, 0.00654607, 0.00120407, 0.000441564, 33844, 7736, 37023, 676880, 20
0.00724541, 0.00658297, 0.000660692, 9.8729e-05, 33527, 7790, 6273, 670540, 20
0.00755391, 0.00697942, 0.000572522, 0, 33944, 7779, 0, 678880, 20
0.00867175, 0.00775302, 0.000916168, 0.000114793, 33664, 7743, 4182, 673280, 20
0.00243081, 0.00197374, 0.000455535, 9.8957e-05, 20211, 6685, 15744, 404220, 20
0.00455548, 0.00406678, 0.000487633, 5.9543e-05, 20153, 6732, 3690, 403060, 20
0.00260437, 0.00217127, 0.000432378, 7.1583e-05, 20212, 6886, 7749, 404240, 20
0.0090105, 0.0072495, 0.00175921, 0.00071081, 52345, 13034, 102705, 1.0469e+06, 20
0.00633245, 0.00551562, 0.00081512, 5.5763e-05, 52814, 13212, 4305, 1.05628e+06, 20
0.00445627, 0.00380601, 0.000649065, 2.8498e-05, 52632, 12568, 984, 1.05264e+06, 20
0.00550359, 0.00453518, 0.000967061, 0.000123701, 39807, 13607, 11685, 796140, 20
0.00468392, 0.00364247, 0.0010405, 0.000229797, 48015, 12473, 27429, 960300, 20
0.0042361, 0.00325009, 0.000984981, 0.000164612, 40620, 12034, 17343, 812400, 20
0.0044965, 0.00324186, 0.00125361, 0.000341934, 29637, 12685, 29028, 592740, 20
0.00730907, 0.00563501, 0.00167287, 0.000287934, 36365, 18681, 29397, 727300, 20
0.00501023, 0.00380235, 0.00120656, 0.00027413, 29562, 11705, 29151, 591240, 20
0.00818413, 0.00576969, 0.00241306, 0.000692473, 44634, 17491, 73677, 892680, 20
0.00972537, 0.00825367, 0.00147018, 0.000166951, 47512, 19532, 11193, 950240, 20
0.00928574, 0.00793842, 0.00134582, 6.5266e-05, 47753, 19586, 3075, 955060, 20
0.0151631, 0.013471, 0.00169054, 4.703e-06, 47785, 19533, 123, 955700, 20
0.00669626, 0.00538121, 0.00131319, 4.8723e-05, 36565, 19292, 5043, 731300, 20
0.00980247, 0.00859693, 0.00120414, 4.0504e-05, 36127, 18850, 2583, 722540, 20
0.00841078, 0.0069667, 0.00144195, 0.000495692, 74516, 9843, 43296, 1.49032e+06, 20
0.00727893, 0.00592514, 0.00135243, 0.000140484, 83818, 18115, 12300, 1.67636e+06, 20
0.00757806, 0.0064407, 0.00113535, 5.0619e-05, 83757, 17893, 2214, 1.67514e+06, 20
0.00637062, 0.00538123, 0.000988013, 4.026e-06, 83760, 18110, 123, 1.6752e+06, 20
0.00558565, 0.00438272, 0.00120193, 7.01e-05, 62768, 17349, 5289, 1.25536e+06, 20
0.0105285, 0.00924691, 0.00127961, 4.8693e-05, 62881, 17411, 2337, 1.25762e+06, 20
0.00835008, 0.00717768, 0.00117088, 1.1016e-05, 62872, 17376, 369, 1.25744e+06, 20
0.0053262, 0.00429822, 0.001027, 2.4531e-05, 62877, 17066, 861, 1.25754e+06, 20
0.006968, 0.00581545, 0.00115122, 5.491e-06, 62658, 17340, 246, 1.25316e+06, 20
0.00908573, 0.00804681, 0.00103713, 0, 62870, 17061, 0, 1.2574e+06, 20
0.00994363, 0.0081755, 0.00176615, 0.000207798, 70521, 18958, 20910, 1.41042e+06, 20
0.00613392, 0.00465119, 0.0014816, 0.000195758, 67778, 16560, 19065, 1.35556e+06, 20
0.00777503, 0.00584742, 0.00192658, 0.000256738, 62091, 21996, 24231, 1.24182e+06, 20
0.00653254, 0.00498474, 0.00154549, 0.000219714, 47287, 19655, 22878, 945740, 20
0.00714595, 0.00556524, 0.00157952, 0.000213543, 37031, 20779, 21156, 740620, 20
0.00950189, 0.00821573, 0.00128446, 5.477e-05, 25310, 20522, 3567, 506200, 20
0.0111384, 0.00968344, 0.00145267, 1.4175e-05, 25321, 20575, 369, 506420, 20
0.0111513, 0.00986457, 0.00128489, 2.7313e-05, 25330, 20337, 1107, 506600, 20
0.0114027, 0.00983215, 0.0015686, 2.225e-05, 25413, 20507, 738, 508260, 20
0.00808971, 0.00642967, 0.0016585, 0.00013589, 28914, 23535, 8364, 578280, 20
0.00597426, 0.00486987, 0.00110295, 0.000116076, 29600, 17755, 8733, 592000, 20
0.00654524, 0.0053457, 0.00119842, 8.163e-05, 25474, 22249, 6027, 509480, 20
0.00643198, 0.00496618, 0.00146412, 0.000129566, 26470, 19870, 12915, 529400, 20
0.00856919, 0.00658016, 0.00198823, 0.000173123, 26948, 23587, 15990, 538960, 20
0.0109347, 0.00908143, 0.00185132, 0.000104657, 26837, 24176, 7380, 536740, 20
0.0086964, 0.0070423, 0.0016525, 4.5907e-05, 26808, 24378, 1722, 536160, 20
