elapsed_s,algorithm_usage_usec,end_to_end_usage_usec,algorithm_interval_cores,end_to_end_interval_cores,memory_sampled,algorithm_pids,end_to_end_pids,algorithm_rss_kib,algorithm_pss_kib,algorithm_swap_kib,end_to_end_rss_kib,end_to_end_pss_kib,end_to_end_swap_kib
5e-05,0,108,,,True,1,5,3166704,3143114,0,3401008,3318075,0
1.076811,477130,659286,0.44311609770667854,0.61218616111771,False,1,5,3166704,3143114,0,3401008,3318075,0
2.111256,984779,1501471,0.4907452304908561,0.8141418025859238,False,1,5,3166704,3143114,0,3401008,3318075,0
3.1455,1427106,2174538,0.42768137961600605,0.6507814877545489,False,1,5,3166704,3143114,0,3401008,3318075,0
4.177018,2102864,3072486,0.655110444494636,0.8705115047296064,False,1,5,3166704,3143114,0,3401008,3318075,0
5.209043,3044350,4228265,0.9122703053970306,1.1199134785875462,False,1,5,3166704,3143114,0,3401008,3318075,0
6.245182,4027876,5427492,0.9492224468380577,1.1574001981180604,False,1,5,3166704,3143114,0,3401008,3318075,0
7.282344,5021265,6646451,0.9577951291023842,1.175282787282236,False,1,5,3166704,3143114,0,3401008,3318075,0
8.319374,5113299,7022577,0.08874770196823155,0.3626955054708375,False,1,5,3166704,3143114,0,3401008,3318075,0
8.347024,5114121,7026691,0.029728231881586985,0.14878582233679907,True,1,5,3186628,3162799,0,3485700,3402247,0
