elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.0,3169516,3146197,0,6108104,2096816,10559260,1082272,0.0,0.0
1.092,3171484,3147259,0,6065596,2096816,10599176,1082272,0.0,0.0
2.123,3177060,3152691,0,5999328,2096816,10658764,1082272,0.0,0.0
3.145,3183728,3159302,0,5995796,2096816,10668736,1082272,0.0,0.0
4.171,3185736,3161310,0,5991392,2096816,10671240,1082272,0.0,0.0
5.201,3187120,3162694,0,5984776,2096816,10673608,1082272,0.0,0.0
6.231,3187488,3163062,0,5984616,2096816,10673764,1082272,0.0,0.0
7.261,3187776,3163349,0,5984504,2096816,10673968,1082272,0.0,0.0
8.29,3188444,3164001,0,5976528,2096816,10674844,1082272,0.0,0.0
9.321,3188444,3164002,0,5959816,2096816,10676888,1082272,0.0,0.0
10.351,3189032,3164591,0,5954528,2096816,10677940,1082272,0.0,0.0
11.441,3190356,3165913,0,5954676,2096816,10679060,1082272,0.0,0.0
12.469,3190356,3165909,0,5961636,2096816,10679128,1082272,0.0,0.0
13.502,3191492,3167045,0,5960308,2096816,10680100,1082272,0.0,0.0
14.538,3191824,3167375,0,5960436,2096816,10680672,1082272,0.0,0.0
15.57,3193204,3168755,0,5958172,2096816,10682488,1082272,0.0,0.0
16.598,3193204,3168758,0,5960912,2096816,10682584,1082272,0.0,0.0
17.628,3193204,3168757,0,5961920,2096816,10683020,1082272,0.0,0.0
18.657,3193208,3168762,0,5959972,2096816,10682612,1082272,0.0,0.0
19.692,3193208,3168761,0,5960632,2096816,10682672,1082272,0.0,0.0
20.718,3193208,3168761,0,5966852,2096816,10682420,1082272,0.0,0.0
21.787,3193212,3168765,0,5968680,2096816,10682692,1082272,0.0,0.0
22.815,3193212,3168766,0,5962200,2096816,10682260,1082272,0.0,0.0
23.85,3193212,3168765,0,5962636,2096816,10682236,1082272,0.0,0.0
24.881,3193212,3168766,0,5965872,2096816,10681760,1082272,0.0,0.0
25.919,3193216,3168769,0,5966404,2096816,10681584,1082272,0.0,0.0
26.953,3193616,3169168,0,5967500,2096816,10682460,1082272,0.0,0.0
27.98,3193620,3169172,0,5968944,2096816,10682696,1082272,0.0,0.0
29.008,3194128,3169680,0,5970028,2096816,10683500,1082272,0.0,0.0
30.036,3195828,3171380,0,5962752,2096816,10685220,1082272,0.0,0.0
31.065,3196780,3172333,0,5972956,2096816,10685412,1082272,0.0,0.0
32.124,3197364,3172918,0,5979552,2096816,10686012,1082272,0.0,0.0
33.154,3197364,3172916,0,5972504,2096816,10686220,1082272,0.0,0.0
34.184,3199452,3175004,0,5978292,2096816,10688464,1082272,0.0,0.0
35.214,3199476,3175028,0,5979132,2096816,10688300,1082272,0.0,0.0
36.238,3200484,3176037,0,5979268,2096816,10690072,1082272,0.0,0.0
37.27,3200392,3176860,0,6012444,2096816,10651528,1082272,0.0,0.0
37.298,3200392,3176860,0,6011864,2096816,10651496,1082272,0.0,0.0
