Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.013568, 0.00837409, 0.00519264, 0.00308351, 5427, 17378, 262482, 108540, 20
0.0122301, 0.00991323, 0.00231493, 0.0003926, 5442, 17352, 53628, 108840, 20
0.00991244, 0.00832203, 0.0015887, 1.7678e-05, 5427, 17387, 984, 108540, 20
0.00970593, 0.00792412, 0.00178034, 0.000161433, 5435, 17431, 12915, 108700, 20
0.0246941, 0.0191535, 0.00553835, 3.2602e-05, 5411, 17363, 861, 108220, 20
0.00849491, 0.0070636, 0.00142955, 0, 5427, 17387, 0, 108540, 20
0.0110754, 0.00935542, 0.00171833, 1.3681e-05, 5456, 17431, 369, 109120, 20
0.00778944, 0.00589675, 0.0018915, 0.000379927, 7007, 19127, 39483, 140140, 20
0.00598063, 0.00465196, 0.0013275, 0.000139842, 7486, 18563, 14391, 149720, 20
0.00630647, 0.00477667, 0.00152907, 0.000279457, 8180, 17566, 32841, 163600, 20
0.00641967, 0.0046152, 0.00180369, 0.000478813, 9164, 15973, 57072, 183280, 20
0.0057795, 0.00378115, 0.00199714, 0.000735915, 10810, 12613, 95202, 216200, 20
0.00398494, 0.00264134, 0.00134272, 0.000509811, 13037, 8027, 70233, 260740, 20
0.00357002, 0.00248907, 0.00107981, 0.000406133, 17952, 7596, 50307, 359040, 20
0.00431939, 0.00350063, 0.000816932, 0.000202988, 20744, 7649, 16851, 414880, 20
0.00590433, 0.00522107, 0.00068111, 5.8454e-05, 20733, 7654, 3198, 414660, 20
0.00677236, 0.00595441, 0.000815518, 4.3775e-05, 20756, 7671, 1230, 415120, 20
0.00628881, 0.00587514, 0.000411469, 7.025e-06, 20802, 7665, 246, 416040, 20
0.00447476, 0.00385717, 0.000615763, 6.6105e-05, 20222, 7424, 3198, 404440, 20
0.00835193, 0.00573461, 0.00261486, 0.00168475, 36596, 3987, 82041, 731920, 20
0.00399099, 0.00346441, 0.000524923, 0.000140946, 31907, 3785, 9348, 638140, 20
0.00406832, 0.00373518, 0.000331633, 4.4622e-05, 31943, 3805, 1845, 638860, 20
0.00270336, 0.00245824, 0.000243602, 2.2611e-05, 31975, 3812, 615, 639500, 20
0.00243085, 0.00221686, 0.000212362, 1.9265e-05, 31890, 3795, 861, 637800, 20
0.00133699, 0.00114396, 0.000191986, 2.6257e-05, 28471, 3427, 3198, 569420, 20
0.00313465, 0.00247421, 0.000659163, 0.000266171, 37211, 3947, 20910, 744220, 20
0.00306112, 0.00187726, 0.00118264, 0.000693206, 36975, 5734, 101967, 739500, 20
0.00388509, 0.00321789, 0.000666192, 0.000174361, 35802, 5680, 17589, 716040, 20
0.0043251, 0.00392625, 0.000397201, 2.3494e-05, 35920, 5672, 984, 718400, 20
0.00291058, 0.00251289, 0.000395907, 7.896e-05, 35654, 5656, 7995, 713080, 20
0.00247099, 0.00189711, 0.000572829, 0.000204204, 26923, 5992, 33702, 538460, 20
0.00554275, 0.00498141, 0.000559436, 5.358e-05, 30928, 5752, 2829, 618560, 20
0.00199142, 0.0016924, 0.000297594, 3.463e-05, 24441, 5146, 1599, 488820, 20
0.00181375, 0.00150741, 0.000305167, 1.7118e-05, 17937, 5019, 861, 358740, 20
0.00209695, 0.00168494, 0.000410619, 2.6623e-05, 15963, 5147, 1722, 319260, 20
0.00793245, 0.00455742, 0.00337317, 0.00211919, 40933, 3719, 111192, 818660, 20
0.00364272, 0.0032286, 0.000412217, 6.8994e-05, 40690, 3695, 4674, 813800, 20
0.0021108, 0.0018871, 0.000222474, 3.4839e-05, 40560, 3700, 2583, 811200, 20
0.0024902, 0.00230596, 0.000182691, 4.939e-06, 40971, 3742, 123, 819420, 20
0.00123882, 0.00106917, 0.000168835, 1.9712e-05, 30152, 3200, 2583, 603040, 20
0.00219382, 0.00196326, 0.000228936, 2.0583e-05, 30141, 3236, 861, 602820, 20
0.00263554, 0.00225951, 0.000374065, 0.000116701, 29292, 3474, 7995, 585840, 20
0.00159373, 0.00120326, 0.000389261, 0.000157414, 29511, 3620, 18081, 590220, 20
0.00204411, 0.00145082, 0.000591498, 0.000289114, 31649, 3818, 35670, 632980, 20
0.00494854, 0.00235881, 0.00258864, 0.00180097, 34566, 7472, 142311, 691320, 20
0.00667538, 0.00445183, 0.00222199, 0.00118168, 36044, 7800, 89175, 720880, 20
0.002738, 0.00221092, 0.000525601, 7.7742e-05, 36040, 7836, 3690, 720800, 20
0.0064492, 0.00520348, 0.00124442, 0.000494488, 36016, 7847, 30996, 720320, 20
0.00482115, 0.00395129, 0.000868483, 0.00024622, 36020, 7783, 13899, 720400, 20
0.00549886, 0.00449092, 0.00100588, 0.000368603, 34998, 7509, 31611, 699960, 20
0.00460797, 0.0038473, 0.000759005, 0.000189368, 34973, 7458, 13407, 699460, 20
0.00634929, 0.00576777, 0.000579927, 1.4897e-05, 34991, 7473, 492, 699820, 20
0.00594315, 0.00540702, 0.000534467, 1.4075e-05, 34964, 7434, 369, 699280, 20
0.00432654, 0.00366647, 0.000658163, 0.00012312, 34996, 7480, 7995, 699920, 20
0.00274274, 0.00220842, 0.000532977, 8.6895e-05, 34972, 7482, 6027, 699440, 20
0.00249797, 0.0020795, 0.000417501, 4.7249e-05, 34970, 7455, 2460, 699400, 20
0.00591103, 0.00545486, 0.000454297, 0, 34971, 7464, 0, 699420, 20
0.00286564, 0.00242749, 0.000436932, 2.7339e-05, 34932, 7443, 1353, 698640, 20
0.00395076, 0.00351689, 0.000432503, 7.787e-06, 34999, 7499, 246, 699980, 20
0.00244173, 0.0021147, 0.000325856, 0, 34981, 7457, 0, 699620, 20
0.0024624, 0.00210737, 0.00035423, 7.345e-06, 34951, 7456, 246, 699020, 20
0.00572625, 0.00524964, 0.000474824, 1.2199e-05, 34942, 7420, 369, 698840, 20
0.00374559, 0.00336725, 0.000376564, 0, 34996, 7474, 0, 699920, 20
0.00278573, 0.00220104, 0.000582601, 6.5354e-05, 18913, 3376, 2214, 378260, 20
0.00270694, 0.00230459, 0.000400295, 4.5485e-05, 18864, 3364, 1722, 377280, 20
0.00363219, 0.00342055, 0.00020961, 8.362e-06, 18864, 3364, 246, 377280, 20
0.00339768, 0.00313134, 0.00026391, 9.728e-06, 18848, 3348, 246, 376960, 20
0.0011282, 0.000989623, 0.000137713, 1.8089e-05, 18531, 3241, 2091, 370620, 20
0.00179506, 0.00161867, 0.000175123, 1.1988e-05, 18468, 3237, 492, 369360, 20
0.00270543, 0.00252114, 0.000182529, 4.834e-06, 18484, 3217, 123, 369680, 20
0.00144427, 0.00131802, 0.000125084, 3.786e-06, 18528, 3239, 123, 370560, 20
0.00180799, 0.00163156, 0.000174518, 0, 18556, 3232, 0, 371120, 20
0.00177994, 0.00160387, 0.000174397, 4.948e-06, 18511, 3256, 123, 370220, 20
0.00106381, 0.000964088, 9.8566e-05, 0, 18476, 3230, 0, 369520, 20
0.00331081, 0.00306308, 0.000244828, 0, 18511, 3255, 0, 370220, 20
0.00215164, 0.0019129, 0.000236674, 0, 18472, 3236, 0, 369440, 20
0.00213746, 0.00196561, 0.000170351, 0, 18538, 3224, 0, 370760, 20
0.00101569, 0.000920009, 9.4477e-05, 0, 18482, 3231, 0, 369640, 20
0.0010528, 0.000951588, 9.9447e-05, 0, 18555, 3226, 0, 371100, 20
0.00548825, 0.00250177, 0.00298471, 0.00186739, 1105, 6869, 93234, 22100, 20
0.00440721, 0.00282938, 0.00157595, 0.000697538, 1109, 6979, 51906, 22180, 20
0.00507905, 0.00376587, 0.00131089, 0.000282387, 1113, 6987, 11070, 22260, 20
0.00494928, 0.00339057, 0.00155652, 0.000586674, 1111, 6922, 35793, 22220, 20
0.00265266, 0.00161396, 0.00103804, 0.000379785, 1077, 7220, 41328, 21540, 20
0.00253682, 0.00173684, 0.000798432, 0.000220048, 1077, 7203, 21894, 21540, 20
0.00264261, 0.00212635, 0.000514654, 1.2802e-05, 1078, 7206, 369, 21560, 20
0.00420002, 0.0033424, 0.000855627, 8.8745e-05, 1077, 7197, 3321, 21540, 20
0.00434377, 0.00349408, 0.000847984, 5.7642e-05, 1076, 7222, 1968, 21520, 20
0.0021052, 0.00162966, 0.00047406, 1.4676e-05, 1076, 7183, 492, 21520, 20
0.00219426, 0.00167745, 0.000515958, 2.4906e-05, 1076, 7221, 1230, 21520, 20
0.00059596, 0.000432346, 0.000162166, 2.1937e-05, 5995, 1342, 2337, 119900, 20
0.00533848, 0.00338621, 0.00195111, 0.000866793, 21411, 10999, 120909, 428220, 20
0.00467473, 0.00325885, 0.00141521, 0.000517933, 32348, 10025, 60147, 646960, 20
0.00659396, 0.00466387, 0.00192829, 0.000919078, 32245, 8862, 107133, 644900, 20
0.00201261, 0.00159681, 0.000414728, 3.4963e-05, 24123, 4311, 2091, 482460, 20
0.0111648, 0.00751978, 0.00364265, 0.00204323, 37297, 10546, 134931, 745940, 20
0.00648019, 0.005336, 0.00114216, 0.000348125, 40820, 8919, 37761, 816400, 20
0.00546919, 0.00436079, 0.00110645, 0.00030909, 37671, 8064, 24723, 753420, 20
0.00313512, 0.002604, 0.000530166, 9.106e-05, 35048, 7066, 8979, 700960, 20
0.00303345, 0.00265359, 0.000378278, 2.835e-05, 35027, 7066, 1722, 700540, 20
0.00327738, 0.0027784, 0.000497716, 7.0025e-05, 35032, 7055, 5166, 700640, 20
0.00359031, 0.00317434, 0.000414533, 1.936e-05, 34961, 7049, 738, 699220, 20
0.00492073, 0.00438599, 0.000532822, 5.6485e-05, 34989, 7089, 3567, 699780, 20
0.00602764, 0.00542326, 0.00060296, 2.0348e-05, 34994, 7008, 492, 699880, 20
0.00289666, 0.00253468, 0.000361037, 1.1864e-05, 35015, 7030, 369, 700300, 20
0.00538116, 0.00486909, 0.000510288, 2.63e-05, 34973, 7099, 984, 699460, 20
0.00591362, 0.00545313, 0.00045864, 2.5092e-05, 34959, 7060, 1107, 699180, 20
0.00428439, 0.00389947, 0.000382921, 1.7638e-05, 34667, 7015, 984, 693340, 20
0.00675849, 0.00630681, 0.000450083, 4.6044e-05, 33951, 6867, 2214, 679020, 20
0.00305216, 0.00266412, 0.000386548, 2.8576e-05, 33941, 6918, 1353, 678820, 20
0.00295247, 0.00250138, 0.000448752, 4.991e-06, 33989, 6913, 123, 679780, 20
0.00459906, 0.0041084, 0.000489566, 2.5393e-05, 33966, 6901, 615, 679320, 20
0.00585963, 0.00451766, 0.00134043, 0.000603626, 40436, 7837, 59532, 808720, 20
0.00412258, 0.00318823, 0.000933353, 0.000241559, 28983, 8711, 29397, 579660, 20
0.00445936, 0.00355989, 0.000898286, 0.000193543, 22595, 9423, 21279, 451900, 20
0.00461982, 0.0036401, 0.000978203, 0.000209415, 17568, 9446, 20787, 351360, 20
0.00578413, 0.00443754, 0.0013452, 0.000353031, 12815, 8867, 20172, 256300, 20
0.00648748, 0.00557009, 0.000915917, 0.000194012, 8606, 8179, 21033, 172120, 20
0.00426234, 0.00337373, 0.000887375, 0.000184837, 7083, 7690, 19434, 141660, 20
0.00342902, 0.00269742, 0.000730418, 0.00014523, 5328, 6287, 15990, 106560, 20
0.00312971, 0.0024906, 0.000637866, 0.000127264, 5085, 5621, 12915, 101700, 20
0.00376237, 0.00322249, 0.000537879, 9.5256e-05, 5214, 5634, 9348, 104280, 20
0.00343574, 0.00308235, 0.000351844, 2.4782e-05, 5223, 5637, 2091, 104460, 20
0.00474024, 0.0041917, 0.000546683, 5.2764e-05, 4843, 6113, 4305, 96860, 20
0.00444809, 0.00395293, 0.000493241, 2.3881e-05, 4838, 6131, 984, 96760, 20
0.00226499, 0.00204288, 0.000221414, 2.898e-06, 4839, 6129, 123, 96780, 20
0.00237752, 0.00210976, 0.00026662, 7.542e-06, 4835, 6125, 369, 96700, 20
0.00321105, 0.00282665, 0.000383244, 2.4939e-05, 4841, 6094, 1107, 96820, 20
0.00335612, 0.00296498, 0.000389882, 5.804e-06, 4835, 6091, 123, 96700, 20
0.00606047, 0.00562595, 0.000432618, 0, 4841, 6113, 0, 96820, 20
0.007181, 0.00681939, 0.000360089, 4.846e-06, 4839, 6129, 123, 96780, 20
0.00382439, 0.00342709, 0.000395944, 5.266e-06, 4845, 6120, 123, 96900, 20
0.00566759, 0.00524732, 0.000418755, 0, 4834, 6123, 0, 96680, 20
0.00459222, 0.00412323, 0.000467623, 1.5068e-05, 4839, 6090, 369, 96780, 20
0.00415017, 0.00381945, 0.000329246, 0, 4839, 6129, 0, 96780, 20
0.00379621, 0.00342654, 0.000368301, 0, 4845, 6120, 0, 96900, 20
0.00442982, 0.00394782, 0.000480432, 0, 4843, 6115, 0, 96860, 20
0.0055168, 0.00511242, 0.000402674, 1.0591e-05, 4844, 6119, 246, 96880, 20
0.00525638, 0.00470633, 0.000548332, 1.7356e-05, 4709, 6012, 492, 94180, 20
0.00545039, 0.00492724, 0.000521043, 2.3704e-05, 4703, 6050, 738, 94060, 20
0.00484624, 0.00434568, 0.000499054, 5.735e-06, 4703, 6020, 123, 94060, 20
0.00308326, 0.00280202, 0.000279762, 6.228e-06, 4708, 6045, 123, 94160, 20
0.00282356, 0.00252891, 0.000293143, 4.565e-06, 4698, 6053, 123, 93960, 20
0.00308569, 0.00283098, 0.000252662, 0, 4711, 6018, 0, 94220, 20
0.00424498, 0.00383299, 0.000410336, 6.282e-06, 4695, 6049, 123, 93900, 20
0.00508687, 0.00478466, 0.000300535, 0, 4704, 6049, 0, 94080, 20
0.00508122, 0.00476712, 0.000312543, 0, 4701, 6035, 0, 94020, 20
0.00286968, 0.00261955, 0.000249009, 0, 4702, 6059, 0, 94040, 20
0.00212921, 0.00190692, 0.000221408, 0, 4703, 6023, 0, 94060, 20
0.00481599, 0.00445843, 0.000355968, 0, 4704, 6034, 0, 94080, 20
