Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.0151548, 0.00842587, 0.00672738, 0.00409722, 5426, 17356, 262482, 108520, 20
0.0122972, 0.0098764, 0.00241874, 0.000283122, 5442, 17352, 26445, 108840, 20
0.01141, 0.00940753, 0.00200128, 0.000248016, 5435, 17431, 22878, 108700, 20
0.0061057, 0.00463622, 0.00146799, 0, 5438, 17352, 0, 108760, 20
0.00649225, 0.00469433, 0.00179677, 0.000194403, 5432, 17333, 18573, 108640, 20
0.00562327, 0.00450508, 0.00111631, 0, 5426, 17368, 0, 108520, 20
0.0263744, 0.0153049, 0.0110682, 0.00509286, 18903, 49305, 596919, 604896, 32
0.00264529, 0.002134, 0.000510148, 3.9363e-05, 3853, 8932, 2460, 77060, 20
0.00805168, 0.0059545, 0.00209582, 0.000625913, 16947, 18855, 94956, 338940, 20
0.00674441, 0.00514446, 0.00159842, 0.000332479, 10258, 16104, 28659, 205160, 20
0.00846315, 0.00555446, 0.00290734, 0.00127911, 14986, 18296, 120417, 299720, 20
0.012524, 0.00703523, 0.00548624, 0.00263526, 25596, 24719, 228534, 511920, 20
0.0127445, 0.00837595, 0.00436719, 0.00177628, 44302, 25959, 181548, 886040, 20
0.0205713, 0.0132348, 0.00733491, 0.00328839, 55517, 37765, 414756, 1.11034e+06, 20
0.0143194, 0.00948895, 0.0048286, 0.00171176, 43747, 31451, 220293, 874940, 20
0.0209031, 0.0157248, 0.00517691, 0.00137599, 48515, 38040, 165066, 1.55248e+06, 32
0.0164549, 0.0128272, 0.00362581, 0.000836336, 45289, 37083, 111930, 905780, 20
0.0225555, 0.0188465, 0.00370615, 0.000604195, 45372, 37143, 64575, 907440, 20
0.0131942, 0.0102298, 0.00296309, 0.00058225, 26185, 31827, 61500, 523700, 20
0.0113149, 0.00833862, 0.00297472, 0.000591079, 37647, 27188, 60762, 752940, 20
0.0171093, 0.0133638, 0.00374439, 0.000743273, 50002, 38573, 82410, 1.00004e+06, 20
0.0209534, 0.0160907, 0.00486129, 0.00139792, 60820, 42287, 167649, 1.2164e+06, 20
0.0181563, 0.0132855, 0.00487, 0.00119708, 49562, 40175, 132225, 991240, 20
0.0187365, 0.0134629, 0.005272, 0.00125583, 53988, 41466, 139113, 1.07976e+06, 20
0.0184908, 0.0132183, 0.00527093, 0.00124295, 51814, 41214, 134193, 1.03628e+06, 20
0.0199403, 0.0146907, 0.00524815, 0.00104924, 47925, 40429, 114882, 1.5336e+06, 32
0.00886962, 0.00669704, 0.00217099, 0.000396043, 29425, 17910, 39483, 588500, 20
0.0155828, 0.011874, 0.00370754, 0.000498988, 39058, 36911, 47847, 781160, 20
0.0224746, 0.0169415, 0.00553147, 0.00155095, 61051, 42712, 156210, 1.22102e+06, 20
0.0220047, 0.0154864, 0.006517, 0.0021183, 50269, 44635, 202704, 1.00538e+06, 20
0.0268821, 0.0177676, 0.00911257, 0.00281876, 49185, 55013, 247107, 983700, 20
0.0161773, 0.0109053, 0.0052708, 0.00180935, 21835, 27368, 196308, 436700, 20
0.0168606, 0.0112265, 0.00563295, 0.00181423, 13224, 28170, 180441, 264480, 20
0.0273474, 0.0159647, 0.0113808, 0.00331048, 7946, 77800, 175029, 158920, 20
0.0381883, 0.0249371, 0.0132493, 0.0032977, 33226, 91123, 331116, 1.06323e+06, 32
0.0169234, 0.0119271, 0.00499426, 0.000262439, 9356, 64454, 20418, 187120, 20
