elapsed_s,algorithm_usage_usec,end_to_end_usage_usec,algorithm_interval_cores,end_to_end_interval_cores,memory_sampled,algorithm_pids,end_to_end_pids,algorithm_rss_kib,algorithm_pss_kib,algorithm_swap_kib,end_to_end_rss_kib,end_to_end_pss_kib,end_to_end_swap_kib
5.1e-05,0,251,,,True,1,5,3168924,3145845,0,3401956,3320024,0
1.074101,80044,267623,0.07452539668772687,0.24893813856367633,False,1,5,3168924,3145845,0,3401956,3320024,0
2.096044,868543,1361430,0.7715685364345364,1.070321035450712,False,1,5,3168924,3145845,0,3401956,3320024,0
3.128017,1485077,2213389,0.5974322172796855,0.8255631553189015,False,1,5,3168924,3145845,0,3401956,3320024,0
4.153625,1976813,2971584,0.47945792165084644,0.7392637490565334,False,1,5,3168924,3145845,0,3401956,3320024,0
5.182354,2894136,4084682,0.8917058374944145,1.0820136247574275,False,1,5,3168924,3145845,0,3401956,3320024,0
6.211571,3792363,5174262,0.8727284772443095,1.0586494218453182,False,1,5,3168924,3145845,0,3401956,3320024,0
7.239167,4553845,6156559,0.7410324802696117,0.9559175164631583,False,1,5,3168924,3145845,0,3401956,3320024,0
8.272352,5039591,6884147,0.47014390726458055,0.704217976470875,False,1,5,3168924,3145845,0,3401956,3320024,0
8.292377,5042549,6893555,0.14771652130470395,0.46981644098534636,True,1,5,3196364,3173031,0,3495932,3413434,0
