elapsed_s,algorithm_usage_usec,end_to_end_usage_usec,algorithm_interval_cores,end_to_end_interval_cores,memory_sampled,algorithm_pids,end_to_end_pids,algorithm_rss_kib,algorithm_pss_kib,algorithm_swap_kib,end_to_end_rss_kib,end_to_end_pss_kib,end_to_end_swap_kib
5.2e-05,161,1574,,,True,1,5,3168680,3145564,0,3411632,3329703,0
1.075748,70489,282126,0.065379100541292,0.2608098824801012,False,1,5,3168680,3145564,0,3411632,3329703,0
2.101422,794419,1345310,0.7058086935543301,1.0365705386541058,False,1,5,3168680,3145564,0,3411632,3329703,0
3.134318,1904614,2698469,1.0748376500990309,1.3100637633662144,False,1,5,3168680,3145564,0,3411632,3329703,0
4.164307,2151170,3278723,0.23937726702589968,0.5633593045833255,False,1,5,3168680,3145564,0,3411632,3329703,0
5.192433,2796100,4197522,0.6272870877037905,0.8936640393455957,False,1,5,3168680,3145564,0,3411632,3329703,0
6.216774,3615171,5312938,0.7996074730879433,1.08891044757031,False,1,5,3168680,3145564,0,3411632,3329703,0
7.251668,4675661,6628864,1.0247332855867353,1.271556708284859,False,1,5,3168680,3145564,0,3411632,3329703,0
8.287391,5567799,7794887,0.861367560513155,1.125806082704952,False,1,5,3168680,3145564,0,3411632,3329703,0
9.325068,5792591,8358236,0.21662990383846217,0.542894051823436,False,1,5,3168680,3145564,0,3411632,3329703,0
9.348793,5793241,8361861,0.027396918437292996,0.15279050666951863,True,1,5,3193504,3170121,0,3517284,3434736,0
