elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.0,3168352,3145236,0,6150960,2096872,10526108,1082296,0.0,0.0
1.089,3169480,3145400,0,6096460,2096872,10565680,1082296,0.0,0.0
2.12,3179736,3155435,0,6014556,2096872,10630692,1082296,0.0,0.0
3.146,3185140,3160829,0,6002972,2096872,10648456,1082296,0.0,0.0
4.179,3188968,3164640,0,5996424,2096872,10660016,1082296,0.0,0.0
5.208,3190808,3166480,0,5995664,2096872,10663576,1082296,0.0,0.0
6.236,3191792,3167464,0,5993496,2096872,10666856,1082296,0.0,0.0
7.261,3191796,3167472,0,5994560,2096872,10666168,1082296,0.0,0.0
8.296,3193540,3169212,0,5996320,2096872,10669168,1082296,0.0,0.0
9.333,3193504,3170121,0,6026912,2096872,10632508,1082296,0.0,0.0
9.369,3193504,3170121,0,6026408,2096872,10631556,1082296,0.0,0.0
