elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.0,3279832,3256559,0,6167012,2096868,10509200,1082292,0.0,0.0
1.101,3288172,3265310,0,6092244,2096868,10556296,1082292,0.0,0.0
2.133,3295028,3270019,0,6101836,2096868,10558440,1082292,0.0,0.0
3.161,3300132,3275121,0,6100996,2096868,10563564,1082292,0.0,0.0
4.196,3304040,3279027,0,6086984,2096868,10567920,1082292,0.0,0.0
5.236,3398828,3373820,0,5962604,2096868,10662176,1082292,0.0,0.0
6.276,3398884,3373872,0,5965392,2096868,10663492,1082292,0.0,0.0
7.315,3398908,3373896,0,5963036,2096868,10664024,1082292,0.0,0.0
8.355,3398864,3375545,0,6002396,2096868,10627536,1082292,0.0,0.0
8.386,3398864,3375558,0,6002396,2096868,10626544,1082292,0.0,0.0
