Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.0717678, 0.0575085, 0.0142575, 0.00801899, 18877, 49410, 859893, 604064, 32
0.0205495, 0.0145342, 0.00601434, 0.000877736, 18857, 49296, 96309, 603424, 32
0.0209295, 0.0139632, 0.0069653, 0.000756857, 18863, 49286, 71832, 603616, 32
0.0181522, 0.0138587, 0.00429215, 1.4231e-05, 18860, 49305, 492, 603520, 32
0.0176382, 0.0135749, 0.0040622, 2.5357e-05, 18998, 49551, 1230, 607936, 32
0.0186118, 0.0141081, 0.00450245, 0.000142674, 18855, 49368, 6027, 603360, 32
0.0359282, 0.031773, 0.0041536, 0, 18853, 49383, 0, 603296, 32
0.0192126, 0.0155243, 0.00368679, 7.7262e-05, 18796, 49204, 3321, 601472, 32
0.0221082, 0.0190265, 0.00308008, 0, 18879, 49298, 0, 604128, 32
0.0199052, 0.0163057, 0.00359813, 0, 18905, 49335, 0, 604960, 32
0.0222097, 0.019116, 0.00309242, 0, 18849, 49368, 0, 603168, 32
0.017534, 0.0142125, 0.00332027, 0, 18905, 49335, 0, 604960, 32
0.01754, 0.0142685, 0.0032703, 0, 18860, 49305, 0, 603520, 32
0.0209331, 0.0156686, 0.00526306, 0.00142032, 36832, 53518, 196677, 1.17862e+06, 32
0.0189454, 0.0146295, 0.00431474, 0.00067361, 35259, 52274, 83886, 1.12829e+06, 32
0.0188366, 0.0148794, 0.00395615, 0.000273333, 24964, 50638, 17343, 798848, 32
0.0191217, 0.0147928, 0.00432783, 0.000283874, 22575, 49603, 21525, 722400, 32
0.0191332, 0.014517, 0.00461475, 0.00072168, 25037, 49622, 73800, 801184, 32
0.021415, 0.0144596, 0.00695418, 0.00236138, 43778, 55406, 271830, 1.4009e+06, 32
0.023348, 0.0173782, 0.00596851, 0.00215429, 49832, 51294, 230871, 1.59462e+06, 32
0.0218706, 0.014729, 0.00714016, 0.002337, 52380, 49859, 245262, 1.67616e+06, 32
0.0201456, 0.0134906, 0.00665299, 0.0018808, 41017, 44386, 208977, 1.31254e+06, 32
0.0159201, 0.0113721, 0.0045468, 0.00119235, 47970, 38238, 143418, 1.53504e+06, 32
0.0198755, 0.0140921, 0.0057815, 0.00204863, 49489, 35121, 334929, 1.58365e+06, 32
0.016496, 0.0122017, 0.00428466, 0.00110487, 43769, 36670, 135915, 1.40061e+06, 32
0.0197581, 0.0160071, 0.00374979, 0.000814125, 47490, 38517, 98769, 1.51968e+06, 32
0.021279, 0.0176121, 0.00366534, 0.000691713, 52742, 39429, 75768, 1.68774e+06, 32
0.0163917, 0.0128765, 0.00351339, 0.000556587, 53682, 39478, 53997, 1.71782e+06, 32
0.0182164, 0.0147715, 0.00344348, 0.000485241, 49100, 38791, 48708, 1.5712e+06, 32
0.0188731, 0.0155949, 0.00327624, 0.000446124, 47057, 37374, 45633, 1.50582e+06, 32
0.0169427, 0.0142189, 0.0027228, 0.000164904, 47109, 37477, 9717, 1.50749e+06, 32
0.0173089, 0.0144544, 0.00285299, 0.000326838, 47080, 37517, 28905, 1.50656e+06, 32
0.0130429, 0.0106075, 0.0024345, 0.000119863, 47059, 37525, 7257, 1.50589e+06, 32
0.0155305, 0.0121452, 0.00338393, 0.000498096, 52145, 39957, 54981, 1.66864e+06, 32
0.0162817, 0.0126731, 0.00360788, 0.000513719, 53156, 40444, 55350, 1.70099e+06, 32
0.0186092, 0.0143908, 0.00421644, 0.000531238, 52257, 40958, 51414, 1.67222e+06, 32
0.0171839, 0.0135893, 0.00359341, 0.000587835, 49913, 41028, 62115, 1.59722e+06, 32
0.0174686, 0.0133714, 0.00409575, 0.000802058, 48297, 40839, 95325, 1.5455e+06, 32
0.0218028, 0.0163958, 0.00540548, 0.00148317, 47811, 42376, 183147, 1.52995e+06, 32
0.0197438, 0.0153327, 0.00440887, 0.000660774, 47796, 42361, 68511, 1.52947e+06, 32
0.0160049, 0.0128044, 0.0031996, 0.000193346, 47777, 42355, 12177, 1.52886e+06, 32
0.0160635, 0.0126619, 0.00340015, 0.000449954, 45399, 40822, 41205, 1.45277e+06, 32
0.0269241, 0.0223214, 0.00460071, 0.000616699, 49717, 43166, 60762, 1.59094e+06, 32
0.0201367, 0.0158853, 0.00424966, 0.000548956, 52434, 43266, 59778, 1.67789e+06, 32
0.020121, 0.016112, 0.00400734, 0.000427931, 52211, 43154, 41943, 1.67075e+06, 32
0.0192852, 0.0154752, 0.00380811, 0.000459714, 48471, 41767, 45756, 1.55107e+06, 32
0.0188643, 0.0143647, 0.00449826, 0.00107945, 50178, 39052, 136530, 1.6057e+06, 32
0.0204276, 0.0145453, 0.00588088, 0.00148866, 57997, 43628, 124476, 1.8559e+06, 32
0.0226728, 0.0160253, 0.00664634, 0.00193582, 58091, 51710, 173799, 1.85891e+06, 32
0.0294132, 0.0205448, 0.0088666, 0.00233157, 48061, 62194, 233946, 1.53795e+06, 32
0.0461649, 0.032263, 0.0139002, 0.00339977, 37223, 70601, 240465, 1.19114e+06, 32
0.0379902, 0.0270214, 0.0109674, 0.00224014, 33584, 79758, 188805, 1.07469e+06, 32
0.0457289, 0.0340186, 0.0117085, 0.00193432, 34572, 85750, 173430, 1.1063e+06, 32
0.0400492, 0.0280608, 0.0119867, 0.00190722, 25081, 95387, 178104, 802592, 32
0.0370128, 0.0269131, 0.0100981, 0.00101149, 25050, 95279, 96309, 801600, 32
0.0373325, 0.0286978, 0.00863252, 0.00053209, 25042, 95238, 48216, 801344, 32
0.0330193, 0.0256296, 0.00738773, 2.0747e-05, 25051, 95269, 738, 801632, 32
0.0312405, 0.022385, 0.0088543, 0.000876044, 20516, 86498, 77736, 656512, 32
0.0520934, 0.042506, 0.00958618, 0.000692887, 25295, 95509, 61500, 809440, 32
0.0405915, 0.0307916, 0.00979879, 0.000726962, 25175, 97980, 51168, 805600, 32
0.0400222, 0.0288954, 0.0111254, 0.00127731, 22745, 96801, 72078, 727840, 32
0.0379708, 0.0274694, 0.0105003, 0.00126224, 20080, 93431, 93726, 642560, 32
0.0359576, 0.0261008, 0.00985533, 0.000916223, 18175, 89122, 62730, 581600, 32
0.0352255, 0.0248215, 0.0104028, 0.00119675, 19105, 91039, 100614, 611360, 32
0.0361557, 0.0260088, 0.0101455, 0.00107691, 21657, 91483, 102951, 693024, 32
0.0394649, 0.0297432, 0.00971981, 0.000994735, 20254, 92718, 88683, 648128, 32
0.0358257, 0.0271992, 0.00862501, 0.00116909, 20795, 84351, 126567, 665440, 32
0.0321514, 0.0252351, 0.00691463, 0.00076958, 17951, 72277, 75030, 574432, 32
