elapsed_s,algorithm_usage_usec,end_to_end_usage_usec,algorithm_interval_cores,end_to_end_interval_cores,memory_sampled,algorithm_pids,end_to_end_pids,algorithm_rss_kib,algorithm_pss_kib,algorithm_swap_kib,end_to_end_rss_kib,end_to_end_pss_kib,end_to_end_swap_kib
6.3e-05,1118,2466,,,True,1,4,3275036,3251819,0,3345152,3300350,0
1.073095,454933,493783,0.42292785394763777,0.45787742674435955,False,1,4,3275036,3251819,0,3345152,3300350,0
2.108045,1723982,1811314,1.2261932550986505,1.2730380194802406,False,1,4,3275036,3251819,0,3345152,3300350,0
3.139731,2929161,3059788,1.1681644965813527,1.2101297829657733,False,1,4,3275036,3251819,0,3345152,3300350,0
4.18044,3695417,3868205,0.7362823964071291,0.7767941863505957,False,1,4,3275036,3251819,0,3345152,3300350,0
5.214511,4875387,5106921,1.1410927310804932,1.1979031869226373,False,1,4,3275036,3251819,0,3345152,3300350,0
6.251313,6066953,6347555,1.1492704112935466,1.1965967033674658,False,1,4,3275036,3251819,0,3345152,3300350,0
7.285489,7263174,7590740,1.1566892948769014,1.2021012681198044,False,1,4,3275036,3251819,0,3345152,3300350,0
8.314548,7848650,8216227,0.5689432665367217,0.6078244316697088,False,1,4,3275036,3251819,0,3345152,3300350,0
8.337788,7853809,8222407,0.2219856688107821,0.26591809134534466,True,1,4,3396636,3373386,0,3466468,3421601,0
