elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.0,3162424,3139380,0,7477328,2021008,12017304,1067256,0.0,0.0
1.121,3169120,3145048,0,7233976,2021008,12081944,1067256,0.0,0.0
2.151,3172084,3147948,0,7042864,2021008,12045956,1067256,0.0,0.0
3.181,3181436,3157168,0,6823544,2021008,11999448,1067256,0.0,0.0
4.211,3190712,3166428,0,6626044,2021008,12082148,1067256,0.0,0.0
5.254,3191204,3166919,0,6292860,2023372,11913360,1067256,0.0,0.0
6.295,3191516,3167327,0,6402440,2024924,11936356,1067256,0.0,0.0
7.372,3191624,3167339,0,6401316,2024924,11928148,1067256,0.0,0.0
8.427,3191588,3168167,0,6432524,2024924,11891008,1067256,0.0,0.0
8.47,3191588,3168167,0,6432524,2024924,11891644,1067256,0.0,0.0
