Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.00892536, 0.00473968, 0.00418421, 0.00243972, 5800, 16265, 286713, 116000, 20
0.013824, 0.0101336, 0.00368816, 0.000876038, 5761, 16242, 58548, 115220, 20
0.00487558, 0.00391557, 0.000959225, 0, 5800, 16279, 0, 116000, 20
0.0065321, 0.00481, 0.00172012, 0.000246026, 5790, 16251, 26691, 115800, 20
0.00698766, 0.00581527, 0.00117102, 0, 5752, 16226, 0, 115040, 20
0.0297049, 0.0187884, 0.0109148, 0.00575367, 21627, 45724, 671334, 692064, 32
0.00587204, 0.00453841, 0.00133206, 0.000199561, 6232, 15414, 21894, 124640, 20
0.00416046, 0.00332242, 0.000837046, 0.000124129, 6415, 12620, 9840, 128300, 20
0.010634, 0.0073279, 0.00330487, 0.00134057, 14560, 20499, 160392, 291200, 20
0.0104276, 0.00650304, 0.00392342, 0.00169147, 15589, 22224, 147600, 311780, 20
0.0144841, 0.00843312, 0.00604951, 0.00290071, 46293, 29090, 317463, 925860, 20
0.0216086, 0.0135433, 0.00806382, 0.00305461, 55873, 38468, 391632, 1.11746e+06, 20
0.0189331, 0.0119633, 0.00696824, 0.00247498, 45918, 40258, 314511, 918360, 20
0.0131874, 0.00925179, 0.00393403, 0.000980117, 25652, 35078, 107256, 513040, 20
0.0171813, 0.0132449, 0.00393548, 0.000660454, 43396, 39846, 78351, 1.38867e+06, 32
0.0112856, 0.00842781, 0.00285623, 0.000396916, 25268, 34677, 40098, 505360, 20
0.0170612, 0.013565, 0.00349489, 0.000607783, 30719, 36746, 62853, 614380, 20
0.019379, 0.01448, 0.00489817, 0.000890997, 45707, 41903, 89298, 914140, 20
0.0173323, 0.0129568, 0.00437407, 0.00121798, 59049, 42655, 157194, 1.18098e+06, 20
0.0180463, 0.0125583, 0.00548691, 0.00133677, 60208, 41622, 179580, 1.20416e+06, 20
0.0184206, 0.0128909, 0.00552827, 0.0012266, 43392, 44010, 151782, 867840, 20
0.0241434, 0.0182229, 0.00591854, 0.00154744, 43289, 43925, 199875, 865780, 20
0.0153527, 0.0104089, 0.00494282, 0.00137355, 46779, 40242, 196554, 935580, 20
0.0219489, 0.0170755, 0.00487101, 0.000834484, 58311, 46713, 118695, 1.86595e+06, 32
0.00890821, 0.00685835, 0.00204863, 0.000364535, 39084, 21266, 47232, 781680, 20
0.0163983, 0.0122504, 0.00414686, 0.000641508, 45582, 41892, 81549, 911640, 20
0.0209609, 0.0142748, 0.0066849, 0.00190667, 45538, 47474, 204795, 910760, 20
0.0227593, 0.0141942, 0.00856406, 0.00309411, 27637, 53071, 332715, 552740, 20
0.007423, 0.00469367, 0.00272799, 0.000960044, 16017, 16124, 119925, 320340, 20
0.0100984, 0.0067691, 0.0033279, 0.000758606, 10411, 19910, 86592, 208220, 20
0.0076697, 0.00552223, 0.0021464, 0.000482568, 11750, 13198, 49938, 235000, 20
0.00571097, 0.00385219, 0.00185732, 0.000403509, 4573, 10975, 43419, 91460, 20
0.0388748, 0.0262824, 0.0125906, 0.00508072, 22913, 65914, 482037, 733216, 32
0.0314736, 0.0240741, 0.00739776, 0.00159183, 23687, 65748, 152028, 757984, 32
0.0190744, 0.015033, 0.00403996, 0.000273448, 9638, 56234, 17712, 192760, 20
0.00313965, 0.00251002, 0.000628305, 5.192e-05, 2999, 7352, 3567, 59980, 20
