Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.00945294, 0.00524865, 0.00420256, 0.00244027, 5762, 16219, 287205, 115240, 20
0.0064322, 0.00449074, 0.00194041, 0.000407583, 5800, 16265, 58425, 116000, 20
0.0116048, 0.0099706, 0.00163233, 1.4751e-05, 5762, 16223, 738, 115240, 20
0.012309, 0.0102274, 0.00207973, 0.000277625, 5761, 16242, 21771, 115220, 20
0.0116245, 0.0100356, 0.00158718, 0.000154452, 5726, 16146, 12423, 114520, 20
0.00491852, 0.00406302, 0.000854227, 0, 5800, 16279, 0, 116000, 20
0.00533723, 0.00433673, 0.000999035, 0, 5773, 16229, 0, 115460, 20
0.00533171, 0.00436639, 0.000963693, 0, 5790, 16251, 0, 115800, 20
0.00555197, 0.00452745, 0.00102306, 0, 5761, 16245, 0, 115220, 20
0.00639304, 0.00531929, 0.00106904, 0, 5752, 16226, 0, 115040, 20
0.024516, 0.0197128, 0.00480171, 0, 5773, 16229, 0, 115460, 20
0.00707989, 0.00598893, 0.00108952, 0, 5784, 16235, 0, 115680, 20
0.0106959, 0.00916177, 0.00153236, 6.03e-06, 5773, 16249, 123, 115460, 20
0.00591642, 0.00350607, 0.00240834, 0.0017005, 21427, 3366, 87207, 428540, 20
0.00355951, 0.00318571, 0.00037103, 2.8852e-05, 21451, 3366, 984, 429020, 20
0.00417265, 0.00366164, 0.000508191, 4.0183e-05, 21455, 3356, 1230, 429100, 20
0.00183567, 0.00157384, 0.000259687, 3.414e-05, 21531, 3136, 1845, 430620, 20
0.00249013, 0.00177145, 0.000717197, 0.000366292, 21820, 3356, 27060, 436400, 20
0.00186189, 0.00156354, 0.000296794, 6.7386e-05, 19562, 2954, 4674, 391240, 20
0.00239118, 0.00166904, 0.000719947, 0.000312071, 30649, 4952, 44034, 612980, 20
0.00308612, 0.00238687, 0.000697926, 0.000256608, 34981, 4780, 20541, 699620, 20
0.00176148, 0.00155207, 0.000208547, 3.5556e-05, 34767, 4662, 3198, 695340, 20
0.00386467, 0.00358616, 0.000277126, 4.666e-06, 34770, 4671, 123, 695400, 20
0.00400088, 0.00365913, 0.000339608, 4.0238e-05, 34824, 4835, 1599, 696480, 20
0.00167604, 0.00136657, 0.000308287, 8.5706e-05, 28084, 4507, 11562, 561680, 20
0.00376264, 0.00338008, 0.000380298, 6.8963e-05, 27945, 4641, 3690, 558900, 20
0.00186311, 0.0015319, 0.000329868, 6.9773e-05, 28628, 4872, 5412, 572560, 20
0.0023895, 0.00187469, 0.000513924, 0.000163659, 30727, 5552, 18081, 614540, 20
0.00336281, 0.00230108, 0.00106011, 0.000719913, 113759, 1919, 96678, 2.27518e+06, 20
0.00333762, 0.00258485, 0.000751628, 0.00036116, 113748, 1976, 28905, 2.27496e+06, 20
0.00269659, 0.00246424, 0.000230566, 3.8718e-05, 113722, 1951, 1968, 2.27444e+06, 20
0.00264197, 0.00178383, 0.000857485, 0.000409176, 110664, 3693, 65436, 2.21328e+06, 20
0.00239984, 0.00197433, 0.000424416, 0.000119112, 110440, 3698, 14268, 2.2088e+06, 20
0.000789226, 0.000786169, 1.448e-06, 0, 97989, 0, 0, 1.95978e+06, 20
0.00412294, 0.00208585, 0.00203604, 0.00117799, 56145, 5564, 171093, 1.1229e+06, 20
0.00447802, 0.00295484, 0.00152194, 0.000575438, 43282, 8382, 85485, 865640, 20
0.00410836, 0.00248706, 0.00162043, 0.000843616, 16157, 7271, 109470, 323140, 20
0.00636388, 0.00351122, 0.00285182, 0.00170495, 13761, 9940, 174537, 275220, 20
0.00486557, 0.00315628, 0.0017082, 0.000712284, 17294, 9285, 103443, 345880, 20
0.00613034, 0.00377387, 0.00235509, 0.00102043, 18117, 13515, 94341, 362340, 20
0.00672594, 0.00400937, 0.00271573, 0.00117322, 16932, 16678, 127059, 338640, 20
0.00758665, 0.004494, 0.00309159, 0.00131578, 13740, 18142, 165558, 274800, 20
0.00699605, 0.00430062, 0.00269448, 0.000968628, 11143, 16261, 131856, 222860, 20
0.00684633, 0.00397853, 0.00286676, 0.0010775, 4402, 14425, 155718, 88040, 20
0.00875999, 0.00671309, 0.00204543, 0.000364362, 4416, 14322, 23247, 88320, 20
0.0126142, 0.00983756, 0.00277465, 0.00100223, 6502, 15126, 99015, 130040, 20
0.0064949, 0.00467395, 0.00181986, 0.000461895, 7896, 16771, 57072, 157920, 20
0.0072498, 0.00515606, 0.00209256, 0.000476797, 10501, 18229, 64575, 210020, 20
0.00331782, 0.0022016, 0.00111542, 0.000290304, 14113, 8338, 43911, 282260, 20
0.00504311, 0.00332267, 0.00171933, 0.000397335, 21248, 12329, 42681, 424960, 20
0.00732283, 0.00477894, 0.00254272, 0.000829947, 20677, 18263, 84624, 413540, 20
0.00696349, 0.00465383, 0.00230862, 0.000620982, 15478, 17612, 79950, 309560, 20
0.00590934, 0.00397212, 0.00193599, 0.000417441, 10996, 15028, 53751, 219920, 20
0.00509734, 0.00344566, 0.00165064, 0.00037383, 5468, 12499, 45879, 109360, 20
0.00448285, 0.00294995, 0.00153176, 0.000296774, 2188, 11386, 33087, 43760, 20
0.00384442, 0.00248393, 0.00135932, 0.000362424, 1880, 9897, 38622, 37600, 20
0.00278157, 0.0018466, 0.000934074, 0.000236745, 1388, 6869, 27552, 27760, 20
0.00667239, 0.00483478, 0.00183551, 0.000719707, 1775, 6066, 42804, 35500, 20
0.00179479, 0.00108443, 0.000708757, 0.000361472, 962, 2000, 27798, 19240, 20
