elapsed_s,algorithm_usage_usec,end_to_end_usage_usec,algorithm_interval_cores,end_to_end_interval_cores,memory_sampled,algorithm_pids,end_to_end_pids,algorithm_rss_kib,algorithm_pss_kib,algorithm_swap_kib,end_to_end_rss_kib,end_to_end_pss_kib,end_to_end_swap_kib
6.4e-05,0,1139,,,True,1,4,3202048,3189929,0,3271232,3237447,0
1.104953,878465,933084,0.7950712776388739,0.8434743579302081,False,1,4,3202048,3189929,0,3271232,3237447,0
2.153837,1820960,1942188,0.8985688224934975,0.9620734253799524,False,1,4,3202048,3189929,0,3271232,3237447,0
3.21234,3524315,3732969,1.6092120632991185,1.6918061049674664,False,1,4,3202048,3189929,0,3271232,3237447,0
4.264079,5260459,5540198,1.6507363819639918,1.7183244367059431,False,1,4,3202048,3189929,0,3271232,3237447,0
5.312242,6492017,6828793,1.1749674403950392,1.2293835685009116,False,1,4,3202048,3189929,0,3271232,3237447,0
6.353986,7864731,8263043,1.3177082901105541,1.3767784950769515,False,1,4,3202048,3189929,0,3271232,3237447,0
7.387117,9161423,9609428,1.2551084096157106,1.3032078057707215,False,1,4,3202048,3189929,0,3271232,3237447,0
8.430247,10741376,11241600,1.5146276094912308,1.5646875411094643,False,1,4,3202048,3189929,0,3271232,3237447,0
9.470309,11329279,11887779,0.5652575736409388,0.6212888413185987,False,1,4,3202048,3189929,0,3271232,3237447,0
9.495349,11333001,11891985,0.14863989321337928,0.16796867029969728,True,1,4,3395580,3372392,0,3465412,3420470,0
