elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.006,3202048,3189929,0,5943172,2096976,11877264,1065888,0.0,0.0
1.1,3285100,3261794,0,5763820,2096976,12039992,1065888,0.0,0.0
2.158,3289372,3264535,0,5623544,2096976,12061820,1065888,0.0,0.0
3.208,3291272,3266427,0,5564132,2096976,12090956,1065888,0.0,0.0
4.263,3294628,3269760,0,5555232,2096968,12029240,1065888,0.0,0.0
5.316,3301116,3276249,0,5510768,2096968,12034880,1065888,0.0,0.0
6.359,3395124,3370259,0,5561216,2096968,12064576,1065888,0.0,0.0
7.402,3395356,3370491,0,5559796,2096964,12064760,1065884,0.0,0.0
8.435,3395632,3370765,0,5557124,2096956,12064508,1065884,0.0,0.0
9.478,3395580,3372392,0,5571480,2096956,12027932,1065884,0.0,0.0
9.516,3395580,3372392,0,5570800,2096956,12028628,1065884,0.0,0.0
