elapsed_s,algorithm_usage_usec,end_to_end_usage_usec,algorithm_interval_cores,end_to_end_interval_cores,memory_sampled,algorithm_pids,end_to_end_pids,algorithm_rss_kib,algorithm_pss_kib,algorithm_swap_kib,end_to_end_rss_kib,end_to_end_pss_kib,end_to_end_swap_kib
6.1e-05,0,111,,,True,1,5,3168784,3145484,0,3401560,3319543,0
1.084707,300588,524644,0.27713013948301213,0.4835984918008796,False,1,5,3168784,3145484,0,3401560,3319543,0
2.11529,868224,1385170,0.5507913064500886,0.8349897465528417,False,1,5,3168784,3145484,0,3401560,3319543,0
3.156545,1115237,1990806,0.23722604932081034,0.5816399768694696,False,1,5,3168784,3145484,0,3401560,3319543,0
4.189225,1532106,2676626,0.4036769436401248,0.6641168364336767,False,1,5,3168784,3145484,0,3401560,3319543,0
5.224839,1931301,3348488,0.38546715320311037,0.6487574555927507,False,1,5,3168784,3145484,0,3401560,3319543,0
6.262296,2405962,4081736,0.45752354250656463,0.7067743557946693,False,1,5,3168784,3145484,0,3401560,3319543,0
7.295218,2694257,4649679,0.27910614983156545,0.5498409062029823,False,1,5,3168784,3145484,0,3401560,3319543,0
8.328718,3448903,5653134,0.7301846965353823,0.9709287330243743,False,1,5,3168784,3145484,0,3401560,3319543,0
9.35762,3857828,6321330,0.39743829716848855,0.6494263750438232,False,1,5,3168784,3145484,0,3401560,3319543,0
10.384368,4011414,6763656,0.1495849793520532,0.43080310429906554,True,1,5,3190924,3166474,0,3485452,3397721,0
11.448009,4848380,7805848,0.7868873474296227,0.9798339459337339,False,1,5,3190924,3166474,0,3485452,3397721,0
12.48509,5180471,8410379,0.3202169920988615,0.5829158226224644,False,1,5,3190924,3166474,0,3485452,3397721,0
13.515004,6245461,9676893,1.0340574786162169,1.2297282354502288,False,1,5,3190924,3166474,0,3485452,3397721,0
14.549775,6983054,10680123,0.7128078884666409,0.9695187697637968,False,1,5,3190924,3166474,0,3485452,3397721,0
15.589857,7874205,11830309,0.8568085826039782,1.105861112640775,False,1,5,3190924,3166474,0,3485452,3397721,0
16.628281,8442898,12664152,0.5476498681713318,0.8029886230806212,False,1,5,3190924,3166474,0,3485452,3397721,0
16.660123,8444477,12670213,0.04958884591776495,0.1903470519997298,True,1,5,3192264,3168728,0,3486708,3404033,0
