Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.032968, 0.0182633, 0.0147031, 0.00829386, 21603, 45754, 956817, 691296, 32
0.0193385, 0.0131509, 0.00618622, 0.000846552, 21569, 45626, 104796, 690208, 32
0.0189822, 0.0129165, 0.00606436, 0.00095485, 21591, 45557, 110946, 690912, 32
0.0170658, 0.0130726, 0.00399188, 6.9944e-05, 21491, 45509, 3321, 687712, 32
0.0170009, 0.013307, 0.00369255, 0.000153768, 21531, 45442, 9594, 688992, 32
0.0442908, 0.039032, 0.00525751, 0.000332345, 21659, 45686, 18696, 693088, 32
0.0197639, 0.0161798, 0.00358168, 0, 21643, 45673, 0, 692576, 32
0.0183946, 0.0138166, 0.00457689, 0.000156687, 21564, 45594, 7257, 690048, 32
0.0173535, 0.0146966, 0.00265548, 0, 21668, 45630, 0, 693376, 32
0.0222497, 0.0193875, 0.00286097, 0, 21676, 45637, 0, 693632, 32
0.0175991, 0.0143277, 0.00326984, 4.303e-06, 21652, 45657, 123, 692864, 32
0.0178246, 0.015023, 0.00279993, 4.128e-06, 21676, 45637, 123, 693632, 32
0.0190904, 0.015051, 0.00403828, 0.000430587, 22947, 46422, 39606, 734304, 32
0.0187877, 0.0144627, 0.00432377, 0.000723896, 33642, 47754, 88068, 1.07654e+06, 32
0.0207904, 0.0160904, 0.00469861, 0.000946531, 37434, 48735, 85362, 1.19789e+06, 32
0.0230587, 0.0173277, 0.00572907, 0.00134152, 31199, 50756, 144771, 998368, 32
0.0241234, 0.0175928, 0.00652928, 0.00203352, 28573, 53464, 146247, 914336, 32
0.0242013, 0.0167139, 0.00748627, 0.00260256, 34100, 54286, 207501, 1.0912e+06, 32
0.0230634, 0.0161488, 0.00691298, 0.00212718, 40130, 53064, 188928, 1.28416e+06, 32
0.0218486, 0.014911, 0.00693666, 0.00191427, 33232, 48070, 220662, 1.06342e+06, 32
0.0209361, 0.0146405, 0.0062946, 0.0019177, 40543, 45393, 214512, 1.29738e+06, 32
0.0211727, 0.0155843, 0.00558753, 0.00123384, 45977, 43789, 138375, 1.47126e+06, 32
0.019942, 0.014801, 0.00513983, 0.00115742, 39300, 42775, 92250, 1.2576e+06, 32
0.0194262, 0.0146482, 0.00477679, 0.00103504, 42377, 39806, 122139, 1.35606e+06, 32
0.021374, 0.0173971, 0.00397501, 0.000773584, 40632, 38792, 98400, 1.30022e+06, 32
0.0181099, 0.013849, 0.00425948, 0.000778275, 43235, 40516, 91635, 1.38352e+06, 32
0.0185747, 0.0139222, 0.00465117, 0.00100718, 45893, 41533, 103935, 1.46858e+06, 32
0.0211635, 0.0167488, 0.00441272, 0.00100145, 47395, 41761, 107994, 1.51664e+06, 32
0.02072, 0.0166574, 0.00406129, 0.000733771, 47948, 41886, 86223, 1.53434e+06, 32
0.020485, 0.0167752, 0.00370748, 0.000562381, 47542, 41636, 60762, 1.52134e+06, 32
0.0199481, 0.0164043, 0.00354244, 0.000367597, 45929, 41182, 33948, 1.46973e+06, 32
0.0173536, 0.0140506, 0.00330216, 0.000282604, 43614, 39952, 23985, 1.39565e+06, 32
0.0158649, 0.0130332, 0.00283033, 0.000264447, 43346, 39711, 24354, 1.38707e+06, 32
0.0155721, 0.0130129, 0.00255726, 0.000172103, 43323, 39736, 14883, 1.38634e+06, 32
0.0136463, 0.0113719, 0.00227317, 1.1228e-05, 43348, 39610, 369, 1.38714e+06, 32
0.0141821, 0.0114327, 0.00274785, 0.000172439, 43286, 39670, 12423, 1.38515e+06, 32
0.0173639, 0.0133548, 0.00400799, 0.00103804, 53135, 41741, 145509, 1.70032e+06, 32
0.0179538, 0.0144809, 0.00347176, 0.000365995, 50013, 41119, 28044, 1.60042e+06, 32
0.0277753, 0.0217876, 0.00598586, 0.0020308, 75039, 40786, 212298, 2.40125e+06, 32
0.0186064, 0.0140529, 0.00455194, 0.000810101, 75015, 41033, 70110, 2.40048e+06, 32
0.0168178, 0.0137606, 0.00305595, 0.000267369, 75029, 40812, 20295, 2.40093e+06, 32
0.0187414, 0.014789, 0.00395126, 0.000436725, 43180, 40245, 41820, 1.38176e+06, 32
0.0188831, 0.0155947, 0.00328712, 0.000278874, 43176, 40046, 23370, 1.38163e+06, 32
0.0247212, 0.0202724, 0.00444676, 0.000561836, 49757, 41703, 51291, 1.59222e+06, 32
