elapsed_s,algorithm_usage_usec,end_to_end_usage_usec,algorithm_interval_cores,end_to_end_interval_cores,memory_sampled,algorithm_pids,end_to_end_pids,algorithm_rss_kib,algorithm_pss_kib,algorithm_swap_kib,end_to_end_rss_kib,end_to_end_pss_kib,end_to_end_swap_kib
4.5e-05,0,28,,,True,1,5,3168004,3144858,0,3414744,3332792,0
1.119035,392752,604832,0.3509879128122676,0.5404909296973935,False,1,5,3168004,3144858,0,3414744,3332792,0
2.159764,1557658,2103106,1.1193172956348527,1.439638908032076,False,1,5,3168004,3144858,0,3414744,3332792,0
3.204843,1847279,2705242,0.2771283777976952,0.57616323710502,False,1,5,3168004,3144858,0,3414744,3332792,0
4.250246,2222259,3372284,0.35869406659134506,0.63807138398641,False,1,5,3168004,3144858,0,3414744,3332792,0
5.292129,3217879,4640177,0.9555964188391454,1.2169241379956415,False,1,5,3168004,3144858,0,3414744,3332792,0
6.337124,4225946,5935580,0.9646620336991307,1.2396260292618992,False,1,5,3168004,3144858,0,3414744,3332792,0
7.391977,4623324,6680997,0.3767140953334739,0.7066548495417262,False,1,5,3168004,3144858,0,3414744,3332792,0
8.428684,4798394,7150138,0.16887132016048,0.4525301879899911,False,1,5,3168004,3144858,0,3414744,3332792,0
9.477703,5165519,7852929,0.349969832945682,0.6699506949015426,False,1,5,3168004,3144858,0,3414744,3332792,0
10.532069,5327086,8340502,0.15323609970030155,0.46243220979021166,True,1,5,3193768,3169443,0,3511136,3423678,0
11.655701,6350871,9662255,0.9111391000028636,1.1763220196096689,False,1,5,3193768,3169443,0,3511136,3423678,0
12.710684,7018469,10589398,0.6328049139319202,0.8788232533913857,False,1,5,3193768,3169443,0,3511136,3423678,0
13.752088,7486264,11357134,0.44919628086971874,0.7372121461105706,False,1,5,3193768,3169443,0,3511136,3423678,0
13.780762,7486913,11360630,0.02263382539887188,0.12192273281118043,True,1,5,3194608,3171190,0,3519776,3437239,0
