elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.0,3168000,3144858,0,7392504,2096824,10034244,1065636,0.0,0.0
1.117,3176768,3152479,0,7321708,2096824,10082200,1065636,0.0,0.0
2.178,3182980,3158730,0,7244432,2096824,10148168,1065636,0.0,0.0
3.219,3185192,3160898,0,7233924,2096824,10151992,1065636,0.0,0.0
4.262,3185268,3160955,0,7234368,2096824,10156200,1065636,0.0,0.0
5.308,3189660,3165347,0,7227632,2096824,10162564,1065636,0.0,0.0
6.352,3189908,3165597,0,7224432,2096820,10166256,1065636,0.0,0.0
7.395,3191716,3167381,0,7219024,2096820,10187728,1065636,0.0,0.0
8.451,3192444,3168130,0,7225712,2096820,10168512,1065636,0.0,0.0
9.486,3192444,3168119,0,7224744,2096816,10169000,1065632,0.0,0.0
10.535,3193768,3169443,0,7223444,2096816,10170020,1065632,0.0,0.0
11.659,3194640,3170313,0,7230020,2096816,10178096,1065632,0.0,0.0
12.714,3194644,3170318,0,7243884,2096816,10179960,1065632,0.0,0.0
13.769,3194608,3171190,0,7269692,2096816,10141408,1065632,0.0,0.0
13.808,3194608,3171190,0,7269692,2096816,10141432,1065632,0.0,0.0
