elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.0,3249456,3226301,0,7398884,2095452,10093684,1065040,0.0,0.0
1.12,3287740,3262821,0,7298952,2095448,10161028,1065036,0.0,0.0
2.167,3297644,3272717,0,7289548,2095448,10167800,1065036,0.0,0.0
3.226,3303476,3278556,0,7270384,2095448,10175636,1065036,0.0,0.0
4.278,3307516,3282589,0,7277908,2095448,10179296,1065036,0.0,0.0
5.337,3396924,3371997,0,7195964,2095448,10269024,1065036,0.0,0.0
6.397,3397232,3372303,0,7197012,2095408,10269456,1064996,0.0,0.0
7.455,3397240,3372311,0,7203536,2095408,10269672,1064996,0.0,0.0
8.505,3397188,3373879,0,7227796,2095408,10232572,1064996,0.0,0.0
8.553,3397188,3373879,0,7227796,2095408,10232672,1064996,0.0,0.0
