Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.0100406, 0.00546243, 0.0045767, 0.00263781, 5115, 18366, 274044, 102300, 20
0.0102513, 0.00790014, 0.00234956, 0.000519433, 5070, 18337, 76014, 101400, 20
0.0126372, 0.010228, 0.00240776, 0.000337963, 5094, 18383, 33456, 101880, 20
0.00542059, 0.00422818, 0.00119147, 1.7372e-05, 5109, 18355, 1476, 102180, 20
0.0387966, 0.0235199, 0.0152744, 0.00830832, 18926, 50539, 663462, 605632, 32
0.00610399, 0.00464669, 0.00145623, 8.912e-05, 5107, 18384, 7011, 102140, 20
0.0116726, 0.0100167, 0.00165411, 2.1821e-05, 5094, 18369, 861, 101880, 20
0.00829156, 0.00602444, 0.00226627, 0.000791701, 13669, 21604, 122754, 273380, 20
0.00904157, 0.00586323, 0.00317743, 0.0012268, 11198, 20026, 133209, 223960, 20
0.0224821, 0.0127206, 0.0097604, 0.00388346, 22925, 53701, 421152, 458500, 20
0.0259622, 0.0181606, 0.00779964, 0.00218006, 29177, 55710, 246861, 933664, 32
0.0201661, 0.0148705, 0.00529421, 0.00104804, 25704, 50847, 115374, 514080, 20
0.019638, 0.0147805, 0.00485508, 0.000805315, 24932, 49797, 76506, 498640, 20
0.019322, 0.013844, 0.00547542, 0.000807229, 22691, 47576, 72324, 453820, 20
0.0170805, 0.0116561, 0.00542358, 0.00151967, 40469, 40302, 191634, 1.29501e+06, 32
0.0142647, 0.0100251, 0.00423786, 0.00101163, 38213, 37836, 131487, 764260, 20
0.018146, 0.0136322, 0.0045121, 0.00115312, 39669, 40286, 147231, 793380, 20
0.0182954, 0.0129124, 0.00538107, 0.00176713, 36362, 40999, 232101, 727240, 20
0.0169374, 0.0125821, 0.00435369, 0.00105818, 29134, 39407, 146124, 582680, 20
0.0170872, 0.0132421, 0.00384333, 0.000616384, 24324, 38019, 73308, 486480, 20
0.00996137, 0.0077701, 0.00218971, 0.000359761, 15157, 21397, 40221, 303140, 20
0.0140112, 0.0109814, 0.0030287, 0.00031427, 21182, 36622, 30135, 423640, 20
0.0107652, 0.00813631, 0.00262744, 0.000101807, 21130, 36483, 5535, 422600, 20
0.0150806, 0.011007, 0.00407173, 0.000991263, 37710, 41472, 131118, 754200, 20
0.0199479, 0.0145238, 0.00542222, 0.00134602, 47263, 46014, 182040, 1.51242e+06, 32
0.0168688, 0.0119631, 0.00490394, 0.000583642, 43660, 43867, 55473, 873200, 20
0.018679, 0.0156091, 0.0030689, 7.7956e-05, 43621, 43798, 4551, 872420, 20
0.015641, 0.0119102, 0.00372924, 0.000559873, 37755, 41867, 65559, 755100, 20
0.0159018, 0.0116396, 0.00425973, 0.000741113, 43341, 44512, 85977, 866820, 20
0.0174031, 0.0125265, 0.0048749, 0.000774668, 45913, 45982, 92127, 918260, 20
0.0171818, 0.0125717, 0.00460877, 0.000808752, 42699, 44135, 99753, 853980, 20
0.0171516, 0.0121896, 0.00496106, 0.00094671, 43741, 42779, 121032, 874820, 20
0.018357, 0.0125756, 0.00577995, 0.00151356, 39293, 46331, 162975, 785860, 20
0.0440885, 0.026814, 0.017273, 0.00708729, 23091, 86587, 685725, 738912, 32
0.0206337, 0.0139693, 0.00666252, 0.000438349, 11073, 72082, 34932, 221460, 20
0.0221559, 0.0142584, 0.00789605, 0.00109113, 11068, 72046, 102828, 221360, 20
0.0198072, 0.0124457, 0.00735957, 0.00094195, 8936, 70942, 81549, 178720, 20
0.0225243, 0.0142349, 0.00828815, 0.00141645, 12625, 77676, 124230, 252500, 20
0.0196066, 0.0114526, 0.00815235, 0.00180872, 8529, 65732, 174783, 170580, 20
0.0194325, 0.0127289, 0.00670185, 0.00153461, 6626, 58999, 162975, 132520, 20
0.0188067, 0.0125726, 0.00623205, 0.00117021, 6000, 59344, 115251, 120000, 20
0.0184524, 0.0128463, 0.00560424, 0.00079282, 6000, 57607, 64206, 120000, 20
