elapsed_s,algorithm_usage_usec,end_to_end_usage_usec,algorithm_interval_cores,end_to_end_interval_cores,memory_sampled,algorithm_pids,end_to_end_pids,algorithm_rss_kib,algorithm_pss_kib,algorithm_swap_kib,end_to_end_rss_kib,end_to_end_pss_kib,end_to_end_swap_kib
6.7e-05,1118,2277,,,True,1,4,3272696,3249419,0,3342616,3297437,0
1.107792,456318,493323,0.41093221495797766,0.4432922241350068,False,1,4,3272696,3249419,0,3342616,3297437,0
2.161141,1203531,1279568,0.7093689227632916,0.7464240700817895,False,1,4,3272696,3249419,0,3342616,3297437,0
3.201536,2394065,2522331,1.14430940969567,1.1945105263030036,False,1,4,3272696,3249419,0,3342616,3297437,0
4.254555,3343132,3522832,0.9012816259074888,0.9501259321018101,False,1,4,3272696,3249419,0,3342616,3297437,0
5.31642,4897363,5140106,1.463681250763189,1.5230513553949097,False,1,4,3272696,3249419,0,3342616,3297437,0
6.360157,5502750,5792704,0.580018803465329,0.6252514690666743,False,1,4,3272696,3249419,0,3342616,3297437,0
7.4196,6757243,7096060,1.1841061172744656,1.230227520270243,False,1,4,3272696,3249419,0,3342616,3297437,0
8.469847,7532207,7923536,0.7378869727047086,0.7878866123146384,False,1,4,3272696,3249419,0,3342616,3297437,0
8.525189,7567967,7961521,0.6461621373904012,0.6863665768672927,True,1,4,3395852,3372538,0,3466108,3420864,0
