Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.0997826, 0.0521548, 0.0476264, 0.02133, 18983, 50777, 947592, 607456, 32
0.0184644, 0.012908, 0.00555534, 0.000997421, 18953, 50700, 134316, 606496, 32
0.0208693, 0.0132447, 0.0076232, 0.00126251, 18892, 50487, 148707, 604544, 32
0.0185217, 0.0142208, 0.00429995, 4.7586e-05, 18914, 50639, 1968, 605248, 32
0.0207298, 0.0157633, 0.00496445, 0.000236496, 18969, 50615, 14637, 607008, 32
0.0179069, 0.013708, 0.00419738, 0.000376249, 18907, 50423, 30135, 605024, 32
0.0778368, 0.0624258, 0.0154089, 0, 18909, 50428, 0, 605088, 32
0.0265033, 0.0217899, 0.0047101, 0.000230746, 18916, 50544, 12054, 605312, 32
0.0212821, 0.0181498, 0.00313068, 0, 18943, 50510, 0, 606176, 32
0.022798, 0.0195872, 0.00320904, 0, 18967, 50500, 0, 606944, 32
0.0261913, 0.0227851, 0.00340366, 0, 18907, 50440, 0, 605024, 32
0.0212193, 0.0177313, 0.00348623, 0, 18967, 50500, 0, 606944, 32
0.0195235, 0.0162242, 0.00329768, 4.214e-06, 18914, 50639, 123, 605248, 32
0.029242, 0.0202885, 0.00895167, 0.00397237, 28134, 55120, 464817, 900288, 32
0.0213029, 0.0146213, 0.00667989, 0.00231908, 35322, 51676, 308853, 1.1303e+06, 32
0.0184408, 0.0128324, 0.00560689, 0.00157352, 40072, 48756, 198891, 1.2823e+06, 32
0.0197868, 0.0147916, 0.0049938, 0.00120802, 40973, 47822, 150675, 1.31114e+06, 32
0.0169051, 0.0126573, 0.00424621, 0.000807585, 37870, 47192, 111069, 1.21184e+06, 32
0.0204363, 0.0159979, 0.00443707, 0.000810608, 33674, 45728, 78720, 1.07757e+06, 32
0.0191911, 0.0152555, 0.00393352, 0.000516993, 33539, 45719, 49200, 1.07325e+06, 32
0.0185836, 0.0149227, 0.00365929, 0.000323717, 33565, 45655, 27183, 1.07408e+06, 32
0.0150972, 0.0122074, 0.00288811, 4.248e-05, 33534, 45687, 1599, 1.07309e+06, 32
0.0193115, 0.0137677, 0.00554238, 0.00107833, 49570, 49143, 143910, 1.58624e+06, 32
0.0229492, 0.017525, 0.00542244, 0.00161127, 49364, 48497, 138375, 1.57965e+06, 32
0.0205949, 0.0164898, 0.0041038, 0.000772565, 41546, 43324, 80319, 1.32947e+06, 32
