elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.0,3169584,3146305,0,7312292,2096176,10095416,1065272,0.0,0.0
1.128,3171632,3147472,0,7272412,2096176,10136756,1065272,0.0,0.0
2.182,3179236,3154877,0,7200736,2096176,10199388,1065272,0.0,0.0
3.236,3180152,3155793,0,7201308,2096176,10200416,1065272,0.0,0.0
4.276,3182088,3157729,0,7200516,2096176,10203612,1065272,0.0,0.0
5.315,3184440,3160066,0,7187196,2096176,10206972,1065272,0.0,0.0
6.351,3188600,3164222,0,7187668,2096176,10211828,1065272,0.0,0.0
7.404,3189256,3164875,0,7189392,2096176,10213096,1065272,0.0,0.0
8.448,3189276,3164895,0,7183888,2096176,10212448,1065272,0.0,0.0
9.494,3190184,3165803,0,7181168,2096176,10212904,1065272,0.0,0.0
10.539,3191680,3167300,0,7186884,2096176,10214872,1065272,0.0,0.0
11.656,3192308,3167927,0,7188860,2096176,10214944,1065272,0.0,0.0
12.708,3195440,3171059,0,7189436,2096176,10218184,1065272,0.0,0.0
13.763,3195640,3171272,0,7197668,2096176,10218652,1065272,0.0,0.0
14.806,3197128,3172748,0,7200836,2096176,10221148,1065272,0.0,0.0
15.865,3197136,3172744,0,7203216,2096172,10220396,1065268,0.0,0.0
16.906,3198084,3173693,0,7197504,2096172,10223700,1065268,0.0,0.0
17.964,3198084,3173693,0,7196352,2096136,10224328,1065268,0.0,0.0
19.021,3198056,3174513,0,7237832,2096136,10186836,1065268,0.0,0.0
19.067,3198056,3174513,0,7237832,2096136,10186468,1065268,0.0,0.0
