Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.00994398, 0.00511751, 0.00482505, 0.00267638, 5115, 18366, 274044, 102300, 20
0.00767724, 0.00493658, 0.00273891, 0.000533451, 5070, 18337, 76014, 101400, 20
0.0128865, 0.0103033, 0.0025815, 0.000314179, 5093, 18371, 31611, 101860, 20
0.00932569, 0.0072786, 0.00204561, 0.000147685, 5094, 18383, 13653, 101880, 20
0.00864819, 0.0072488, 0.00139835, 0, 5109, 18355, 0, 102180, 20
0.0067901, 0.00538196, 0.00140674, 0, 5080, 18338, 0, 101600, 20
0.00614135, 0.00476488, 0.00137521, 0, 5121, 18403, 0, 102420, 20
0.00569907, 0.00439735, 0.00130026, 0, 5093, 18380, 0, 101860, 20
0.00596592, 0.0046251, 0.00133938, 0, 5091, 18380, 0, 101820, 20
0.00628766, 0.00453245, 0.00175355, 0, 5080, 18338, 0, 101600, 20
0.00996278, 0.00826837, 0.00169272, 0, 5070, 18337, 0, 101400, 20
0.00968587, 0.0081738, 0.00151051, 0, 5124, 18389, 0, 102480, 20
0.0087668, 0.00612606, 0.00263913, 0.000728648, 5872, 22689, 74784, 117440, 20
0.0071566, 0.00508533, 0.00207022, 0.000405356, 6296, 22417, 44895, 125920, 20
0.00766222, 0.00429422, 0.00336689, 0.00200906, 25073, 6866, 183147, 501460, 20
0.00510829, 0.00421913, 0.000887681, 0.00019463, 28006, 6711, 13776, 560120, 20
0.00546342, 0.00485746, 0.000604836, 5.2124e-05, 28052, 6772, 2460, 561040, 20
0.00550608, 0.0049854, 0.000519109, 3.4303e-05, 28009, 6698, 984, 560180, 20
0.00637601, 0.00581391, 0.000560425, 0, 28011, 6675, 0, 560220, 20
0.00244132, 0.00203151, 0.000408703, 3.8037e-05, 27467, 6686, 2829, 549340, 20
0.00308247, 0.00255872, 0.000522165, 0.000108628, 27407, 6711, 10701, 548140, 20
0.00241203, 0.00199071, 0.00042038, 9.3768e-05, 26356, 6332, 8979, 527120, 20
0.00440611, 0.00355724, 0.00084663, 0.000311186, 24945, 6254, 18327, 498900, 20
0.00291646, 0.0022874, 0.000627721, 0.000186751, 24137, 6499, 21648, 482740, 20
0.0061932, 0.00536947, 0.000821813, 0.000128038, 24117, 6558, 5781, 482340, 20
0.00560571, 0.0050335, 0.000570396, 5.3197e-05, 24107, 6489, 1968, 482140, 20
0.00371693, 0.00334029, 0.000375146, 1.3385e-05, 24104, 6584, 492, 482080, 20
0.0035688, 0.00323272, 0.000334235, 8.932e-06, 24078, 6520, 369, 481560, 20
0.00255079, 0.00210671, 0.000442599, 3.6315e-05, 23825, 6437, 2091, 476500, 20
0.00387176, 0.00345168, 0.000418561, 1.6614e-05, 23789, 6406, 738, 475780, 20
0.00562912, 0.00501744, 0.000609811, 3.4473e-05, 27056, 7050, 1230, 541120, 20
0.00328984, 0.00268255, 0.000606258, 7.6116e-05, 32513, 7353, 8733, 650260, 20
0.00276651, 0.00226869, 0.000496595, 9.5563e-05, 25468, 6534, 10086, 509360, 20
0.00401193, 0.00332326, 0.000687463, 0.000211039, 16084, 6183, 13776, 321680, 20
0.00334989, 0.00267146, 0.000676712, 0.000150616, 13182, 7888, 16113, 263640, 20
0.00445778, 0.00341236, 0.00104454, 0.000194376, 10626, 12722, 25338, 212520, 20
0.00433283, 0.00346377, 0.000868301, 6.2491e-05, 11180, 12371, 3075, 223600, 20
0.00425873, 0.00299477, 0.00126282, 0.0004578, 23345, 9001, 53136, 466900, 20
0.00364633, 0.00294542, 0.000700143, 0.000171518, 26505, 9231, 20541, 530100, 20
0.00743222, 0.00653615, 0.000894029, 3.5398e-05, 26495, 9266, 1599, 529900, 20
0.00741984, 0.00658598, 0.000832231, 4.816e-06, 26510, 9261, 123, 530200, 20
0.00656946, 0.0059365, 0.000631646, 0, 26504, 9202, 0, 530080, 20
0.00341331, 0.00272198, 0.000690493, 7.3044e-05, 20011, 8995, 8979, 400220, 20
0.00368124, 0.00288051, 0.000799771, 0.000135776, 21165, 9118, 9717, 423300, 20
0.00429275, 0.00318691, 0.00110413, 0.000249561, 24075, 9726, 21771, 481500, 20
0.0056296, 0.00404085, 0.00158794, 0.000504532, 32280, 11593, 56703, 645600, 20
0.00646585, 0.00532075, 0.00114416, 0.000214307, 37024, 12335, 21033, 740480, 20
0.00507994, 0.00391281, 0.00116596, 8.0322e-05, 33225, 12381, 6273, 664500, 20
0.00755386, 0.00676118, 0.000790778, 0, 33237, 12372, 0, 664740, 20
0.00750044, 0.00640339, 0.00109497, 2.5198e-05, 33239, 12374, 861, 664780, 20
0.00556572, 0.00462497, 0.000939816, 1.3115e-05, 33182, 12299, 492, 663640, 20
0.00537402, 0.00459997, 0.000772798, 0, 33240, 12376, 0, 664800, 20
0.00452346, 0.00376399, 0.000758237, 1.4903e-05, 33220, 12352, 492, 664400, 20
0.00750689, 0.00636588, 0.00113977, 0.000105633, 38532, 13599, 8364, 770640, 20
0.00714043, 0.00520473, 0.00193489, 0.000280998, 36782, 20284, 36900, 735640, 20
0.00828109, 0.00619855, 0.00208089, 0.000218102, 27948, 18299, 19188, 558960, 20
0.0053936, 0.00433247, 0.00106015, 0.000113207, 24258, 12462, 10701, 485160, 20
0.00530087, 0.0041487, 0.00115092, 0.000154885, 22727, 12708, 16236, 454540, 20
0.006087, 0.00477616, 0.00130983, 0.000196314, 23102, 14062, 21648, 462040, 20
0.00749601, 0.00574103, 0.00175399, 0.000262001, 24232, 17154, 27675, 484640, 20
0.00824327, 0.00615846, 0.00208392, 0.00035168, 26264, 18463, 34317, 525280, 20
0.0088575, 0.00647863, 0.00237797, 0.000341981, 28107, 19450, 33456, 562140, 20
0.0105329, 0.00861515, 0.00191586, 0.000195806, 28963, 20077, 18819, 579260, 20
0.0095078, 0.00794929, 0.00155725, 3.6904e-05, 28980, 20172, 1968, 579600, 20
0.00811895, 0.00646605, 0.00165115, 5.1931e-05, 29023, 20376, 2583, 580460, 20
0.00749026, 0.00585929, 0.00163019, 3.1443e-05, 29022, 20284, 1722, 580440, 20
0.0103177, 0.00878008, 0.00153595, 1.2989e-05, 29046, 20222, 369, 580920, 20
0.0108633, 0.00925107, 0.00161075, 3.853e-06, 29038, 20280, 123, 580760, 20
0.0114436, 0.00983273, 0.00160924, 0, 28976, 20356, 0, 579520, 20
0.00736388, 0.00590918, 0.00145245, 0, 28974, 20173, 0, 579480, 20
0.0124545, 0.0108584, 0.00159414, 0, 28987, 20080, 0, 579740, 20
0.007524, 0.0060448, 0.00147794, 0, 29011, 20374, 0, 580220, 20
0.00894189, 0.00750025, 0.00144021, 4.495e-06, 29029, 20293, 123, 580580, 20
0.0136027, 0.0121127, 0.00148872, 0, 29029, 20293, 0, 580580, 20
0.0105279, 0.0091208, 0.00140536, 0, 29051, 20221, 0, 581020, 20
