elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.0,3166296,3142957,0,7336164,2096020,10122956,1065192,0.0,0.0
1.109,3176848,3152416,0,7250524,2096016,10172476,1065192,0.0,0.0
2.165,3185300,3160860,0,7195644,2096016,10238172,1065192,0.0,0.0
3.21,3189896,3165429,0,7179296,2096016,10249816,1065192,0.0,0.0
4.264,3192392,3167926,0,7169072,2096016,10260840,1065192,0.0,0.0
5.302,3193968,3169502,0,7172088,2096016,10268440,1065192,0.0,0.0
6.359,3195032,3170566,0,7175616,2096016,10269120,1065192,0.0,0.0
7.415,3195036,3170567,0,7165956,2096016,10270072,1065192,0.0,0.0
8.461,3195012,3171398,0,7190760,2096016,10216356,1065192,0.0,0.0
8.507,3195012,3171398,0,7190520,2096016,10216652,1065192,0.0,0.0
