elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.0,3264060,3240920,0,7310900,2094504,10181712,1064568,0.0,0.0
1.112,3285152,3260266,0,7248056,2094504,10236764,1064568,0.0,0.0
2.167,3293360,3268540,0,7245460,2094504,10242996,1064568,0.0,0.0
3.225,3307384,3282488,0,7218464,2094504,10256376,1064568,0.0,0.0
4.268,3307732,3282833,0,7218632,2094504,10256616,1064568,0.0,0.0
5.315,3391076,3366177,0,7133704,2094504,10340152,1064568,0.0,0.0
6.364,3391076,3366177,0,7133636,2094504,10341284,1064568,0.0,0.0
7.424,3391096,3366196,0,7139136,2094496,10340300,1064564,0.0,0.0
8.471,3391836,3366937,0,7138556,2094496,10341620,1064564,0.0,0.0
9.531,3392236,3368970,0,7146660,2094496,10304900,1064564,0.0,0.0
9.573,3392236,3368970,0,7146660,2094496,10304564,1064564,0.0,0.0
