Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.0126472, 0.00795363, 0.00469179, 0.00261985, 6283, 15635, 259161, 125660, 20
0.0120206, 0.00972293, 0.00229515, 0.000380981, 6234, 15540, 42435, 124680, 20
0.00501655, 0.0039658, 0.00104995, 0, 6283, 15626, 0, 125660, 20
0.0102594, 0.00831031, 0.00194735, 0.000105374, 6246, 15529, 5412, 124920, 20
0.0331487, 0.021233, 0.0119129, 0.0062726, 20998, 48304, 620412, 671936, 32
0.00869712, 0.00743588, 0.00125981, 0.000120084, 6179, 14281, 4059, 123580, 20
0.00382473, 0.00298986, 0.000833704, 5.4346e-05, 5528, 11506, 1845, 110560, 20
0.00951926, 0.00633856, 0.00317987, 0.00103468, 12162, 22625, 99876, 243240, 20
0.0119557, 0.00668251, 0.00527199, 0.00251114, 17779, 24204, 224106, 355580, 20
0.0212857, 0.0131745, 0.00810995, 0.00400515, 52435, 27632, 259530, 1.0487e+06, 20
0.0243877, 0.0179961, 0.00639007, 0.00214899, 64261, 44448, 282162, 2.05635e+06, 32
0.0178551, 0.012935, 0.0049183, 0.00158544, 43660, 39417, 223737, 873200, 20
0.0157907, 0.0108353, 0.00495433, 0.00149696, 33997, 36843, 182286, 679940, 20
0.0127888, 0.00907587, 0.00371162, 0.000746876, 34342, 35667, 86715, 686840, 20
0.0203575, 0.0157872, 0.00456869, 0.00105774, 48722, 41956, 134439, 1.5591e+06, 32
0.0160347, 0.0124052, 0.00362765, 0.000612071, 35771, 35524, 57072, 715420, 20
0.0152448, 0.0119746, 0.00326868, 0.00049562, 36500, 36073, 46002, 730000, 20
0.0147285, 0.0103737, 0.00435242, 0.000736956, 36877, 35969, 48585, 737540, 20
0.0130332, 0.00996222, 0.00306942, 0.000378446, 36160, 34933, 37638, 723200, 20
0.0102475, 0.00750127, 0.00274559, 0.000205596, 36143, 35130, 14268, 722860, 20
0.0154614, 0.0116256, 0.00383466, 0.000575094, 47245, 39743, 58302, 944900, 20
0.0186514, 0.0134234, 0.00522699, 0.00129834, 50348, 42582, 169986, 1.00696e+06, 20
0.0182484, 0.0131652, 0.00508216, 0.00172664, 74384, 41824, 177366, 1.48768e+06, 20
0.025727, 0.0193182, 0.00640642, 0.00195632, 46356, 45950, 260637, 1.48339e+06, 32
0.0171524, 0.0129397, 0.00421016, 0.000749628, 43429, 44123, 89175, 868580, 20
0.0180149, 0.0148083, 0.00320485, 0.000202889, 43433, 44266, 14883, 868660, 20
0.0110938, 0.0080533, 0.00303931, 0.000452807, 20407, 34599, 45510, 408140, 20
0.0143598, 0.0106252, 0.00373338, 0.000657397, 36799, 40662, 79089, 735980, 20
0.0176238, 0.0132547, 0.00436795, 0.000698043, 42394, 42747, 77367, 847880, 20
0.0224713, 0.0154527, 0.00701671, 0.00217078, 51465, 47882, 221523, 1.0293e+06, 20
0.0251028, 0.0158098, 0.00929118, 0.00336961, 36105, 55150, 342186, 722100, 20
0.0221722, 0.0139548, 0.00821615, 0.00222832, 13248, 59022, 188067, 264960, 20
0.0394925, 0.0236074, 0.0158829, 0.00368959, 21722, 80211, 291510, 695104, 32
0.0231836, 0.0153744, 0.007807, 0.000818631, 8713, 63281, 51783, 174260, 20
0.0217989, 0.0144374, 0.00735976, 0.000676345, 8718, 63548, 44280, 174360, 20
0.0203033, 0.0133173, 0.00698445, 0.000841273, 8604, 65349, 53997, 172080, 20
0.0185362, 0.0118267, 0.00670811, 0.000863521, 7432, 63893, 55104, 148640, 20
0.0185109, 0.0131881, 0.00532103, 0.000560799, 6661, 53439, 33702, 133220, 20
0.0158354, 0.0103111, 0.00552234, 0.00069635, 6309, 53693, 56457, 126180, 20
0.0134291, 0.00903048, 0.00439708, 0.000347164, 6204, 50963, 21402, 124080, 20
0.0150939, 0.0106176, 0.00447439, 0.000232895, 6204, 50620, 14391, 124080, 20
