elapsed_s,algorithm_usage_usec,end_to_end_usage_usec,algorithm_interval_cores,end_to_end_interval_cores,memory_sampled,algorithm_pids,end_to_end_pids,algorithm_rss_kib,algorithm_pss_kib,algorithm_swap_kib,end_to_end_rss_kib,end_to_end_pss_kib,end_to_end_swap_kib
6.7e-05,93,93,,,True,1,4,3274580,3251448,0,3344624,3299565,0
1.120464,520602,560496,0.46457550066506653,0.5001825219145207,False,1,4,3274580,3251448,0,3344624,3299565,0
2.161743,1626497,1718326,1.0620544541884207,1.111930616100967,False,1,4,3274580,3251448,0,3344624,3299565,0
3.217896,2346256,2485740,0.6814910097491251,0.7266122990551214,False,1,4,3274580,3251448,0,3344624,3299565,0
4.263525,3477262,3658528,1.0816517917274777,1.1216105321426104,False,1,4,3274580,3251448,0,3344624,3299565,0
5.318786,4307785,4545656,0.7870307042128236,0.8406714498778647,False,1,4,3274580,3251448,0,3344624,3299565,0
6.370934,5397944,5687534,1.0361273136653844,1.085282958424965,False,1,4,3274580,3251448,0,3344624,3299565,0
7.418441,6811135,7151356,1.34909843488957,1.3974331630734416,False,1,4,3274580,3251448,0,3344624,3299565,0
8.477539,7854334,8249924,0.9849886193093629,1.0372680356647659,False,1,4,3274580,3251448,0,3344624,3299565,0
9.515254,8569646,9023900,0.6893147320220865,0.7458466501771625,False,1,4,3274580,3251448,0,3344624,3299565,0
9.547422,8574025,9028889,0.13612715966805286,0.1550898377675076,True,1,4,3401812,3378603,0,3471900,3426773,0
