Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.0821538, 0.0133034, 0.068849, 0.0341165, 20897, 48229, 885846, 668704, 32
0.0190872, 0.0133976, 0.00568824, 0.000710452, 20890, 48192, 84132, 668480, 32
0.0258009, 0.0191034, 0.00669621, 0.000902824, 20900, 48173, 100614, 668800, 32
0.0181047, 0.0138385, 0.00426474, 7.147e-05, 20883, 48204, 3690, 668256, 32
0.0174279, 0.0134159, 0.00401045, 8.9343e-05, 20964, 48307, 4674, 670848, 32
0.0179525, 0.0137718, 0.0041791, 0.000237171, 20959, 48338, 15498, 670688, 32
0.053957, 0.0492468, 0.00470874, 0, 20923, 48297, 0, 669536, 32
0.0209244, 0.0166601, 0.00426254, 0.000162852, 20829, 48115, 9963, 666528, 32
0.0189328, 0.0161144, 0.00281657, 0, 20951, 48243, 0, 670432, 32
0.0199192, 0.0170421, 0.00287519, 0, 20953, 48240, 0, 670496, 32
0.0212349, 0.0181268, 0.00310635, 7.751e-06, 20930, 48297, 246, 669760, 32
0.0161849, 0.0131144, 0.00306948, 0, 20953, 48240, 0, 670496, 32
0.0174222, 0.0143463, 0.00307454, 0, 20883, 48204, 0, 668256, 32
0.0229053, 0.017518, 0.00538596, 0.000813016, 26887, 51400, 57810, 860384, 32
0.0217193, 0.0169924, 0.00472588, 0.00053759, 29617, 51633, 41205, 947744, 32
0.0207859, 0.0162597, 0.00452495, 0.000536704, 26441, 51601, 39237, 846112, 32
0.0206131, 0.0158633, 0.00474857, 0.000726311, 25647, 52275, 51783, 820704, 32
0.0188803, 0.0107324, 0.00814592, 0.0040374, 52085, 40557, 504792, 1.66672e+06, 32
0.0173016, 0.0137859, 0.00351389, 0.000411287, 52128, 40515, 39975, 1.6681e+06, 32
0.0251726, 0.0206157, 0.00455493, 0.00117195, 51925, 40293, 144279, 1.6616e+06, 32
