Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.0110109, 0.00689121, 0.00411851, 0.00226498, 6282, 15577, 266295, 125640, 20
0.00757848, 0.00557935, 0.00199733, 0.000299423, 6248, 15579, 37515, 124960, 20
0.00607561, 0.00459341, 0.00148125, 4.7971e-05, 6234, 15540, 2214, 124680, 20
0.00795982, 0.00652604, 0.00143263, 4.5791e-05, 6223, 15523, 1845, 124460, 20
0.00467033, 0.00393792, 0.000731782, 2.474e-06, 6283, 15626, 123, 125660, 20
0.00529881, 0.00434672, 0.000950626, 0, 6218, 15517, 0, 124360, 20
0.00619398, 0.00523774, 0.000954184, 0, 6246, 15529, 0, 124920, 20
0.00537705, 0.00437621, 0.000999363, 0, 6268, 15571, 0, 125360, 20
0.00523813, 0.00429019, 0.000946594, 0, 6264, 15578, 0, 125280, 20
0.00521304, 0.00429233, 0.000919062, 0, 6218, 15517, 0, 124360, 20
0.0144034, 0.0131384, 0.00126298, 0, 6262, 15579, 0, 125240, 20
0.00698113, 0.005841, 0.00113847, 0, 6244, 15494, 0, 124880, 20
0.00740708, 0.00549568, 0.00191011, 0.000552571, 7072, 18749, 51414, 141440, 20
0.00628991, 0.00485787, 0.00143129, 0.000289829, 7016, 18880, 37146, 140320, 20
0.0069144, 0.00516975, 0.00174369, 0.000291168, 6874, 19411, 34932, 137480, 20
0.00666495, 0.00483703, 0.00182679, 0.000303072, 7759, 17874, 34071, 155180, 20
0.0150367, 0.00964595, 0.00538813, 0.00333015, 38342, 14726, 348459, 766840, 20
0.00908885, 0.00785494, 0.00123209, 0.000171233, 38320, 14602, 11193, 766400, 20
0.00751405, 0.00538893, 0.00212432, 0.000715108, 38305, 14849, 66912, 766100, 20
0.00884108, 0.00640227, 0.0024365, 0.000869428, 34517, 14703, 59040, 690340, 20
0.00596057, 0.00485759, 0.0011021, 0.000205094, 43662, 10697, 16728, 873240, 20
0.00308941, 0.00265013, 0.000437986, 3.9715e-05, 35670, 8598, 3444, 713400, 20
0.00326345, 0.002639, 0.000623341, 0.000109494, 18802, 8000, 13407, 376040, 20
0.00484892, 0.00336261, 0.00148533, 0.000533325, 16847, 10483, 69741, 336940, 20
0.00537864, 0.00356298, 0.00181464, 0.000684795, 14121, 11867, 79581, 282420, 20
0.00666054, 0.00413213, 0.00252731, 0.000976663, 11416, 15204, 93603, 228320, 20
0.00658392, 0.00409595, 0.002487, 0.000884749, 7743, 15969, 90405, 154860, 20
0.00561952, 0.00367108, 0.00194718, 0.000619883, 7562, 14290, 66666, 151240, 20
0.00565739, 0.00374682, 0.00190974, 0.000557713, 7158, 14194, 66912, 143160, 20
0.00787424, 0.00595225, 0.0019208, 0.000580713, 6854, 14268, 70479, 137080, 20
0.00286755, 0.00219802, 0.000668487, 0.000196539, 9667, 6821, 29889, 193340, 20
0.00823407, 0.00548069, 0.00275166, 0.00140323, 9198, 10560, 76998, 183960, 20
0.00769214, 0.0059845, 0.00170602, 0.000580765, 9210, 10737, 42066, 184200, 20
0.00472901, 0.00394477, 0.000782861, 1.7003e-05, 9200, 10564, 861, 184000, 20
0.0058564, 0.00461499, 0.00124001, 0.000167652, 9210, 10515, 14145, 184200, 20
0.00449721, 0.00340471, 0.00109147, 0.000312551, 8848, 9732, 42804, 176960, 20
0.00530568, 0.00390028, 0.00140422, 0.000254524, 10288, 10755, 18450, 205760, 20
0.00378354, 0.00264152, 0.00114095, 0.000220391, 11030, 11858, 21894, 220600, 20
0.00394414, 0.00286489, 0.00107854, 0.000267615, 11110, 13209, 28044, 222200, 20
0.00523562, 0.00344599, 0.00178865, 0.000506974, 10383, 15021, 49446, 207660, 20
0.00641189, 0.00411491, 0.00229586, 0.000719997, 8600, 16600, 80688, 172000, 20
0.00693445, 0.00435981, 0.00257366, 0.000792137, 4835, 16917, 89790, 96700, 20
0.0072058, 0.00457167, 0.00263294, 0.000581053, 2440, 18410, 63222, 48800, 20
0.00653521, 0.00438596, 0.00214837, 0.000335134, 2246, 17173, 33825, 44920, 20
0.0059882, 0.00417615, 0.00181133, 0.000216667, 2086, 15490, 18942, 41720, 20
0.00846656, 0.00640441, 0.00206038, 0.000206111, 1905, 13406, 9963, 38100, 20
0.00831683, 0.00626312, 0.0020518, 0.000247099, 2009, 11928, 11439, 40180, 20
0.00683712, 0.00532935, 0.00150589, 7.7398e-05, 3562, 11542, 3690, 71240, 20
0.00612521, 0.00500926, 0.00111481, 4.7126e-05, 3566, 11554, 2214, 71320, 20
0.0054607, 0.00459354, 0.000866163, 4.953e-06, 3563, 11582, 123, 71260, 20
0.00667366, 0.00583999, 0.000832045, 6.692e-06, 3548, 11284, 246, 70960, 20
0.0082709, 0.00718714, 0.00108177, 8.354e-06, 3964, 11957, 246, 79280, 20
0.00705423, 0.00620172, 0.000851099, 1.0538e-05, 4097, 11905, 246, 81940, 20
0.00701562, 0.00601839, 0.00099541, 1.0696e-05, 3925, 11316, 492, 78500, 20
0.00520917, 0.00451332, 0.000694621, 1.0091e-05, 3660, 10281, 615, 73200, 20
0.00538165, 0.00458618, 0.000793628, 5.427e-06, 3644, 9725, 123, 72880, 20
